term,weight
ada,0.012
adalagi,0.012
adit,0.024
admin,0.012
agar,0.012
aidzin,0.012
ajuma,0.012
akan,0.012
akula,0.012
al,0.012
amin,0.024
ampun,0.097
anda,0.061
anggota,0.012
aniv,0.012
apa,0.194
api,0.024
ari,0.012
arti,0.024
asing,0.012
atiati,0.012
aul,0.061
ayam,0.036
ayo,0.012
bagaimana,0.061
bagi,0.024
bagus,0.024
baik,0.024
balik,0.024
banyak,0.024
bapak,0.024
bapana,0.012
bapau,0.012
barter,0.012
baru,0.061
basic,0.012
bawah,0.012
bayar,0.012
bayem,0.012
beda,0.012
begitu,0.024
belanja,0.012
beli,0.133
belum,0.024
benar,0.024
berapa,0.024
besok,0.012
bilang,0.024
bingung,0.012
biru,0.012
bisa,0.012
bisan,0.012
boraks,0.012
bosan,0.024
botak,0.012
brand,0.012
bstvdjpybxuikpobvfeawqetujcasgliyresadft,0.012
buah,0.012
buat,0.206
bubur,0.012
buka,0.012
bukan,0.036
buku,0.024
bumi,0.012
butuh,0.012
ca,0.012
candu,0.012
cc,0.012
celana,0.024
cemil,0.024
cemong,0.012
ceng,0.012
ceuli,0.012
ceulina,0.012
chang,0.012
cilok,0.036
cing,0.012
closing,0.012
coba,0.024
cocok,0.024
cok,0.012
cubet,0.012
cuma,0.061
dana,0.012
dapat,0.036
darat,0.012
dasar,0.012
daster,0.024
datang,0.012
deh,0.061
del,0.012
dengan,0.012
depan,0.012
diam,0.024
diketawain,0.012
dipaketin,0.012
diprank,0.012
disatuin,0.012
dit,0.049
ditanyain,0.012
doa,0.012
donat,0.012
donatur,0.012
dong,0.133
dora,0.012
dosen,0.012
dp,0.024
drama,0.036
dulmin,0.024
dulu,0.024
editin,0.012
editor,0.012
eh,0.024
ekspresi,0.012
elwa,0.012
embrio,0.012
enak,0.024
entar,0.024
fatihah,0.012
film,0.012
foto,0.036
gaul,0.012
gausa,0.012
ges,0.012
gin,0.036
giveaway,0.024
goreng,0.024
gosip,0.012
gosong,0.012
gratis,0.024
gwechana,0.012
habis,0.012
haha,0.085
hahahahaku,0.012
hai,0.012
hampura,0.024
hanya,0.012
harap,0.012
hari,0.036
hawu,0.012
hayo,0.012
helm,0.012
heu,0.012
hidup,0.012
hikmah,0.012
hilang,0.012
hjyomvfyop,0.012
ho,0.012
hoh,0.012
hoiya,0.012
humoris,0.012
hyun,0.012
ibu,0.036
ikan,0.012
ikut,0.024
ingat,0.012
ingin,0.012
ini,0.121
isi,0.012
isin,0.012
itu,0.097
iya,0.158
iyak,0.012
jadi,0.121
jalan,0.036
jam,0.036
jaman,0.012
jatuh,0.012
jawab,0.012
jelasin,0.012
jello,0.012
jengkol,0.012
ji,0.012
juang,0.012
juga,0.012
jujur,0.012
jus,0.012
juta,0.012
kalah,0.012
kalau,0.024
kali,0.012
kamo,0.012
kampus,0.012
kan,0.049
kandang,0.012
kandung,0.012
kangkung,0.012
kardigan,0.012
kasar,0.012
kasi,0.024
kata,0.049
kbi,0.012
ke,0.012
kecil,0.012
kejut,0.024
kelas,0.012
keluar,0.012
kembang,0.036
