term,weight
ada,0.013
adan,0.013
adc,0.013
adil,0.013
agar,0.038
ajak,0.013
ajar,0.013
akhir,0.013
aki,0.013
aktivitas,0.025
alahswt,0.013
alam,0.013
alhamdlh,0.013
ambil,0.013
amin,0.025
anak,0.301
ancam,0.025
anda,0.038
andal,0.013
anies,0.013
apa,0.075
apabila,0.013
asmin,0.013
atas,0.013
atau,0.013
awal,0.013
ayam,0.013
bagai,0.013
bagi,0.013
bahagia,0.013
baik,0.013
bajo,0.013
balap,0.013
bang,0.013
bank,0.013
bantu,0.038
banyak,0.025
bapak,0.013
barakalah,0.025
barokah,0.075
baru,0.05
baswedan,0.013
batu,0.013
bawa,0.013
bawang,0.013
bebek,0.025
begadang,0.013
beli,0.125
belikan,0.05
belum,0.038
benar,0.013
beri,0.013
berkah,0.025
bersih,0.013
beud,0.013
bezday,0.025
biasa,0.013
bijak,0.013
bini,0.05
bintang,0.013
bisa,0.038
biskuit,0.013
bismillah,0.013
bisnilah,0.013
bola,0.013
buat,0.301
bulan,0.025
bumerang,0.025
bunga,0.013
butuh,0.013
camil,0.013
cangih,0.013
capcay,0.013
cara,0.038
cari,0.013
cemil,0.163
cium,0.013
corona,0.05
cukup,0.025
cuma,0.025
dadar,0.013
dagang,0.013
dakon,0.013
dalam,0.013
damai,0.013
dampak,0.013
damping,0.013
dapat,0.013
darat,0.013
dari,0.013
datang,0.013
deh,0.013
dengan,0.013
depan,0.013
deposito,0.013
desa,0.013
dilema,0.013
diri,0.038
diridhoi,0.013
dirmh,0.025
disakitin,0.013
disiplin,0.013
doa,0.013
donatur,0.013
drtd,0.013
duku,0.013
eduardo,0.013
eh,0.013
ekonomi,0.025
ela,0.013
enak,0.025
escargot,0.013
flores,0.013
foto,0.013
gadis,0.013
gajah,0.013
ganguan,0.013
garam,0.013
gas,0.013
gemini,0.013
genset,0.013
geprek,0.013
gizi,0.025
gopay,0.05
goreng,0.05
grev,0.013
guna,0.013
gurinjay,0.013
hadap,0.025
halal,0.013
hamster,0.013
harap,0.013
hari,0.075
harimau,0.013
hati,0.013
hepi,0.025
hidup,0.05
hukum,0.013
ibu,0.088
ikhtiar,0.025
ilmu,0.013
imbang,0.013
ingat,0.013
ingin,0.025
ini,0.025
intai,0.013
itu,0.013
jabat,0.013
jadi,0.063
jaga,0.013
jahanam,0.013
jajan,0.038
jalan,0.063
jam,0.013
janji,0.013
jarang,0.013
jeruk,0.013
jiwa,0.025
juga,0.025
justin,0.025
kabul,0.013
kala,0.025
kalah,0.013
kalau,0.038
kali,0.025
kanan,0.013
kantin,0.025
karena,0.013
karet,0.013
karma,0.025
kasi,0.025
kasih,0.025
kata,0.013
kayak,0.013
kecap,0.013
kecil,0.013
keliru,0.013
keluarga,0.063
kenapa,0.013
kenyang,0.013
kesamber,0.013
ketawa,0.013
khabib,0.025
khusus,0.013
ki,0.013
kita,0.013
kopi,0.013
koprol,0.013
kosong,0.038
kota,0.013
kt,0.013
kuah,0.025
kuasa,0.013
kuat,0.013
kuning,0.013
labu,0.013
lagi,0.013
lahap,0.013
laki,0.175
lampu,0.013
lancar,0.013
langsung,0.013
lanjot,0.025
larang,0.025
lebar,0.013
lebih,0.038
lihat,0.038
lindung,0.025
lontong,0.013
louiz,0.013
lulus,0.013
lumayan,0.013
luwak,0.013
main,0.025
malam,0.025
mamamaunganakbiskuat,0.013
mana,0.013
masa,0.013
masih,0.038
masuk,0.025
mati,0.025
matin,0.013
matur,0.013
mau,0.338
maung,0.025
may,0.013
mbrebes,0.013
mei,0.013
melongarkan,0.013
menang,0.1
menitipkanya,0.013
merah,0.013
mes,0.075
mewah,0.025
mie,0.013
mil,0.013
muda,0.013
mugi,0.013
mulai,0.013
mulus,0.013
namun,0.013
nang,0.013
nasgor,0.025
nasi,0.088
nauna,0.013
negara,0.05
ngacung,0.013
ngih,0.013
nginjek,0.013
ngiris,0.013
ngojol,0.1
niat,0.013
nice,0.013
njengat,0.013
normal,0.025
nuwun,0.013
nya,0.063
nyala,0.013
obi,0.013
obligasi,0.013
ojek,0.125
omong,0.038
online,0.125
otd,0.013
ovo,0.213
pakai,0.013
paling,0.013
paman,0.013
pandan,0.013
pandemi,0.025
pantai,0.013
para,0.013
parah,0.013
parkir,0.013
parsel,0.013
pasar,0.013
pedal,0.025
penjagan,0.013
penuh,0.013
pepaya,0.013
pergi,0.013
perintah,0.013
perlu,0.013
pernah,0.063
persegi,0.013
pindah,0.013
pk,0.013
pojok,0.013
pos,0.013
predator,0.013
pria,0.013
