term,weight
aa,0.011
acak,0.021
ad,0.011
ada,0.064
adain,0.011
adalah,0.011
agar,0.021
ah,0.021
ahlak,0.011
aidzin,0.011
ain,0.011
ajak,0.011
akan,0.021
akhir,0.096
ambil,0.021
amin,0.011
amplas,0.011
an,0.021
anane,0.011
ancam,0.011
anda,0.085
andai,0.011
angkring,0.021
anime,0.021
anjor,0.011
apa,0.149
apani,0.011
apd,0.021
astaga,0.021
atas,0.011
awal,0.011
ayah,0.011
ayam,0.021
ayo,0.043
bab,0.011
babu,0.011
baca,0.021
bagaimana,0.032
bagus,0.043
bahasa,0.011
baik,0.032
baikin,0.011
bajing,0.011
bakar,0.011
bakso,0.011
baku,0.011
balas,0.011
balik,0.011
bandel,0.011
bangunin,0.021
banyak,0.032
bapak,0.043
bare,0.011
batagor,0.021
batin,0.011
bau,0.011
bawang,0.011
bayi,0.032
bears,0.011
beda,0.011
bedak,0.011
begini,0.032
begitu,0.053
bekti,0.032
belai,0.011
beli,0.021
belum,0.011
benang,0.011
benar,0.032
bentar,0.011
bentuk,0.011
berger,0.011
bermingu,0.011
bersliweran,0.011
beruang,0.011
besar,0.032
besok,0.021
beterai,0.011
betul,0.011
bgimna,0.011
biadab,0.021
biasa,0.011
bila,0.011
bilang,0.011
bio,0.011
biomekanik,0.011
biru,0.011
bisa,0.011
bisikin,0.011
blanja,0.011
bli,0.011
bngun,0.021
bobanya,0.021
bodoh,0.011
boleh,0.011
bom,0.032
boros,0.011
bosan,0.011
brutal,0.011
buah,0.021
buat,0.064
bubar,0.021
buka,0.021
bukan,0.011
bukti,0.011
bulan,0.011
buluk,0.011
bungkus,0.021
cahaya,0.011
cakep,0.011
calon,0.011
canda,0.011
cara,0.021
cari,0.074
ceker,0.011
cemil,0.053
cepat,0.011
cere,0.011
cerewet,0.011
checkoutin,0.011
chitoge,0.011
cilok,0.011
cilor,0.011
cinderela,0.011
cinta,0.021
cleo,0.032
cocok,0.021
colot,0.011
coon,0.011
corona,0.011
cri,0.011
cuma,0.032
dagang,0.011
dalam,0.011
dapat,0.021
daptar,0.011
dari,0.021
dasar,0.011
daya,0.011
deh,0.043
dek,0.011
demi,0.011
depan,0.021
desa,0.011
di,0.011
diabetes,0.011
diam,0.011
dibayarin,0.021
dibotakin,0.011
dicantelin,0.011
diletakin,0.011
dinding,0.021
dingetin,0.011
dingin,0.021
dipadake,0.011
dipanasin,0.011
dipangilnya,0.011
disminorea,0.011
doa,0.021
doang,0.011
dompet,0.032
donatur,0.011
dong,0.011
drama,0.032
dulu,0.021
dunia,0.011
emoh,0.011
enak,0.032
episode,0.011
es,0.021
est,0.011
estetik,0.011
eyeliner,0.011
faidzin,0.011
farah,0.011
film,0.011
fisio,0.011
foto,0.011
gadis,0.011
gadoyan,0.011
gagal,0.011
ganti,0.011
gaperlu,0.011
gebug,0.011
gemas,0.011
geprek,0.011
gigi,0.011
gila,0.011
gin,0.053
gmw,0.011
gobyos,0.011
golong,0.011
goreng,0.011
grentea,0.011
gugup,0.021
gula,0.011
habis,0.021
hahahahahahah,0.011
hai,0.043
hala,0.011
halus,0.011
hampir,0.011
hangat,0.011
hantam,0.011
harfiah,0.011
harga,0.011
hari,0.032
haru,0.011
harus,0.011
harusna,0.011
hataraku,0.011
hendro,0.011
heran,0.021
hias,0.011
hidup,0.011
hingga,0.011
hitam,0.011
hoodie,0.011
hujan,0.011
humoris,0.011
ibu,0.138
idam,0.011
ih,0.021
ijekiel,0.011
ikan,0.021
imt,0.011
indomart,0.011
indosiar,0.011
ingat,0.011
ingkar,0.011
ini,0.032
insekyur,0.011
isi,0.021
istri,0.011
itu,0.064
iya,0.064
izin,0.011
jadi,0.149
jail,0.011
jajal,0.011
jalan,0.021
jam,0.117
jamur,0.011
janji,0.021
jaoh,0.011
jarak,0.011
jari,0.011
jaring,0.011
jasa,0.011
jauh,0.021
jelas,0.021
jelek,0.011
jengotnya,0.011
jenis,0.011
jika,0.011
jilat,0.021
jimbon,0.011
juga,0.032
kabur,0.021
kacau,0.021
kadang,0.011
kado,0.011
kaguya,0.011
kaki,0.011
kaku,0.011
kala,0.011
kalah,0.011
kalau,0.096
kalem,0.011
kambing,0.011
kampus,0.011
kan,0.032
kancing,0.011
kantin,0.011
kaprodi,0.011
karena,0.011
kasih,0.011
kayu,0.011
kelam,0.011
kelas,0.011
keluar,0.011
kemarin,0.043
ken,0.043
kena,0.011
kenapa,0.085
kepentok,0.011
kepiting,0.011
keranjang,0.021
keren,0.032
kerja,0.032
kerudung,0.011
kesal,0.021
ketupat,0.021
khilaf,0.011
kilogram,0.011
kira,0.011
kirim,0.021
kn,0.011
kos,0.021
kosanku,0.011
koyo,0.011
koyok,0.011
kuat,0.011
kucing,0.021
kudanil,0.011
kumis,0.011
kuota,0.011
kuping,0.011
kurang,0.011
kuru,0.011
lagi,0.011
lah,0.011
lahir,0.011
laki,0.021
lali,0.021
lama,0.011
langsung,0.043
laptop,0.011
laris,0.011
laut,0.011
layar,0.011
lbaran,0.021
le,0.011
lebaran,0.043
lebih,0.043
legenda,0.011
lemak,0.011
lembut,0.032
lepas,0.011
lev,0.011
lewat,0.011
lha,0.011
lihat,0.085
lima,0.011
lingkar,0.011
listrik,0.021
lmes,0.011
loh,0.011
lras,0.011
lucuk,0.011
lupa,0.043
luph,0.011
maaf,0.032
macam,0.021
madang,0.021
maine,0.011
makin,0.011
maksud,0.011
mal,0.011
malah,0.085
malam,0.021
malas,0.021
mana,0.021
marahin,0.011
marathon,0.011
masa,0.011
masak,0.011
masalah,0.032
masih,0.011
masuk,0.043
masup,0.011
mata,0.021
materi,0.011
mati,0.021
mau,0.096
mbok,0.011
memang,0.011
memberi,0.011
menang,0.011
mengangu,0.011
meni,0.011
mentah,0.011
mie,0.032
milo,0.011
mineral,0.011
minggu,0.011
minta,0.064
mkn,0.011
mksih,0.011
mna,0.011
mnangis,0.011
mnungutxtdrhndr,0.011
model,0.021
moh,0.011
mohon,0.021
momogi,0.011
momoginya,0.011
monanges,0.011
motifasi,0.011
motong,0.011
msi,0.021
mukamana,0.011
mulai,0.032
