term,weight
abai,0.007
ada,0.015
adalah,0.007
adaptasi,0.007
admin,0.022
aduh,0.007
aduk,0.007
agar,0.036
ah,0.015
aih,0.015
air,0.015
ajang,0.007
ajar,0.036
akan,0.015
akhir,0.015
aksi,0.007
alir,0.007
ambis,0.007
ambyar,0.007
ampuh,0.007
an,0.015
anak,0.022
anda,0.094
angin,0.007
angke,0.007
anisa,0.007
anymore,0.007
apa,0.189
apalagi,0.007
apes,0.007
ar,0.007
arr,0.007
asa,0.007
asam,0.007
asking,0.007
asli,0.007
astaga,0.015
ayo,0.109
aziza,0.007
baca,0.007
bagaimana,0.058
bagus,0.007
bahan,0.007
baik,0.036
bakar,0.007
bakat,0.007
balap,0.007
balas,0.007
balik,0.007
banding,0.007
bandingin,0.007
bangun,0.007
bantu,0.007
banyak,0.029
baru,0.007
batin,0.007
bawah,0.007
beda,0.022
begini,0.022
begitu,0.015
bekas,0.015
belakang,0.007
beli,0.007
belum,0.007
benar,0.08
berat,0.007
besar,0.015
besok,0.007
beud,0.015
bibir,0.015
bicara,0.036
bijak,0.007
bikini,0.007
bintang,0.007
bisa,0.08
bljr,0.007
bnr,0.007
bobot,0.007
bodoh,0.015
bosan,0.007
buat,0.073
buka,0.036
bukan,0.015
buku,0.007
bulan,0.022
cahaya,0.007
cakung,0.007
calon,0.007
campur,0.007
cara,0.036
cari,0.022
cemil,0.015
cengeng,0.007
cepat,0.036
cerita,0.007
ci,0.007
cinta,0.015
coba,0.036
coklat,0.007
copot,0.007
corona,0.007
cukup,0.007
cuma,0.051
cuy,0.007
dadar,0.007
daftar,0.007
dampak,0.007
dapat,0.007
dari,0.029
dasar,0.007
datang,0.007
deh,0.058
delapan,0.007
dengernya,0.015
depan,0.007
dhan,0.015
di,0.015
dika,0.007
dikit,0.007
dilatin,0.007
dilema,0.007
diliatin,0.007
dimatin,0.007
diri,0.058
doang,0.029
dodol,0.007
dong,0.065
dramagon,0.007
dua,0.015
duga,0.015
dulu,0.051
duluan,0.007
dunia,0.029
ehem,0.007
eksplor,0.007
emosi,0.007
emosional,0.007
enak,0.007
episode,0.007
er,0.007
fgd,0.007
fokus,0.036
gagal,0.022
gajelas,0.029
ganguan,0.007
ganti,0.007
gas,0.007
geli,0.007
gelisah,0.007
gengs,0.007
gerai,0.007
gila,0.007
gin,0.058
goa,0.087
grup,0.007
gugup,0.007
habis,0.007
hadu,0.007
haduh,0.015
hai,0.051
hak,0.007
hakim,0.007
han,0.007
hancur,0.007
hany,0.007
hanya,0.036
hapus,0.007
harap,0.007
harga,0.007
hari,0.051
harus,0.007
heli,0.007
hiburanq,0.007
hidup,0.058
hilang,0.007
hilir,0.007
huhuh,0.007
huhuhuhuhu,0.007
hujan,0.015
humoris,0.015
ibu,0.007
ih,0.029
ihiy,0.007
ikhlas,0.022
ikut,0.007
inalilahi,0.007
indihome,0.015
indikator,0.007
ingat,0.007
ingin,0.007
ini,0.094
istirahat,0.007
istri,0.007
itu,0.073
iya,0.102
jadi,0.102
jail,0.022
jak,0.007
jalan,0.058
jam,0.007
jaman,0.007
jati,0.007
jauh,0.015
jawab,0.007
jebak,0.007
jelas,0.007
jelek,0.007
jogging,0.007
js,0.007
juga,0.044
jujur,0.015
juta,0.007
kabel,0.007
kaku,0.007
kalah,0.007
kalau,0.102
kali,0.044
kan,0.065
kantor,0.022
kapan,0.022
kasi,0.007
kebahagian,0.007
kecewa,0.007
kecil,0.007
kejar,0.007
kejut,0.022
kekeluargan,0.007
keluar,0.015
keluarga,0.007
keluh,0.015
ken,0.094
kena,0.015
kenapa,0.051
kentang,0.007
kepala,0.007
keren,0.007
kereta,0.022
kerja,0.051
kesal,0.022
ketemu,0.007
ketika,0.015
ketinggalan,0.007
kira,0.007
komentar,0.007
komunikasi,0.007
konflik,0.007
konsentrasi,0.007
kreatip,0.007
kuat,0.007
kuliah,0.007
kuning,0.007
kurang,0.007
lagi,0.036
lah,0.015
lahir,0.015
lain,0.007
lalu,0.007
lama,0.015
lambung,0.007
lawak,0.007
lebay,0.007
lebih,0.029
lelah,0.015
lengkap,0.007
leny,0.007
lewat,0.015
libur,0.015
lihat,0.007
lingkar,0.007
log,0.007
los,0.007
lsi,0.007
luapin,0.007
luar,0.007
lulus,0.007
lumayan,0.007
lupa,0.007
maaf,0.022
mac,0.007
made,0.007
magang,0.007
makin,0.007
malam,0.022
malas,0.007
malesan,0.007
malu,0.015
mana,0.036
mangarai,0.022
mantul,0.007
manusia,0.007
marah,0.015
masa,0.015
masalah,0.029
masuk,0.007
mata,0.015
mati,0.007
mau,0.094
mcd,0.007
mellow,0.007
memang,0.073
menstruasi,0.007
merah,0.007
mie,0.007
mikirnya,0.007
milik,0.007
mimpin,0.007
minggu,0.007
mohon,0.007
mulai,0.007
mungkin,0.007
nada,0.015
naik,0.022
nama,0.007
nang,0.015
nar,0.022
negeri,0.007
nemuin,0.007
nengahin,0.007
netes,0.007
ngantuk,0.022
ngebayangin,0.007
ngecek,0.007
ngeganjel,0.007
ngilangin,0.007
ngotot,0.007
ngs,0.007
niat,0.007
nikmat,0.007
nunjukin,0.007
nuntut,0.007
nya,0.022
nyalahin,0.007
nyaman,0.015
nyata,0.029
okeh,0.007
olah,0.015
oleh,0.007
online,0.015
onlineku,0.007
orang,0.094
oriented,0.007
pada,0.007
padahal,0.015
pagi,0.029
pajak,0.007
pakai,0.007
palsu,0.007
pandji,0.007
parah,0.007
pasang,0.007
peduli,0.007
peh,0.015
pelangaranya,0.007
peluk,0.007
pena,0.007
pengirim,0.007
penuh,0.007
peras,0.007
percaya,0.029
pergi,0.007
perkatan,0.007
perlu,0.007
pernah,0.007
pertama,0.007
perut,0.007
pihak,0.007
pikir,0.036
pilih,0.007
pintar,0.007
piyik,0.007
pop,0.007
potong,0.007
praktikum,0.007
ps,0.007
puluh,0.007
punya,0.007
racun,0.015
rada,0.007
raditya,0.007
rahim,0.007
ramenya,0.007
rasa,0.051
rd,0.007
rem,0.007
rencana,0.007
responsi,0.007
rintik,0.007
rumah,0.044
runtuh,0.007
sabar,0.007
sabtu,0.007
sahabat,0.007
saja,0.08
sakit,0.015
salah,0.058
salting,0.007
sama,0.058
sampai,0.015
sana,0.007
saos,0.007
sapa,0.007
saran,0.007
satu,0.015
saya,0.138
sayang,0.015
sebagai,0.015
sebentar,0.015
sebuah,0.022
sedang,0.007
sedih,0.029
sedu,0.007
sekali,0.167
sekarang,0.044
sekian,0.022
selalu,0.044
selesai,0.007
semangat,0.029
seminggu,0.007
semoga,0.015
sempur,0.007
semua,0.044
sendiri,0.036
senen,0.007
sengaja,0.007
seperti,0.051
serat,0.007
sering,0.007
serius,0.007
seru,0.015
sesuatu,0.007
shar,0.029
si,0.109
sial,0.022
siang,0.007
siap,0.007
siapa,0.051
sibuk,0.007
sidang,0.007
sih,0.029
sikap,0.007
sisi,0.015
skripsi,0.029
snapgram,0.015
soal,0.015
sore,0.015
sponsored,0.007
stasiun,0.007
suasana,0.007
suatu,0.015
sudah,0.167
suka,0.015
sukses,0.007
sumpah,0.007
sungguh,0.022
suruh,0.007
susah,0.007
suzon,0.015
tadi,0.007
taget,0.007
tahu,0.058
tahun,0.015
tambahin,0.007
tanda,0.015
tanggal,0.007
tangis,0.022
tanjung,0.007
tapi,0.073
tawa,0.639
tegas,0.007
teknisi,0.007
telepon,0.007
telur,0.007
teman,0.029
tempat,0.007
temu,0.007
tenang,0.007
tengah,0.015
tepar,0.007
terimakasih,0.007
terus,0.065
tetap,0.022
tiap,0.044
tiba,0.036
tidak,0.392
tidur,0.015
tindak,0.007
tinggi,0.015
tngng,0.007
tolong,0.022
tonton,0.007
transit,0.007
tua,0.007
tuhan,0.022
tujuh,0.007
tunggu,0.007
tunguin,0.007
tusuk,0.007
twice,0.007
uang,0.007
ujung,0.007
ultang,0.007
untuk,0.015
untung,0.022
upeh,0.015
usaha,0.015
utama,0.022
versi,0.007
wacana,0.007
waktu,0.015
wiranto,0.007
wishlist,0.007
wkwkwakwau,0.007
wkwkwkwkwkwkw,0.007
wqwqwqwq,0.007
ya,0.015
yad,0.007
yah,0.007
yak,0.007
yang,0.138
