term,weight
actingnya,0.013
ada,0.093
adalah,0.013
admin,0.027
ajar,0.027
akhir,0.027
alir,0.013
amad,0.013
aman,0.013
ambil,0.013
an,0.013
anakuicantik,0.013
ancurin,0.013
anda,0.08
angkat,0.013
apa,0.067
apas,0.013
apstore,0.013
arti,0.053
asing,0.013
awal,0.013
awas,0.013
ayam,0.013
babang,0.013
baca,0.013
bagaimana,0.027
bagi,0.013
bagos,0.013
bagus,0.013
bahasa,0.013
bahkan,0.013
baju,0.013
bakar,0.013
bakso,0.013
bala,0.013
balas,0.013
balik,0.053
bangun,0.013
bantu,0.027
banyak,0.027
barang,0.013
baris,0.013
baru,0.093
batas,0.013
bau,0.013
bawah,0.027
bawang,0.013
bayang,0.013
beasiswa,0.013
begini,0.027
begitu,0.027
bekas,0.013
bela,0.013
beli,0.027
benar,0.027
bening,0.027
beranda,0.013
berani,0.013
berapa,0.013
bersih,0.013
besar,0.013
besok,0.013
biasa,0.067
biaya,0.013
bima,0.013
bimbang,0.013
bingung,0.013
birthmark,0.013
bisa,0.013
bodoh,0.013
bosan,0.013
bosko,0.013
breaking,0.013
brti,0.013
buat,0.027
buka,0.013
bukan,0.013
bukitingi,0.013
bulan,0.013
bungkus,0.013
bunyi,0.013
buru,0.013
buruk,0.013
cara,0.027
casa,0.013
celah,0.013
celana,0.013
cemil,0.04
cersei,0.013
chatnya,0.013
coba,0.027
cocok,0.027
corona,0.04
cuci,0.013
cukurin,0.013
culi,0.013
cuma,0.013
cuman,0.013
daftar,0.027
daging,0.013
dalam,0.013
dan,0.013
dapat,0.027
dari,0.027
debut,0.013
dedemit,0.013
deh,0.04
dementor,0.013
dengan,0.013
depa,0.013
depan,0.053
desu,0.013
detik,0.027
dho,0.013
di,0.04
dia,0.027
dimana,0.013
diselamatin,0.013
dizom,0.013
dk,0.013
dki,0.013
dokter,0.053
dong,0.013
drama,0.013
drg,0.027
dubbing,0.013
duduk,0.013
duka,0.013
dukung,0.013
dunia,0.013
dzr,0.013
eh,0.027
ekor,0.013
eksklusif,0.013
enak,0.013
english,0.013
entah,0.013
facebook,0.013
faedah,0.013
fans,0.027
fasih,0.013
felnya,0.013
film,0.027
flyover,0.013
foto,0.04
gabutnya,0.013
gali,0.013
game,0.013
games,0.013
gandia,0.013
ganti,0.027
gara,0.013
gelap,0.013
gelud,0.013
gigi,0.04
gila,0.013
gils,0.013
gin,0.053
google,0.013
grup,0.027
gtp,0.013
gugup,0.027
guling,0.013
habis,0.013
haha,0.013
hai,0.013
hakim,0.013
hamil,0.013
handuk,0.013
hapal,0.013
haram,0.013
harap,0.013
hari,0.04
hasrat,0.013
henpis,0.027
hewan,0.013
hibernasi,0.013
hibye,0.013
hidup,0.013
hih,0.013
hijau,0.027
hilih,0.013
hujat,0.013
humoris,0.013
ibu,0.027
idola,0.013
ikut,0.013
in,0.04
indikasi,0.013
indonesia,0.027
ingat,0.027
ini,0.027
integ,0.027
irl,0.013
isi,0.027
istri,0.027
itu,0.093
iyah,0.013
jadi,0.053
jadwal,0.027
jakarta,0.013
jalan,0.027
jam,0.013
jamie,0.013
jamur,0.013
jarkoman,0.013
jauh,0.013
jawab,0.013
jenis,0.013
jh,0.013
jin,0.013
jk,0.013
juga,0.067
jumlah,0.013
kaca,0.027
kaki,0.013
kalah,0.013
kalau,0.146
kali,0.067
kamar,0.027
kan,0.053
kanan,0.013
kancil,0.013
kapan,0.027
kapau,0.013
karang,0.013
karaoke,0.04
karena,0.013
kata,0.013
kayak,0.067
ke,0.013
kecil,0.027
kejut,0.053
kekeyi,0.013
kelapa,0.013
kelas,0.013
kelompok,0.013
keluarga,0.013
kemarin,0.013
kembar,0.013
kemenkes,0.013
kemudian,0.013
ken,0.013
kenal,0.013
kenapa,0.133
kenyat,0.013
kerajan,0.013
keren,0.013
kerja,0.013
ketemu,0.013
ketinggalan,0.013
ketua,0.013
kim,0.013
kira,0.04
kita,0.013
klinik,0.013
koas,0.04
komedi,0.013
konser,0.013
konstruksi,0.013
kontemplasi,0.013
konten,0.013
kontributif,0.013
kontrol,0.013
kos,0.027
kosong,0.013
kreativitas,0.013
kriteria,0.013
kritis,0.013
kua,0.013
kucing,0.013
kumur,0.013
kurang,0.013
kursi,0.013
la,0.013
lagi,0.027
laki,0.04
laku,0.013
lama,0.013
langsung,0.027
lanister,0.027
lanjut,0.013
lantai,0.013
lapar,0.013
lawak,0.013
lawan,0.013
layar,0.013
lazim,0.013
lebaran,0.013
lebih,0.04
lelah,0.013
lembut,0.013
lewat,0.013
licin,0.013
lihat,0.04
linda,0.013
ll,0.013
lokal,0.013
lokasi,0.013
loncat,0.013
loney,0.027
louder,0.013
lugas,0.013
lutut,0.013
mabimwa,0.013
macam,0.013
main,0.013
makanya,0.013
makin,0.027
malam,0.013
mana,0.013
manta,0.013
maps,0.013
