term,weight
ada,0.099
adab,0.02
adon,0.01
adonanya,0.01
agama,0.01
agar,0.059
ah,0.02
aha,0.04
air,0.02
ajaib,0.01
ajar,0.01
akan,0.02
akh,0.01
akses,0.01
alfamart,0.01
alias,0.01
ambil,0.02
ampuh,0.01
anak,0.059
anda,0.089
angep,0.01
anjing,0.01
apa,0.109
apas,0.01
api,0.01
arah,0.01
ardi,0.01
arti,0.01
asli,0.03
atm,0.01
avoskin,0.01
ayah,0.01
ayo,0.01
baca,0.01
bagaimana,0.04
bagus,0.02
bahasa,0.01
bahaya,0.01
baik,0.03
balik,0.01
bamper,0.01
bangun,0.01
bantal,0.01
banyak,0.05
bareng,0.01
barengin,0.01
baru,0.069
basic,0.01
bayar,0.01
bca,0.01
beberapa,0.01
beda,0.04
begadang,0.01
begitu,0.01
belah,0.01
beli,0.03
belok,0.01
belum,0.05
benar,0.04
bentuk,0.01
ber,0.01
beranda,0.01
berapa,0.02
bha,0.04
biasa,0.04
bibir,0.01
bicara,0.01
biji,0.01
bilang,0.01
bisa,0.059
biyen,0.01
bni,0.01
bnya,0.01
boleh,0.01
brebes,0.03
buat,0.168
budak,0.01
buka,0.03
bukan,0.03
bulan,0.01
bumbu,0.01
bumiayu,0.03
bung,0.01
buruk,0.01
cahaya,0.02
cakep,0.02
cangkeman,0.01
cara,0.01
cari,0.01
ceker,0.01
celak,0.01
celaka,0.01
cemil,0.069
cerah,0.01
cerita,0.01
churos,0.01
cinta,0.03
cleanser,0.02
cloy,0.01
coba,0.03
cocok,0.01
cosrx,0.03
cuci,0.03
cuma,0.069
da,0.01
daftarin,0.01
dal,0.01
dalam,0.01
dapat,0.01
daripada,0.01
deh,0.01
dekat,0.03
dengan,0.03
depan,0.01
detected,0.01
di,0.03
diapusi,0.01
dikit,0.01
diri,0.01
doang,0.01
dom,0.01
dong,0.02
dp,0.01
duka,0.01
dulu,0.069
eh,0.02
eleh,0.01
emange,0.01
emina,0.01
enak,0.03
enek,0.01
exfo,0.01
film,0.01
fine,0.02
folowan,0.01
foreo,0.01
foundie,0.01
fungsi,0.02
fw,0.02
fwnya,0.01
gah,0.01
gaji,0.01
gang,0.01
ganti,0.01
gara,0.01
garnier,0.01
ge,0.01
gemas,0.01
gengam,0.01
gerimis,0.01
gigi,0.01
gilir,0.01
gin,0.02
glycerinya,0.01
goa,0.01
goblin,0.01
gofutin,0.01
gores,0.01
grentea,0.02
gubeng,0.01
gugel,0.01
guru,0.02
habis,0.03
hadalabo,0.02
hadap,0.01
haji,0.01
hamil,0.02
hampir,0.01
hapus,0.01
harap,0.01
hari,0.02
hasil,0.02
hatomugi,0.01
heran,0.01
hijau,0.02
hilang,0.02
hitung,0.01
hubung,0.01
humoris,0.01
hyaluronic,0.01
ibu,0.04
ih,0.01
ikut,0.01
ikutin,0.01
incel,0.01
ingin,0.02
ini,0.01
