term,weight
abai,0.008
abu,0.008
acnol,0.017
ad,0.008
ada,0.008
adalah,0.025
adekan,0.017
admin,0.017
aduh,0.017
aestethic,0.008
agar,0.033
ahi,0.008
ahjusi,0.008
ai,0.008
air,0.017
aisyah,0.008
ajak,0.017
ajar,0.017
akal,0.008
akh,0.017
akhir,0.017
akun,0.008
al,0.008
alfatihah,0.008
aman,0.008
ambek,0.008
ambyar,0.008
ame,0.017
amin,0.008
among,0.008
anak,0.067
anda,0.108
andalanqoe,0.008
anehny,0.008
angat,0.008
anggap,0.017
anjur,0.008
anthurium,0.017
anya,0.008
apa,0.1
apo,0.025
arab,0.017
artiny,0.008
asah,0.008
asal,0.017
aseku,0.008
asin,0.017
ask,0.008
asli,0.008
aspal,0.008
astaga,0.008
aswad,0.017
asyik,0.008
atau,0.008
awal,0.008
ayah,0.025
ayo,0.092
aza,0.008
badan,0.008
bagai,0.008
bagus,0.033
bahan,0.017
bahas,0.025
bahasa,0.017
baik,0.067
baju,0.017
balas,0.008
balek,0.025
balik,0.008
banding,0.025
bang,0.008
banned,0.008
bantu,0.008
banyak,0.075
bapak,0.008
bapaknyo,0.017
barab,0.008
baru,0.058
batagor,0.008
bawa,0.008
bawah,0.008
bayang,0.017
bayi,0.033
bebagi,0.008
bebanyak,0.008
bebek,0.008
beda,0.008
bedie,0.008
begitu,0.008
behanakan,0.008
bejalan,0.008
bekas,0.008
bekedip,0.008
bekicot,0.008
beli,0.017
belum,0.017
benang,0.017
benar,0.033
benarkan,0.008
bentuk,0.025
bentuknyo,0.008
berapa,0.025
berat,0.008
bersih,0.008
bersin,0.008
besak,0.008
betino,0.008
betis,0.008
betul,0.008
biasa,0.017
biasenye,0.008
biaso,0.008
biasonyo,0.008
bibik,0.008
bijung,0.008
bik,0.017
bilang,0.008
bim,0.008
bingung,0.017
bintang,0.008
biru,0.008
bisa,0.008
biso,0.033
blaster,0.025
bon,0.008
bona,0.017
bruntusan,0.008
buang,0.008
buat,0.058
budak,0.008
buka,0.008
buku,0.008
bulan,0.042
bumi,0.008
bunda,0.008
bunting,0.017
busuk,0.008
butuh,0.008
cacing,0.008
cahaya,0.008
cak,0.025
campur,0.017
candu,0.008
canteknyo,0.008
cari,0.008
catat,0.008
cela,0.008
celana,0.008
cemil,0.042
ceng,0.025
cenila,0.008
cepat,0.017
ceri,0.008
cerita,0.017
ceroboh,0.008
cetak,0.008
chelsea,0.008
choco,0.008
choki,0.008
cincailah,0.008
cinta,0.017
cireni,0.008
cium,0.008
cius,0.008
coba,0.017
cocok,0.017
cocor,0.008
congratulations,0.008
contoh,0.008
corak,0.008
coret,0.008
corona,0.008
cpns,0.008
cuanet,0.017
cubo,0.008
cuko,0.008
cuma,0.042
curhat,0.017
dahi,0.008
dalam,0.017
dan,0.008
dandan,0.008
dapat,0.008
dari,0.033
daripada,0.017
dasar,0.008
datang,0.008
daun,0.025
debay,0.017
debu,0.008
dek,0.008
dem,0.008
deng,0.008
dengan,0.05
dengar,0.017
depan,0.008
dev,0.017
dewe,0.008
dewek,0.017
di,0.008
diangap,0.008
dide,0.008
dikit,0.025
dingin,0.008
dio,0.008
diri,0.033
dluan,0.008
dong,0.008
drama,0.033
duduk,0.017
dulu,0.033
dunia,0.017
dusonyo,0.008
eh,0.058
ekpresi,0.008
emosi,0.008
enak,0.008
engkase,0.008
entake,0.008
episode,0.008
erti,0.017
es,0.008
euy,0.008
ex,0.008
exfo,0.008
fakultas,0.025
fatihah,0.008
favorit,0.008
fi,0.025
fisip,0.017
fm,0.008
following,0.008
foto,0.025
galak,0.017
ganti,0.008
garam,0.017
gaskeun,0.008
gelang,0.008
gelas,0.017
gelombang,0.017
gengs,0.008
gi,0.008
goals,0.008
godan,0.008
gomak,0.008
googling,0.008
goreng,0.017
gosong,0.008
gresik,0.008
grup,0.008
gundi,0.008
gureng,0.017
haha,0.008
hai,0.058
hapat,0.008
harap,0.008
harga,0.008
hari,0.017
hasilnyo,0.008
hati,0.008
hello,0.008
henti,0.025
hidung,0.008
hilang,0.017
hindar,0.008
hmpir,0.008
hormat,0.008
hq,0.008
hrga,0.008
hujat,0.017
