term,weight
aci,0.011
ad,0.011
ada,0.011
adalah,0.011
adegan,0.011
adenya,0.011
adewe,0.033
adus,0.022
agar,0.022
air,0.011
akhir,0.011
aktifitas,0.011
akue,0.011
alarm,0.022
alm,0.011
aman,0.011
amin,0.022
anak,0.043
anda,0.13
angin,0.011
angrek,0.011
anjing,0.022
anyar,0.022
apa,0.108
apel,0.011
arta,0.022
asam,0.011
asline,0.022
astaga,0.011
atiati,0.011
auwah,0.022
awal,0.022
awkwkwkw,0.011
ayam,0.011
ayo,0.217
bacut,0.011
badan,0.011
bagaimana,0.011
bahasa,0.011
baik,0.011
baju,0.011
bakat,0.022
balik,0.011
bangun,0.033
bantu,0.011
banya,0.011
banyak,0.022
banyu,0.011
bapak,0.043
bar,0.022
barang,0.022
bareng,0.043
baru,0.022
bau,0.022
bawah,0.011
begitu,0.022
belai,0.011
belum,0.033
ben,0.054
benar,0.043
benci,0.022
bengi,0.011
bengine,0.011
benjo,0.011
bentar,0.011
berontak,0.011
bersih,0.011
besok,0.011
biasa,0.011
bicara,0.022
bingung,0.011
bisa,0.033
bisu,0.011
blok,0.043
bocahe,0.011
bodoh,0.022
bola,0.011
boleh,0.011
bongin,0.011
bosan,0.033
bril,0.011
brilie,0.011
buah,0.011
buat,0.033
buka,0.043
bukan,0.022
bunda,0.022
bunyi,0.011
burjo,0.011
burung,0.011
butuh,0.011
cahaya,0.011
cakue,0.011
camil,0.011
cantik,0.054
cemil,0.033
cemplung,0.011
cepat,0.043
cerito,0.011
cetho,0.011
cilik,0.011
coba,0.011
cocok,0.011
colourful,0.011
crepes,0.011
cuci,0.011
cuma,0.033
cupu,0.011
curiga,0.011
cvku,0.011
dadi,0.022
daftar,0.011
dagel,0.011
dapat,0.011
dari,0.033
daripada,0.011
dasare,0.011
datang,0.011
dekemu,0.011
dengkul,0.011
depan,0.011
di,0.022
diapusi,0.011
diceritain,0.011
dientekne,0.011
digrujuk,0.011
dikei,0.011
diketawain,0.011
dikit,0.022
dim,0.011
dimaemnya,0.011
dimpil,0.011
dipangil,0.011
direndem,0.011
direport,0.011
disik,0.011
ditumpakne,0.011
diunfol,0.011
dokter,0.011
dolan,0.011
domisili,0.011
dong,0.011
drtd,0.022
dua,0.011
duhur,0.011
dulu,0.043
dunia,0.011
duyu,0.011
eh,0.022
ehe,0.022
elak,0.011
elek,0.011
eling,0.033
eman,0.011
embak,0.022
emosi,0.011
en,0.011
enak,0.065
enanya,0.011
endinganya,0.011
eneh,0.011
enek,0.011
es,0.043
fakta,0.011
fitrahe,0.011
foto,0.065
fremilt,0.011
fren,0.011
gadibelin,0.011
gais,0.022
gaksih,0.011
galak,0.011
game,0.033
ganang,0.011
ganti,0.011
gardu,0.011
garis,0.022
gayeng,0.011
gedene,0.011
gedi,0.022
gek,0.022
gendut,0.011
genep,0.011
gengs,0.011
genit,0.011
gin,0.054
golek,0.011
goreng,0.033
gpa,0.022
gulung,0.022
gur,0.033
habis,0.011
hahahahnjir,0.011
halah,0.011
halal,0.011
hampir,0.011
han,0.011
hangat,0.011
hapus,0.011
hari,0.011
harus,0.022
henti,0.033
hibur,0.011
hobi,0.011
honda,0.011
hoo,0.119
hpne,0.011
hutang,0.022
ibak,0.011
ibu,0.054
ikan,0.011
ikio,0.011
iklan,0.011
ikut,0.011
ikuti,0.022
iman,0.011
ina,0.022
inai,0.011
indonesia,0.011
ines,0.011
ingat,0.022
ini,0.033
instagramku,0.011
ipar,0.011
isi,0.022
isine,0.011
iso,0.022
istimewa,0.011
istri,0.011
item,0.011
itu,0.022
iya,0.022
jadi,0.043
jajan,0.011
jakandor,0.011
jalan,0.033
jam,0.054
jane,0.011
janji,0.022
jarang,0.011
jare,0.022
jauh,0.011
jebule,0.011
jelajah,0.011
jepun,0.011
jeroan,0.011
jgi,0.011
jik,0.022
jilbab,0.011
jiwa,0.011
jnt,0.022
jogging,0.011
jomblo,0.011
jual,0.011
kabar,0.011
kabarin,0.011
kabeh,0.022
kae,0.022
kakean,0.011
kalah,0.022
kalau,0.108
kaleng,0.022
kamar,0.011
kampus,0.011
kan,0.054
kanan,0.011
kandakne,0.011
kandani,0.011
kantong,0.011
karena,0.022
kari,0.011
kasi,0.022
kasyan,0.011
kei,0.011
kekancan,0.011
kelakar,0.011
keluar,0.011
ken,0.011
kenapa,0.054
kene,0.011
kenek,0.011
kering,0.011
kesal,0.011
keslomot,0.022
ketag,0.011
ketawa,0.011
ketawain,0.011
ketemu,0.011
ketik,0.011
kgen,0.011
ki,0.033
kim,0.011
kiri,0.011
kirim,0.022
kod,0.011
kon,0.011
konco,0.011
koploh,0.011
kos,0.011
kosku,0.011
