term,weight
abai,0.011
abon,0.011
acara,0.011
ada,0.011
adalah,0.054
adas,0.011
adl,0.011
admin,0.011
aduh,0.054
agar,0.032
ah,0.011
ahing,0.011
aih,0.011
aimi,0.032
ajak,0.011
ajar,0.032
ajur,0.011
akhir,0.011
alat,0.011
alias,0.022
alis,0.011
aman,0.022
amargi,0.011
ambil,0.011
ampun,0.011
an,0.032
anak,0.086
ancer,0.011
anda,0.184
andai,0.011
andil,0.032
android,0.011
anggota,0.022
angin,0.011
antar,0.011
apa,0.032
apik,0.022
arah,0.032
aren,0.011
arti,0.011
artis,0.011
asi,0.032
asih,0.011
asin,0.032
asline,0.011
atas,0.022
atau,0.032
atine,0.011
atjl,0.011
awal,0.011
awas,0.022
ayo,0.054
baca,0.022
badhe,0.011
bagaimana,0.032
bah,0.022
bahan,0.011
bahas,0.022
bahkan,0.011
bakwan,0.011
balas,0.011
balik,0.022
bandemi,0.011
bandung,0.011
bangga,0.011
banguntapan,0.011
bantal,0.022
banting,0.011
bantu,0.022
bantul,0.022
banyak,0.022
bapak,0.032
bar,0.011
barat,0.032
bareng,0.022
baru,0.032
batas,0.032
bayar,0.011
beda,0.022
beli,0.011
belum,0.032
ben,0.011
benam,0.011
benar,0.022
benges,0.011
bentar,0.011
ber,0.011
berapa,0.011
beri,0.011
berita,0.011
bertny,0.011
beruang,0.011
besar,0.011
besok,0.011
betadine,0.011
betul,0.032
bfbnoru,0.011
bgmn,0.011
biasa,0.032
bicara,0.011
bidan,0.022
bilang,0.022
bisa,0.032
blender,0.011
bljr,0.022
blkng,0.011
bloko,0.011
bn,0.011
bola,0.011
bolong,0.011
bonus,0.022
botol,0.011
brave,0.011
brngkt,0.022
brontak,0.022
buat,0.065
budak,0.011
buka,0.011
bukit,0.011
bukti,0.011
bulan,0.022
buruh,0.032
buruk,0.011
butuh,0.011
bwh,0.011
byuh,0.022
ca,0.011
camat,0.011
candi,0.054
cangkir,0.011
cemil,0.011
cemplon,0.011
cepat,0.011
cerewet,0.011
cerita,0.011
cetok,0.022
chiera,0.011
cinta,0.022
ckckckckc,0.011
co,0.14
coba,0.011
contoh,0.011
copas,0.011
cr,0.011
crt,0.022
ct,0.011
cuma,0.011
cwyehcldk,0.011
da,0.011
dalam,0.011
damai,0.011
dan,0.043
dapat,0.043
dar,0.011
dari,0.119
datang,0.022
datheng,0.011
days,0.011
decide,0.011
dekat,0.022
deles,0.011
dengan,0.119
depan,0.054
derai,0.011
deras,0.011
desa,0.032
dfgoad,0.011
dgmenu,0.011
dgr,0.011
di,0.022
dinamika,0.011
diri,0.043
doa,0.022
dong,0.022
doyan,0.011
drmh,0.011
duduk,0.032
dukung,0.043
dulu,0.011
dunia,0.011
duren,0.011
duwe,0.011
ecer,0.022
edisi,0.032
eksklusif,0.011
eksperimental,0.011
email,0.011
ember,0.011
embung,0.011
emejing,0.011
emosi,0.011
enjang,0.011
enough,0.011
entah,0.011
es,0.022
every,0.011
facebook,0.011
fani,0.011
favorit,0.011
futsal,0.011
gadis,0.022
games,0.011
ganti,0.011
gaqcl,0.011
gawe,0.032
gbnkbkgcs,0.011
gedong,0.011
gek,0.022
gembala,0.011
gendar,0.011
gertak,0.011
giat,0.011
gila,0.022
gilang,0.011
gizi,0.011
glidik,0.011
google,0.011
grj,0.022
gulung,0.022
gunung,0.011
guru,0.032
gusti,0.011
habis,0.043
haduh,0.011
hai,0.032
hak,0.043
hakdes,0.011
hangat,0.011
hanya,0.011
harap,0.011
harapakn,0.011
hari,0.043
harum,0.011
harus,0.011
hasil,0.022
haus,0.011
henti,0.011
hijau,0.011
his,0.011
hitung,0.011
ho,0.032
hrg,0.011
hrp,0.011
htp,0.14
hujan,0.022
hunp,0.011
hw,0.011
ibadah,0.022
ibu,0.194
icj,0.011
ikut,0.043
ikzaeg,0.011
in,0.011
indah,0.011
indrayanti,0.011
ingat,0.022
ingin,0.011
ini,0.086
isn,0.011
iso,0.032
itu,0.108
iya,0.054
jadi,0.065
jagung,0.022
jalan,0.011
jam,0.011
jaman,0.011
jamur,0.011
janda,0.011
jantung,0.011
japri,0.011
jauh,0.011
jawir,0.011
jiwa,0.011
jobin,0.011
jogan,0.022
jombor,0.011
jual,0.011
juga,0.086
jwbn,0.011
kabar,0.011
kaca,0.022
kadang,0.022
kader,0.011
kadirojo,0.011
kae,0.011
kala,0.011
kalas,0.022
kalau,0.108
kali,0.043
kamar,0.022
kamis,0.011
kampus,0.011
kan,0.022
kandang,0.011
kantor,0.011
kapan,0.032
karena,0.032
kasultanan,0.011
kawat,0.011
kbh,0.011
kboa,0.011
keblasuk,0.011
kecil,0.011
kedung,0.011
kegiatane,0.011
kejar,0.011
kejut,0.011
kelas,0.043
keling,0.011
kelola,0.011
keluar,0.022
keluarga,0.032
kemah,0.011
kemanusian,0.011
kemarin,0.011
kembali,0.011
kenang,0.011
kenapa,0.054
kentang,0.011
