term,weight
ab,0.011
abu,0.011
acih,0.006
ad,0.011
ada,0.006
adalah,0.062
agar,0.011
agek,0.006
ah,0.011
ain,0.011
ais,0.006
ajak,0.011
ajar,0.022
aju,0.011
akan,0.011
akhir,0.034
akun,0.011
aldo,0.006
allah,0.006
aloh,0.006
amal,0.006
aman,0.011
ambo,0.017
amgmatayb,0.006
amin,0.006
aminke,0.006
amplas,0.006
an,0.011
anak,0.034
anda,0.303
angab,0.006
angpao,0.006
aniversarys,0.006
antar,0.011
any,0.006
anymore,0.006
ap,0.006
apa,0.073
apart,0.006
apo,0.006
argh,0.011
arjun,0.017
arti,0.017
arus,0.006
asalamualaykum,0.006
asli,0.006
astaga,0.006
atap,0.006
atas,0.045
atau,0.028
awesome,0.006
ayah,0.011
ayo,0.028
baca,0.056
bagaimana,0.011
bagi,0.006
bahagia,0.011
bahas,0.006
bahkan,0.011
baik,0.051
bajing,0.022
baju,0.006
bakar,0.011
balas,0.022
balek,0.006
balik,0.006
balon,0.011
bang,0.017
bangets,0.006
bangke,0.006
bangku,0.006
bangun,0.011
banyak,0.051
bapak,0.006
baperan,0.006
barakalah,0.006
bareng,0.006
baringan,0.006
baru,0.028
bawa,0.011
baye,0.006
bayi,0.011
bcqg,0.006
bebohong,0.006
beda,0.017
bedan,0.006
begitu,0.006
begoyor,0.006
beliau,0.006
belum,0.028
benar,0.017
benci,0.017
bentar,0.011
beranta,0.006
berapa,0.006
beri,0.006
berita,0.006
berkas,0.011
berkata,0.006
bersih,0.011
bertangung,0.006
besar,0.022
besok,0.006
bestfriend,0.006
between,0.006
bi,0.011
biasa,0.062
bicara,0.006
bidadari,0.006
bilang,0.006
bintang,0.006
bisa,0.034
bismilahirohmanirohim,0.006
biso,0.006
bobok,0.006
bodoh,0.011
bosan,0.011
boyfriend,0.006
buang,0.006
buat,0.051
budeg,0.006
bukan,0.045
buku,0.006
bulan,0.017
burstday,0.006
buruk,0.006
busuk,0.006
butuh,0.006
ca,0.006
cacaniago,0.067
cahxhj,0.006
cak,0.022
canggung,0.006
cara,0.017
cari,0.017
carier,0.006
cc,0.011
ce,0.073
cel,0.006
celaka,0.006
cemburu,0.006
cemil,0.017
cerewet,0.006
cerita,0.017
cgp,0.006
challenges,0.006
chaniago,0.011
cinta,0.056
cita,0.006
ciye,0.006
cjrunvijsr,0.006
ck,0.011
co,0.135
coba,0.028
commodification,0.006
condong,0.011
couldn,0.006
cpdajzvglw,0.006
cpns,0.006
creepy,0.006
cri,0.006
criminals,0.006
cuci,0.006
cuko,0.006
cuma,0.006
curi,0.006
cus,0.006
cuss,0.011
cyn,0.006
cynical,0.006
dady,0.006
dalam,0.006
dalangnyo,0.006
dan,0.034
dana,0.006
dandan,0.006
dangdut,0.011
dapat,0.011
dari,0.079
dasar,0.006
dasi,0.006
datang,0.006
daves,0.006
dbqw,0.006
debat,0.006
deities,0.006
dek,0.006
dementor,0.006
dendam,0.006
dengan,0.067
dengar,0.006
denget,0.006
departmental,0.006
deras,0.011
destroy,0.011
devirzha,0.006
dewasa,0.006
di,0.056
dia,0.017
diah,0.006
diam,0.067
diapoke,0.006
did,0.006
didi,0.006
dih,0.006
dikhawatirin,0.006
dilema,0.006
dimana,0.006
dimendrong,0.006
dinda,0.006
ding,0.006
dingin,0.006
dio,0.006
dips,0.006
direktur,0.006
diri,0.034
disco,0.006
disembunyin,0.006
dishalatkan,0.006
disini,0.006
dk,0.051
dkfshp,0.006
dlg,0.006
dluizpsjmv,0.006
doa,0.017
dokter,0.006
dong,0.006
doyan,0.006
dp,0.006
duka,0.006
dukung,0.006
dulu,0.028
duluanlah,0.011
dund,0.011
dunia,0.006
each,0.006
eaten,0.006
eftmc,0.006
eksistensi,0.006
ekspektasi,0.006
enak,0.006
enam,0.011
engkau,0.006
enough,0.006
erti,0.006
esok,0.006
etan,0.006
every,0.006
eyi,0.006
ezrvzauyj,0.006
fajar,0.006
faster,0.006
fck,0.006
february,0.006
feelings,0.006
fights,0.006
finis,0.006
foto,0.006
friends,0.017
gadis,0.039
gairah,0.011
gaji,0.006
galak,0.022
galo,0.006
ganggu,0.006
gantung,0.011
gaul,0.006
gaya,0.006
gayakgsoux,0.006
gelap,0.017
gelembung,0.006
gemar,0.006
gerutu,0.022
gigi,0.006
gijfo,0.006
gilo,0.006
gin,0.006
goda,0.006
google,0.006
gotye,0.011
goyang,0.006
gpjd,0.011
grinning,0.006
growing,0.006
gudnite,0.006
guling,0.011
guru,0.006
habibi,0.006
habis,0.006
hadap,0.006
haha,0.174
hai,0.006
hal,0.006
hamzah,0.006
hantu,0.011
hanya,0.022
hapynes,0.006
harap,0.011
harga,0.022
hari,0.045
harus,0.006
haters,0.006
hati,0.006
hbn,0.006
healer,0.006
heavy,0.006
helps,0.006
henti,0.011
heny,0.006
hidup,0.028
hilang,0.034
hingga,0.006
hitam,0.011
hj,0.006
horor,0.006
htp,0.135
hubungan,0.006
hujan,0.011
ibadah,0.006
ibu,0.034
idak,0.011
idola,0.022
ii,0.006
ik,0.006
ikhlas,0.006
ikut,0.045
ikutin,0.006
in,0.073
inalilahi,0.006
indah,0.006
indonesia,0.006
indonesian,0.006
indra,0.006
ingat,0.028
ingin,0.017
ini,0.062
insha,0.006
instead,0.006
invis,0.011
isolasi,0.006
istiqomah,0.006
isx,0.006
item,0.006
itu,0.208
iya,0.062
jadi,0.135
jaga,0.034
jahat,0.006
jajan,0.006
jakarta,0.006
jalan,0.017
jali,0.011
jam,0.017
jantung,0.006
jarak,0.006
jari,0.006
jauh,0.022
jawab,0.011
je,0.006
jelek,0.006
jelma,0.006
jigong,0.006
jika,0.011
jingok,0.006
jmpaoa,0.006
joged,0.011
joget,0.006
jomblo,0.006
juang,0.006
juara,0.006
judul,0.006
juga,0.022
jugijakgijakgijuk,0.006
jugo,0.006
jumbo,0.006
kabar,0.006
kabut,0.006
kagek,0.006
kaki,0.006
kalah,0.011
kalau,0.045
kali,0.045
kalian,0.017
kamar,0.017
kan,0.006
kancel,0.006
kapan,0.022
karena,0.022
karir,0.006
kasih,0.022
katek,0.006
kati,0.011
kaunilah,0.006
kayak,0.006
ke,0.006
kelak,0.006
keliru,0.006
keluar,0.022
keluarga,0.017
kemano,0.006
kemarin,0.011
kembali,0.011
kemped,0.011
ken,0.006
kena,0.006
kenang,0.006
kenapa,0.022
kentang,0.006
kepala,0.006
keras,0.006
kereta,0.006
keri,0.006
kerja,0.017
ketar,0.006
ketawain,0.006
ketika,0.022
khayal,0.006
kian,0.006
kilogram,0.006
kirim,0.011
kita,0.022
kito,0.022
kmi,0.011
kmn,0.011
kno,0.006
koma,0.006
kontak,0.006
kontrol,0.006
kosong,0.006
kuliah,0.006
kunyah,0.006
kuota,0.006
kurang,0.006
kursus,0.017
kutuk,0.006
kuyup,0.011
kw,0.006
kwan,0.006
la,0.006
lacur,0.006
lagi,0.034
lagu,0.017
lah,0.039
lahir,0.006
lain,0.034
laju,0.011
laki,0.067
laku,0.011
lalu,0.022
lama,0.017
lamo,0.006
lancang,0.011
langit,0.011
langka,0.006
langkah,0.006
langsung,0.051
lanjut,0.006
lantai,0.017
lapar,0.006
later,0.006
lebaran,0.006
lebih,0.045
lemak,0.006
lempar,0.006
letih,0.011
lewat,0.006
liar,0.006
libur,0.017
lihat,0.006
lil,0.006
ll,0.034
lofya,0.011
loh,0.006
lolos,0.006
loneranger,0.006
look,0.006
lumpuh,0.006
lupa,0.022
lupo,0.011
lux,0.011
maaf,0.011
mabuk,0.006
macam,0.006
madake,0.006
mahab,0.006
main,0.006
mainstream,0.006
makan,0.011
makanya,0.006
makin,0.011
mal,0.006
malabar,0.006
malah,0.017
malaikat,0.011
malam,0.028
malas,0.011
mamam,0.006
mampir,0.006
mampu,0.006
mana,0.017
manado,0.006
manis,0.011
manusia,0.011
mardiahrianti,0.006
marketing,0.006
masa,0.017
masalah,0.017
masih,0.017
masker,0.006
masya,0.006
masyarakat,0.006
materi,0.006
mati,0.006
mau,0.051
mblo,0.006
meja,0.006
melankolik,0.011
memang,0.022
membangakan,0.006
memberi,0.011
memories,0.006
menang,0.011
mengosok,0.006
meningalnya,0.006
mental,0.006
merah,0.006
mereka,0.039
meski,0.006
messed,0.006
might,0.006
mihij,0.006
milik,0.034
mimpi,0.006
minta,0.011
miris,0.006
misi,0.017
mkan,0.011
mntion,0.006
mobil,0.006
modal,0.006
mong,0.028
morgen,0.017
mosem,0.006
motivator,0.006
moy,0.006
mtcabaiwx,0.006
mudah,0.011
mudik,0.006
mudo,0.006
muhamad,0.017
mujarab,0.006
mulai,0.006
mulutnyo,0.006
mumbo,0.006
muncak,0.006
