term,weight
aduh,0.02
ajr,0.01
akal,0.01
akhir,0.01
al,0.01
alahu,0.02
an,0.031
anak,0.041
anda,0.102
andai,0.01
ang,0.02
apa,0.092
arti,0.031
asing,0.01
astaga,0.041
astapirulah,0.02
att,0.01
atulah,0.01
aul,0.02
ay,0.01
ayah,0.01
ayo,0.051
bagaimana,0.01
bagos,0.01
bagus,0.041
baik,0.031
bakwan,0.01
balik,0.01
balike,0.01
bangun,0.01
bangunin,0.02
banjar,0.031
banyak,0.031
bapak,0.061
bapake,0.01
baru,0.031
bayangin,0.01
beberapa,0.01
begitu,0.071
belah,0.01
belum,0.02
benar,0.092
benci,0.01
berani,0.01
berapa,0.01
betul,0.02
bgn,0.01
biasa,0.01
bilang,0.01
bing,0.01
bisa,0.01
bisabisa,0.01
bisabisanya,0.01
blok,0.01
bodoamat,0.01
bodoamatan,0.01
bolak,0.01
boleh,0.01
buat,0.031
budhe,0.01
buk,0.01
buka,0.02
bulan,0.031
bumi,0.01
canda,0.01
cantik,0.051
capani,0.01
celeng,0.01
cemangat,0.01
cemil,0.02
cepat,0.01
cerita,0.01
cinta,0.01
coba,0.031
cpt,0.01
cuma,0.02
cupang,0.01
cupcup,0.01
dadah,0.01
dan,0.071
dapat,0.01
dapur,0.01
dayung,0.01
definisi,0.01
dek,0.041
depan,0.041
desa,0.01
detik,0.01
di,0.01
digituin,0.01
dikagetin,0.01
dimanfatin,0.01
dinding,0.01
dipikiranya,0.01
ditimeline,0.01
doang,0.02
dokter,0.01
dong,0.02
drama,0.02
dulu,0.01
edan,0.01
ek,0.01
emosyenel,0.01
empuk,0.02
enak,0.041
enyak,0.01
ericson,0.01
eskrim,0.01
facebook,0.01
gabung,0.01
gaenak,0.02
galiat,0.01
gang,0.01
gapaham,0.01
gausa,0.01
gel,0.02
gemas,0.01
gerbang,0.02
gerebek,0.01
gibah,0.01
gigi,0.01
gila,0.051
gin,0.041
goreng,0.01
gosok,0.01
gpa,0.031
griya,0.01
habis,0.031
hadir,0.01
hadu,0.01
hai,0.01
haladzim,0.01
halus,0.01
hampir,0.02
hari,0.031
harus,0.02
has,0.01
hati,0.01
hatihati,0.01
henti,0.112
hih,0.01
hilang,0.031
hua,0.01
humoris,0.01
hyunbin,0.01
ibadah,0.01
ibu,0.041
ih,0.051
ikut,0.132
ikuti,0.102
iman,0.01
info,0.01
ingat,0.031
ingin,0.02
inshalah,0.01
inti,0.01
iso,0.02
isya,0.01
itu,0.041
iya,0.041
iyaih,0.01
jadi,0.092
jail,0.01
jakarta,0.01
jalan,0.01
jalane,0.01
jam,0.01
jangkau,0.01
janji,0.02
jawab,0.02
juga,0.02
kabur,0.01
kalau,0.122
kali,0.01
kalian,0.01
kamar,0.01
kan,0.041
kayak,0.02
kecute,0.01
kejut,0.031
keluarga,0.01
keluh,0.01
ken,0.01
kenapa,0.031
keren,0.031
keroyokan,0.01
kesal,0.01
kesana,0.01
ketawa,0.02
ketemu,0.01
ki,0.02
kiko,0.02
kiky,0.01
korea,0.02
kota,0.01
koyok,0.01
kucing,0.01
kunci,0.02
kuncir,0.01
kurang,0.01
kurleb,0.01
lagi,0.051
laki,0.122
