term,weight
ada,0.031
adain,0.006
adalah,0.006
adan,0.006
adonanya,0.006
agar,0.031
aglio,0.012
aidzin,0.006
air,0.012
ajar,0.006
akan,0.025
akhir,0.05
aktifitas,0.006
aktivitas,0.012
akun,0.006
al,0.006
ala,0.044
alas,0.006
alias,0.006
ambil,0.006
amin,0.006
ampuh,0.006
an,0.062
anak,0.019
analgetik,0.006
anda,0.069
andil,0.006
andrea,0.006
angkat,0.012
anjal,0.006
antisipasi,0.006
apa,0.056
apd,0.006
arah,0.006
arek,0.006
arep,0.006
arti,0.012
asli,0.006
asrama,0.006
astaga,0.006
atas,0.006
awat,0.006
ayam,0.006
ayo,0.05
baca,0.012
badan,0.019
bagaimana,0.025
bagi,0.012
bahan,0.012
bahas,0.006
bahkan,0.012
baik,0.087
baju,0.012
balas,0.006
balik,0.019
balsem,0.012
bamer,0.006
banila,0.006
bantai,0.006
banyak,0.087
bapak,0.031
baput,0.006
barakalah,0.006
barang,0.006
barier,0.006
baru,0.019
basah,0.006
batas,0.006
batin,0.006
bau,0.012
bawa,0.006
bawang,0.006
bayam,0.006
bayangin,0.006
bayar,0.012
beban,0.006
bebas,0.006
beberapa,0.006
bedain,0.006
bedebah,0.006
begitu,0.062
bekas,0.012
beku,0.006
bel,0.019
belah,0.006
beli,0.031
beliau,0.006
ben,0.012
benang,0.006
benar,0.062
benih,0.019
bentar,0.006
benzoyl,0.006
ber,0.006
berani,0.012
berapa,0.025
bermingu,0.006
bersih,0.012
bersihin,0.012
berterimakasih,0.006
besar,0.012
besok,0.012
bhre,0.006
bhrekata,0.006
biasa,0.037
biasane,0.006
biaya,0.012
biji,0.006
bikine,0.006
bilang,0.031
bimbel,0.006
bimbing,0.012
bingung,0.006
bisa,0.037
bitemporal,0.006
blomka,0.006
blukutuk,0.012
bodoh,0.012
boleh,0.006
bombay,0.006
bos,0.006
boyok,0.006
branding,0.006
breakout,0.006
buah,0.006
buat,0.194
buka,0.031
bukan,0.012
bukune,0.006
bulan,0.012
bumbu,0.006
bumi,0.012
cabai,0.012
cabut,0.006
cahaya,0.012
cair,0.006
campur,0.006
candu,0.006
cara,0.012
carbys,0.006
cari,0.012
cegah,0.006
cegat,0.012
cemil,0.094
cemplungin,0.006
cerita,0.006
cetaphil,0.006
chak,0.019
che,0.012
chia,0.019
chiasma,0.006
ciduk,0.006
cincin,0.006
cinta,0.006
cme,0.006
co,0.006
coba,0.056
cocok,0.006
contoh,0.006
corona,0.012
cosrx,0.006
crabys,0.019
cuaca,0.006
cuci,0.006
cuma,0.037
cumi,0.019
curhat,0.006
daftar,0.006
dal,0.006
dalam,0.012
damar,0.006
dan,0.012
dapat,0.012
dapur,0.006
dari,0.025
dasar,0.006
datang,0.012
daun,0.006
deh,0.019
denyut,0.006
depan,0.012
derita,0.006
dewe,0.006
di,0.05
dibantuin,0.006
dibesarin,0.006
didik,0.012
dih,0.006
dikat,0.006
dikirimin,0.006
dikit,0.006
dilema,0.006
ding,0.012
dingin,0.006
diri,0.094
diris,0.006
dismenore,0.012
doa,0.037
dobrak,0.006
dokter,0.019
dosa,0.006
drama,0.006
duduk,0.006
dukung,0.006
dulu,0.025
dunia,0.006
dusta,0.006
edisi,0.006
efek,0.025
eh,0.012
el,0.006
en,0.006
enak,0.037
engkau,0.012
entah,0.006
erat,0.006
eropa,0.006
es,0.006
exfo,0.006
faidzin,0.006
falah,0.006
faris,0.006
fisik,0.006
fit,0.006
flu,0.006
foto,0.012
fw,0.012
gaberani,0.006
ganti,0.012
gaptek,0.006
gara,0.006
garam,0.019
gatal,0.006
gawat,0.006
gelisah,0.006
gemas,0.006
gendut,0.006
geprek,0.006
gigi,0.006
gin,0.025
google,0.006
gor,0.006
goreng,0.012
gosip,0.006
gosong,0.006
gratis,0.006
guampang,0.006
gula,0.019
gurita,0.037
guru,0.006
habiburahman,0.006
habis,0.019
hadalabo,0.006
hadir,0.006
haha,0.062
haji,0.006
hampir,0.006
hangat,0.006
hanum,0.006
hapal,0.006
hapalan,0.006
harap,0.012
harga,0.019
hari,0.056
haru,0.012
hasil,0.019
hasile,0.006
hati,0.025
hayo,0.006
hemianopsia,0.006
henti,0.012
hidrasi,0.006
hidup,0.031
highend,0.006
hilang,0.006
himalaya,0.006
hina,0.006
hipertiroid,0.006
hipofisis,0.006
hirata,0.006
hubung,0.006
hujan,0.006
huni,0.006
ibu,0.069
ibuknya,0.006
ih,0.006
ikan,0.006
ikm,0.006
iku,0.006
ikut,0.012
ilmu,0.006
impaksi,0.006
indah,0.006
induksi,0.006
ingat,0.012
ini,0.037
instagram,0.006
intake,0.012
intensitas,0.006
interna,0.006
inti,0.006
intoksikasi,0.006
isi,0.006
isine,0.006
isis,0.006
itu,0.044
iya,0.025
jadi,0.131
jaga,0.006
jagung,0.012
jahe,0.025
jajan,0.006
jalan,0.044
jam,0.012
jane,0.006
janji,0.019
jari,0.006
jatim,0.006
jauh,0.012
jawab,0.031
jelas,0.012
jerawat,0.037
jeruk,0.012
jiwa,0.006
juang,0.006
juga,0.012
jurnal,0.006
kacamata,0.006
kadang,0.006
kadar,0.006
kait,0.006
kalau,0.169
kali,0.025
kalian,0.031
kalori,0.012
kambing,0.006
kampus,0.006
kan,0.05
kanjeng,0.019
kantung,0.006
kapal,0.006
kapan,0.012
kapok,0.006
karang,0.006
kasi,0.012
kasih,0.025
kasus,0.006
kata,0.012
kayak,0.062
kayu,0.006
ke,0.006
kebab,0.006
kebuli,0.006
kecantol,0.006
kecap,0.006
kecewa,0.012
kecuali,0.006
kehidupanya,0.006
kejar,0.006
keju,0.006
keluar,0.025
keluarga,0.006
keluh,0.006
kemaruk,0.006
ken,0.044
kena,0.006
kenapa,0.031
kencur,0.006
kendali,0.006
kenya,0.006
kepala,0.012
keple,0.006
kerja,0.031
kesal,0.006
ketat,0.006
ketemu,0.006
khan,0.006
kiehl,0.006
kilo,0.025
kira,0.012
kirim,0.006
kita,0.012
kleveru,0.006
koas,0.012
kode,0.006
kombucha,0.006
kompor,0.006
konfirmasi,0.006
konsulen,0.012
kontrol,0.006
kopi,0.006
korea,0.006
koreksi,0.006
kos,0.006
kotak,0.006
krim,0.006
kuat,0.006
kubukain,0.006
kucing,0.012
kulit,0.056
kunci,0.006
kunyit,0.006
kurang,0.025
kurus,0.006
lagi,0.006
lah,0.019
laki,0.012
laku,0.006
lalai,0.006
lalu,0.019
lama,0.031
langit,0.006
lanjutin,0.006
lapar,0.006
lapo,0.006
laptop,0.019
lari,0.019
layar,0.006
layu,0.006
lebaran,0.025
lebih,0.025
lega,0.006
lelah,0.006
lemah,0.006
lemari,0.006
lembab,0.006
lembut,0.006
lemon,0.006
lena,0.006
lewat,0.025
leyeh,0.006
lgsung,0.012
lha,0.012
lho,0.006
liatin,0.012
libur,0.006
lihat,0.05
liye,0.012
lms,0.006
log,0.006
lokal,0.012
lonjong,0.006
los,0.006
luar,0.006
lubang,0.037
lumayan,0.006
lupa,0.025
luput,0.006
lurus,0.006
maaf,0.012
madu,0.012
maino,0.012
maizena,0.012
makan,0.012
makanya,0.006
makhluk,0.006
makin,0.025
mal,0.006
malah,0.012
malam,0.006
malu,0.037
mami,0.012
mana,0.031
mandi,0.019
manfatnya,0.006
manis,0.062
mantap,0.006
manusia,0.031
manusiawi,0.006
marah,0.006
marinasi,0.006
masa,0.006
masak,0.012
masakanya,0.006
masakin,0.006
masih,0.006
masio,0.006
masker,0.006
masuk,0.031
masya,0.006
mata,0.019
matah,0.006
materi,0.006
mati,0.025
mau,0.106
mauw,0.006
mbah,0.006
mbuh,0.006
med,0.006
melu,0.006
memafkan,0.006
memang,0.069
mendem,0.006
mendengarkan,0.006
menit,0.006
menu,0.006
mereka,0.006
merem,0.012
merk,0.006
mesir,0.012
mie,0.006
migrain,0.006
mimpi,0.006
mindsetnya,0.006
minggu,0.006
minta,0.019
minum,0.019
minyak,0.019
mirip,0.012
misal,0.006
misi,0.006
misteri,0.006
mizu,0.006
mobil,0.019
mpasi,0.006
muda,0.006
mudah,0.025
mudik,0.012
muka,0.006
mukena,0.012
mula,0.006
mulai,0.012
multitasking,0.006
muncul,0.006
mungkin,0.019
murah,0.006
musuh,0.006
na,0.006
nagih,0.006
naik,0.006
naj,0.025
nanas,0.019
nanyain,0.006
narkoba,0.006
nasi,0.012
nduwe,0.006
nebula,0.006
negeri,0.012
nemuin,0.006
nenek,0.019
neraka,0.012
ngaduknya,0.006
ngajakin,0.006
ngantuk,0.019
nge,0.006
ngecilin,0.006
ngelupas,0.006
nget,0.012
ngih,0.006
ngilangin,0.006
ngilani,0.006
ngono,0.012
ngucek,0.006
ngungsi,0.006
ngurangin,0.006
niat,0.019
nikmat,0.012
nin,0.025
ning,0.006
nipi,0.006
nolak,0.006
nopal,0.006
nt,0.019
nu,0.006
nur,0.006
nya,0.031
nyaman,0.006
nyanyi,0.012
nyata,0.031
nyawa,0.012
nyebutnya,0.006
nyemil,0.006
nyeri,0.025
nyiapin,0.006
nyobanya,0.006
oat,0.006
ob,0.006
obrol,0.006
obsgyn,0.006
offline,0.006
oiya,0.012
ojo,0.006
olah,0.006
olahraga,0.019
olio,0.012
omahku,0.006
omo,0.006
ongkir,0.006
online,0.012
opticum,0.006
orang,0.087
oreo,0.012
oven,0.006
padahal,0.025
padang,0.006
pagi,0.025
paham,0.006
pahit,0.006
pakai,0.15
pakenya,0.012
paksa,0.006
paling,0.037
pandemi,0.025
panekuk,0.006
panjang,0.006
papi,0.006
papul,0.006
parah,0.006
pasar,0.006
pasien,0.012
pasti,0.012
pdfnya,0.006
peach,0.006
peduli,0.006
pegang,0.006
pekerjaan,0.012
pelihara,0.006
pemakain,0.006
penasaran,0.012
pencernan,0.006
pencitran,0.012
pengaruh,0.006
pengirim,0.012
penuh,0.012
pepes,0.012
per,0.019
peras,0.006
percaya,0.037
perhati,0.006
peristiwa,0.006
perlu,0.006
pernah,0.031
persis,0.006
pertama,0.006
perum,0.006
pijat,0.006
pikir,0.012
piknik,0.006
pilih,0.019
pindah,0.006
pintu,0.044
pisang,0.006
po,0.012
podcast,0.006
pokok,0.006
pokoke,0.006
pola,0.012
polos,0.006
polusi,0.006
poo,0.006
pos,0.006
posisi,0.006
potong,0.012
praktek,0.006
praktis,0.006
pramuka,0.006
pras,0.006
prasangka,0.006
presentasi,0.006
pribadi,0.006
probiotik,0.006
produk,0.012
produku,0.006
program,0.006
prungahan,0.006
puasa,0.031
pudar,0.006
punggung,0.006
punya,0.012
pustul,0.006
putar,0.006
putus,0.012
quick,0.006
rab,0.006
racun,0.006
radang,0.006
rafting,0.006
rais,0.006
rajin,0.006
rajungan,0.019
rajungane,0.006
rampung,0.006
rasa,0.062
rawat,0.006
rebus,0.006
reda,0.006
rek,0.019
rekomendasi,0.006
rela,0.006
rencana,0.006
resep,0.019
resepe,0.006
rhinitis,0.006
ribu,0.019
rindu,0.05
ringan,0.006
roh,0.006
roti,0.006
rsud,0.006
rumah,0.062
rumput,0.006
saat,0.019
sabar,0.031
sadar,0.012
saja,0.1
saji,0.006
sakit,0.031
saknoe,0.006
salah,0.056
sama,0.125
sambal,0.019
sambat,0.012
sampah,0.006
sampai,0.081
sana,0.012
sang,0.006
sapi,0.006
satpam,0.006
satu,0.025
saudara,0.144
saus,0.025
saya,0.394
sayang,0.006
sayur,0.006
scrubnya,0.006
se,0.006
seafood,0.006
sebagai,0.006
sebar,0.006
sebentar,0.006
sebuah,0.006
secepet,0.006
sedang,0.025
sedih,0.031
sedikit,0.012
seduh,0.006
segera,0.019
segi,0.006
sehat,0.056
sejak,0.012
sekali,0.094
sekaligus,0.006
sekarang,0.006
sekering,0.006
sekolah,0.006
selai,0.006
selalu,0.019
selamat,0.012
selip,0.006
selipin,0.006
seluruh,0.006
semangat,0.031
semangatin,0.006
sembuh,0.012
sembuhin,0.006
semen,0.006
semesta,0.006
seminggu,0.006
semoga,0.025
sempat,0.019
sempoyongan,0.006
semua,0.006
senantiasa,0.006
sendiri,0.037
sendok,0.006
sengaja,0.006
senka,0.006
sentuh,0.006
serba,0.006
sereh,0.006
sering,0.025
serum,0.012
sesal,0.006
setup,0.006
shin,0.006
shirazy,0.006
shopee,0.006
si,0.006
siap,0.019
siapa,0.012
sidang,0.006
sih,0.056
silah,0.006
simpan,0.012
sinar,0.006
sini,0.037
sinyal,0.006
situ,0.006
skripsi,0.019
slsai,0.006
soal,0.044
soale,0.031
sok,0.006
solo,0.006
sombong,0.006
spesialis,0.006
stase,0.006
stretching,0.012
suara,0.006
suasana,0.006
sudah,0.137
suguh,0.006
suka,0.025
sungguh,0.006
sungkem,0.012
sunscreen,0.006
super,0.006
support,0.006
suruh,0.006
surup,0.006
susah,0.006
susu,0.006
syafakilah,0.006
syekale,0.006
syukur,0.044
tadi,0.012
tahan,0.006
tahu,0.031
tahun,0.019
takikardi,0.006
tambah,0.025
tambahin,0.006
tampak,0.006
tanah,0.006
tanduk,0.006
tangan,0.019
tanggung,0.006
tani,0.006
tantang,0.006
tanya,0.006
tapi,0.05
tawa,0.181
tawan,0.006
tawar,0.012
tebak,0.006
tegang,0.006
teh,0.006
tekan,0.006
tekstur,0.006
telah,0.006
telanjang,0.006
telepon,0.006
teman,0.025
temangung,0.012
tembak,0.006
tempat,0.012
