term,weight
ada,0.051
adalah,0.02
adapun,0.02
agar,0.02
ah,0.02
air,0.01
ajar,0.01
akhir,0.051
al,0.01
alamin,0.01
alas,0.01
alhamdulah,0.01
alias,0.01
ambilin,0.01
amin,0.02
an,0.02
anak,0.061
anda,0.154
andante,0.01
angkat,0.01
anjg,0.01
anjr,0.01
anti,0.01
aowkwowkowkwowko,0.01
ap,0.01
apa,0.113
apatidasakit,0.01
aqu,0.01
arap,0.01
arti,0.02
asam,0.02
asin,0.01
asli,0.031
atlet,0.01
ayah,0.01
ayam,0.01
ayo,0.041
baca,0.02
bagaimana,0.051
bah,0.01
baik,0.031
baju,0.01
balas,0.01
balik,0.01
bang,0.02
bangetrt,0.01
bangun,0.01
banya,0.01
banyak,0.031
banyap,0.01
baru,0.01
bawa,0.02
bayi,0.01
bca,0.01
beda,0.01
begini,0.031
behind,0.01
bekicot,0.01
beli,0.02
belum,0.031
benar,0.051
bentar,0.01
beranda,0.02
berang,0.01
berapa,0.02
berkah,0.01
bersihin,0.01
besar,0.041
betah,0.01
biasa,0.02
bibilung,0.01
bibit,0.01
bicara,0.02
bikinin,0.01
bisa,0.01
blackpink,0.041
blackpinka,0.01
bni,0.01
boker,0.01
bom,0.02
bonus,0.01
bq,0.01
br,0.02
buah,0.01
buat,0.092
bubur,0.01
buka,0.041
bukain,0.01
bukan,0.02
bulu,0.01
bya,0.02
cahaya,0.01
cara,0.031
cari,0.031
celana,0.01
celup,0.01
cemana,0.01
cemil,0.082
cengkeh,0.01
cerdas,0.01
cetak,0.01
ceu,0.01
chu,0.01
cinta,0.02
cir,0.01
coba,0.041
coklat,0.02
cuma,0.01
curhatan,0.01
da,0.051
dalam,0.02
dan,0.031
dapat,0.02
dari,0.072
daripada,0.01
dasar,0.01
datang,0.061
dede,0.01
definisi,0.01
deh,0.01
dekat,0.041
dengan,0.01
desie,0.01
detail,0.01
dia,0.02
dideket,0.01
didip,0.01
digentayangin,0.01
dikit,0.01
dimana,0.01
dinget,0.01
dipangil,0.01
diputusin,0.01
disiapin,0.01
doa,0.01
doang,0.031
dong,0.041
dosa,0.01
drtd,0.01
dulu,0.061
duluan,0.031
dunia,0.01
duren,0.01
efek,0.01
eh,0.02
email,0.01
enak,0.051
et,0.01
euy,0.01
faedah,0.01
feast,0.01
foto,0.01
gaga,0.031
gahskslwksnsnsjks,0.01
gajah,0.01
ganguan,0.031
ganti,0.01
garam,0.01
gaya,0.02
geo,0.01
gerah,0.01
gercep,0.02
gigi,0.031
gila,0.01
gin,0.031
global,0.01
goa,0.02
gobol,0.01
goler,0.01
google,0.01
goreng,0.01
goyah,0.041
gozi,0.02
grat,0.02
gsre,0.01
gugup,0.01
gushcloud,0.01
habis,0.01
hadiah,0.01
hahahahahaha,0.01
hahahahahahaha,0.01
hai,0.01
halusinasi,0.01
hamba,0.01
hamil,0.02
hampir,0.02
hamster,0.01
handz,0.01
hanya,0.02
hapus,0.01
hari,0.051
hasil,0.01
hati,0.031
hghagsha,0.01
hibur,0.01
hidup,0.061
hitung,0.02
honda,0.01
hoo,0.01
hujan,0.01
ibu,0.031
ifah,0.01
igun,0.01
ikan,0.01
ikut,0.01
in,0.01
ina,0.01
indihm,0.01
indonesian,0.01
ingat,0.01
ingin,0.01
ini,0.031
instagram,0.01
inti,0.01
ipe,0.02
ipeh,0.01
itu,0.051
iya,0.154
iyu,0.01
jadi,0.123
jakarta,0.01
jalan,0.051
jamah,0.01
jamin,0.01
jamsegini,0.01
jantung,0.02
jarang,0.01
jari,0.01
jaring,0.01
jarjit,0.01
jauh,0.01
jawab,0.01
jedug,0.01
jengkol,0.01
jenie,0.01
jisu,0.01
jiwa,0.02
jk,0.01
jodoh,0.02
jual,0.01
judul,0.01
juga,0.031
jus,0.01
kaca,0.01
kacamata,0.01
kaki,0.01
kalau,0.113
kali,0.031
kamar,0.01
kamper,0.01
kan,0.051
kapan,0.01
karena,0.051
kartu,0.01
kasi,0.02
kata,0.02
kayak,0.01
ke,0.01
kebahagian,0.01
kebas,0.01
kebel,0.01
kecap,0.01
kecil,0.01
kejedag,0.01
keju,0.01
kelelawar,0.082
keluarga,0.031
kemari,0.01
kemarin,0.02
ken,0.01
kena,0.01
kenal,0.01
kenapa,0.072
kenyang,0.01
kerendem,0.01
keruma,0.01
kesal,0.02
kesana,0.01
ketemen,0.01
ketemu,0.02
ketinggalan,0.01
klaim,0.01
koala,0.01
kodepos,0.01
kompor,0.01
kontrak,0.01
koran,0.01
kosong,0.02
krim,0.01
kuah,0.01
kuali,0.02
kuas,0.01
kucing,0.031
kukus,0.01
kumur,0.01
kuning,0.01
kurang,0.01
kurir,0.02
kweni,0.01
la,0.01
lagi,0.092
lagu,0.031
lah,0.041
laki,0.061
lalu,0.01
lama,0.041
langseng,0.02
langsung,0.01
lathi,0.01
laut,0.01
lebaran,0.01
lebih,0.01
lelet,0.01
lengkunganya,0.01
lewat,0.082
liatin,0.01
lidah,0.01
lidi,0.031
lihat,0.072
lingkar,0.01
liris,0.01
lisa,0.01
lisan,0.01
liwet,0.01
lontong,0.01
ls,0.02
lsg,0.02
luar,0.01
lupa,0.031
maaf,0.02
magrib,0.01
maha,0.01
mahir,0.01
makan,0.01
makaroni,0.01
makas,0.02
makenya,0.01
makin,0.072
malah,0.01
malam,0.01
malas,0.01
malu,0.01
mampang,0.01
mana,0.041
manasin,0.01
mandi,0.01
mantap,0.031
masak,0.031
masala,0.01
masalah,0.01
masker,0.01
masuk,0.02
matang,0.01
mati,0.02
mau,0.041
maut,0.02
mawar,0.01
mecin,0.01
media,0.02
meh,0.01
mejit,0.02
memang,0.031
menikah,0.01
meningalnya,0.01
mentang,0.01
menyenagkan,0.01
merah,0.01
merem,0.01
merinding,0.01
merk,0.01
mgkn,0.031
mie,0.01
minta,0.01
minum,0.01
minyak,0.02
mirip,0.01
misi,0.01
mita,0.01
mntb,0.01
molly,0.01
motor,0.02
mpo,0.02
mpris,0.01
muda,0.02
muka,0.01
mulut,0.01
muncul,0.01
munfaridnya,0.01
mvp,0.01
nah,0.02
nama,0.02
nampol,0.01
nang,0.02
nas,0.01
nasgil,0.01
nasi,0.051
nastar,0.031
neraka,0.01
nextar,0.01
ngadon,0.01
ngaron,0.031
ngasal,0.01
nge,0.01
ngebahagiyain,0.01
ngegoreng,0.01
ngehe,0.01
ngeliwet,0.01
ngetwit,0.01
ngilu,0.02
ngmgnya,0.01
ngulang,0.01
nimbrung,0.01
nya,0.092
nyamper,0.01
nyamuk,0.01
nyaplok,0.01
nyata,0.01
oaket,0.01
obrol,0.01
oke,0.092
olahraga,0.01
olx,0.01
omong,0.061
online,0.02
orang,0.041
otak,0.01
pa,0.01
pada,0.01
padahal,0.02
padu,0.01
pai,0.01
paketlangsung,0.01
pala,0.01
paling,0.02
pandan,0.02
panjang,0.01
parsel,0.01
pasang,0.01
pasar,0.01
pasien,0.01
pasti,0.01
patah,0.01
pecel,0.01
pelan,0.01
peleset,0.01
pelihara,0.01
pemuda,0.01
pena,0.01
penuh,0.02
peras,0.01
perawan,0.01
pergi,0.01
periksa,0.01
peristiwa,0.01
permen,0.02
pernah,0.02
pertama,0.041
pertamax,0.01
perut,0.01
pesawat,0.01
photobok,0.01
pik,0.01
pikir,0.01
pilih,0.01
pintu,0.01
plester,0.01
podcast,0.01
pola,0.01
potek,0.01
pria,0.01
pulang,0.01
punya,0.031
pusreng,0.01
qwat,0.01
rabu,0.01
raisa,0.01
rasa,0.02
receh,0.01
rekomendasi,0.01
reskuker,0.01
reza,0.01
ribu,0.01
ribut,0.01
rindu,0.01
rujak,0.01
rumah,0.051
sadar,0.01
saja,0.092
sakit,0.051
salah,0.02
salam,0.01
salamasalamualaikum,0.01
salur,0.01
sama,0.123
sampai,0.072
samsul,0.01
sana,0.01
sariawan,0.01
satpam,0.02
satu,0.01
saudara,0.184
sawah,0.01
saya,0.461
sayang,0.01
sebrang,0.01
sebuah,0.01
sedih,0.02
segar,0.01
sehat,0.01
sejarah,0.01
sekali,0.102
sekarang,0.031
sekolah,0.01
selamat,0.031
selesai,0.031
semangat,0.01
semua,0.01
semuany,0.01
senang,0.01
seperti,0.123
serius,0.01
serlok,0.01
sesal,0.01
set,0.01
seta,0.01
shani,0.01
si,0.031
siap,0.031
skt,0.01
soal,0.02
softx,0.01
solat,0.01
solved,0.01
sop,0.01
stmj,0.01
suara,0.041
sudah,0.164
suka,0.061
sulis,0.031
susah,0.01
sushi,0.01
syap,0.01
sylan,0.01
syukur,0.02
tadi,0.01
tagging,0.01
tahu,0.123
taiti,0.01
takot,0.01
takut,0.041
tambah,0.01
tampan,0.01
tangguh,0.01
tanya,0.01
tapi,0.072
taqut,0.01
taruh,0.01
tatap,0.01
taw,0.01
tawa,0.133
teh,0.031
telegram,0.02
teman,0.051
temenya,0.01
temu,0.01
tenang,0.01
tengah,0.01
tentang,0.01
terap,0.01
terngakak,0.01
terus,0.061
tetap,0.01
tg,0.01
tidak,0.348
tinggal,0.031
tolong,0.01
tonton,0.01
topoki,0.01
tua,0.02
tuhan,0.051
tujuanya,0.01
tukang,0.01
tulis,0.02
tutuo,0.01
twitter,0.01
uang,0.02
ubin,0.01
umang,0.01
umur,0.01
untuk,0.02
upeti,0.01
usah,0.02
usil,0.01
usri,0.01
utas,0.01
video,0.01
viral,0.01
wajib,0.01
waktu,0.051
walau,0.01
wanita,0.061
warna,0.02
wkakwkwakwkwkaka,0.02
wkwkowkqkwq,0.01
wkwkwkwjwjw,0.01
wkwkwkwkwkwkwk,0.01
wkwkwkwkwkwkwkwkwkw,0.01
wkwkwkwkwo,0.01
wkwokwowkwowow,0.01
wota,0.01
writers,0.01
wuih,0.01
yah,0.01
yak,0.02
yang,0.358
yanih,0.02
youtube,0.01
yusro,0.01
