term,weight
abad,0.012
abadi,0.012
ac,0.012
acih,0.012
ada,0.047
adab,0.012
adalah,0.024
adel,0.012
adil,0.012
aduh,0.047
aduk,0.024
afi,0.012
agar,0.035
ajar,0.012
akdewe,0.024
alumni,0.012
aman,0.047
ambigu,0.012
ambil,0.012
amin,0.012
ampun,0.035
an,0.024
anak,0.024
anda,0.071
anggap,0.012
apa,0.118
apotek,0.024
aroma,0.012
arti,0.024
artis,0.012
asli,0.012
astaga,0.059
atas,0.012
awal,0.012
ayo,0.047
baca,0.035
badan,0.012
bagaimana,0.047
bahagiain,0.012
bahas,0.012
baik,0.035
baiq,0.012
bajing,0.012
baju,0.012
balas,0.024
balesnya,0.012
bambank,0.012
bandana,0.012
bangga,0.024
bangku,0.012
bangun,0.024
bantu,0.012
banyak,0.035
bapak,0.082
barkui,0.012
baru,0.071
bawa,0.012
beberapa,0.024
beda,0.024
begini,0.012
begitu,0.118
bekal,0.012
belah,0.012
beli,0.035
belum,0.012
benar,0.035
benci,0.012
beng,0.024
bentuk,0.012
bersih,0.012
besok,0.024
biasa,0.012
bicara,0.024
bilang,0.024
bingung,0.012
bisa,0.012
bmkg,0.012
bolo,0.012
botol,0.012
brokat,0.012
brownies,0.012
buang,0.024
buat,0.024
bubar,0.012
buber,0.012
budak,0.024
budaya,0.012
buka,0.012
bukan,0.035
buku,0.012
bumbu,0.012
bumi,0.012
bungkus,0.012
buntel,0.012
buru,0.012
burung,0.012
cahaya,0.012
camping,0.012
cara,0.012
cari,0.012
catat,0.012
cemburu,0.012
cemil,0.024
cerita,0.035
chatingan,0.012
cinta,0.035
coba,0.012
cukup,0.012
cuma,0.024
dadi,0.012
daftar,0.012
damai,0.012
dapur,0.012
dari,0.035
dasar,0.024
datang,0.012
dawet,0.012
debat,0.012
decolgen,0.012
demit,0.012
dengan,0.012
dengar,0.012
dewe,0.012
dewi,0.012
dia,0.012
diam,0.012
diare,0.012
dibekuin,0.012
didiemin,0.012
dikatain,0.024
dikit,0.035
dilebokne,0.012
dilema,0.012
dimarahin,0.012
dinei,0.012
dinga,0.012
dingin,0.024
diri,0.059
ditandain,0.012
dong,0.035
dosa,0.012
dude,0.012
dukun,0.012
dulu,0.118
ealah,0.012
edan,0.012
ejek,0.012
el,0.035
emosi,0.012
enak,0.071
eneg,0.012
faraz,0.012
fast,0.012
fika,0.012
fiksi,0.012
fine,0.012
fremilt,0.012
friday,0.012
gaenak,0.024
ganti,0.012
gara,0.035
garis,0.012
gasempet,0.012
gawe,0.012
gelem,0.012
gelisah,0.012
gemas,0.047
geprek,0.012
gin,0.024
gojek,0.012
goler,0.012
goreng,0.012
grup,0.012
guemes,0.012
gulir,0.012
gumoh,0.012
gws,0.012
habis,0.012
hadir,0.012
halusinasi,0.012
han,0.035
handbodyan,0.012
hapus,0.012
harap,0.012
harga,0.035
hati,0.012
hayolo,0.012
hidup,0.012
hijau,0.012
hilang,0.012
hina,0.012
hobi,0.012
horor,0.012
humoris,0.012
ibu,0.071
ijoli,0.012
ikut,0.012
ilangin,0.012
in,0.024
ina,0.012
indonesia,0.012
ingat,0.012
ini,0.059
instagram,0.012
iri,0.012
isi,0.012
itu,0.024
itunganya,0.012
iya,0.094
jadi,0.118
jadin,0.012
jaga,0.024
jam,0.059
jawab,0.012
jdnya,0.012
jiakh,0.024
jiwa,0.012
jomblo,0.012
juga,0.012
jurnal,0.012
kabar,0.012
kadang,0.012
kah,0.012
kalau,0.118
kali,0.047
kalian,0.012
kamar,0.012
kampus,0.012
kan,0.071
kapan,0.012
karena,0.024
kata,0.012
kayak,0.012
ke,0.012
kebrisikan,0.012
keburu,0.012
kelas,0.012
kelipet,0.012
keluarga,0.024
kemudian,0.012
ken,0.059
kenapa,0.177
keras,0.012
kerja,0.024
ketemu,0.024
kn,0.012
koe,0.012
kombinasi,0.012
kono,0.012
konsep,0.012
konser,0.012
kos,0.012
kuli,0.012
kuliah,0.035
kulkas,0.024
kuning,0.012
kurus,0.012
lak,0.024
laki,0.059
lalu,0.024
lama,0.012
langeng,0.012
langsung,0.024
lapor,0.012
lawan,0.012
lebaran,0.012
lebih,0.059
lega,0.012
lelah,0.012
lelap,0.012
lembut,0.012
lewat,0.024
lho,0.024
lifebuoy,0.012
lihat,0.012
lipet,0.012
listrik,0.012
lockdown,0.012
luk,0.024
luna,0.012
lupa,0.012
lyke,0.012
maaf,0.012
made,0.012
mahal,0.012
mak,0.012
makhluk,0.012
maksud,0.012
makul,0.012
malah,0.059
malam,0.035
malang,0.024
malaysia,0.012
mana,0.035
manis,0.024
manja,0.012
mantap,0.012
marah,0.012
masak,0.012
masuk,0.012
mata,0.024
matahari,0.035
matauang,0.024
matcha,0.012
mati,0.024
mau,0.188
mbengi,0.012
meh,0.012
mei,0.012
melas,0.012
memberi,0.035
menit,0.024
menuh,0.012
menurut,0.012
mergo,0.012
mes,0.012
mie,0.012
minta,0.024
minum,0.012
misuh,0.024
mudah,0.012
muka,0.012
mules,0.035
mulut,0.012
mungkin,0.012
musuh,0.012
nada,0.012
nagih,0.012
naik,0.012
nama,0.024
nampol,0.024
nan,0.012
nanti,0.012
nastar,0.012
ne,0.012
nenek,0.024
ngajakin,0.012
ngantuk,0.012
ngatainya,0.012
ngebayangin,0.012
ngebosenin,0.012
ngebucin,0.012
ngeledek,0.012
ngemaskeri,0.012
ngerus,0.012
ngezelin,0.012
ngno,0.012
ngo,0.012
ngomongnya,0.012
ngon,0.012
ngotot,0.012
nguyu,0.012
niacin,0.012
niat,0.012
nin,0.024
ning,0.012
novel,0.024
nukoke,0.012
nunguinya,0.012
nyala,0.024
nyempetin,0.012
nylilid,0.012
oke,0.024
omong,0.024
online,0.047
orang,0.035
orangtuanya,0.012
pacar,0.024
padahal,0.059
padake,0.012
paham,0.012
pahit,0.012
pakai,0.035
paksa,0.012
paling,0.012
panas,0.012
panik,0.012
parfumu,0.012
parno,0.012
pasien,0.024
patrick,0.012
pdfnya,0.012
pedas,0.012
peluk,0.012
pendapat,0.012
penting,0.035
pergi,0.012
pernah,0.035
persis,0.012
pertama,0.012
pesan,0.012
pikir,0.047
pintu,0.012
plastik,0.024
po,0.012
podo,0.024
pokok,0.012
posisi,0.012
pria,0.012
puas,0.012
pul,0.012
pulung,0.012
pundak,0.012
punya,0.035
putar,0.012
putus,0.012
puyer,0.012
qn,0.012
ra,0.024
racik,0.012
rakaruan,0.012
ramai,0.012
rapi,0.024
ras,0.012
rasa,0.094
ratau,0.012
referensi,0.012
reflek,0.024
repot,0.012
resep,0.012
responsif,0.012
retweet,0.012
ribu,0.012
rindu,0.012
ro,0.012
ruang,0.024
rumah,0.024
rusuh,0.012
rutinitas,0.012
saat,0.012
sabun,0.012
sadap,0.012
sahabat,0.012
saham,0.012
saiki,0.024
saja,0.141
saking,0.012
salah,0.012
sama,0.165
sambi,0.012
sampai,0.047
satu,0.047
saudara,0.106
saya,0.424
sayang,0.047
sayap,0.012
sayur,0.012
sebentar,0.035
sedih,0.035
segala,0.024
segar,0.012
segera,0.012
sejak,0.012
sekali,0.212
sekarang,0.059
selalu,0.047
seluruh,0.012
semangat,0.012
semesta,0.012
semoga,0.012
sempat,0.012
semua,0.035
sen,0.024
senang,0.012
sendiri,0.071
sengaja,0.012
sengit,0.012
senyum,0.012
sepatu,0.012
seperti,0.059
sering,0.012
sesuatu,0.024
si,0.047
siang,0.012
siapa,0.035
sih,0.071
sikat,0.012
sinar,0.012
sindir,0.035
situ,0.012
soal,0.035
spombobnya,0.012
spotify,0.012
statistik,0.012
sudah,0.071
suka,0.082
sultanya,0.012
sumpah,0.012
suntak,0.024
surgawi,0.012
syukur,0.012
tadi,0.024
tahu,0.035
tahun,0.012
tali,0.012
tambah,0.012
tamu,0.012
tangan,0.012
tangis,0.035
taperwernya,0.012
tapi,0.024
tata,0.012
taurus,0.012
tawa,0.071
tega,0.012
tegane,0.012
telur,0.012
teman,0.071
tempat,0.012
tenan,0.012
tengah,0.012
tengorokan,0.012
teori,0.012
ter,0.012
terbaik,0.012
terimakasih,0.012
terus,0.059
tetap,0.024
tiap,0.024
tiati,0.012
tiba,0.071
tidak,0.459
tidur,0.047
tim,0.035
tinggal,0.012
tingkat,0.024
tipe,0.012
titik,0.024
tk,0.012
tok,0.012
tonton,0.012
topik,0.012
tos,0.012
tugas,0.012
tuhan,0.047
tulis,0.024
tungaldene,0.012
tunggu,0.012
tunguin,0.012
tutup,0.012
twitter,0.012
uang,0.012
ubah,0.012
ulang,0.012
umur,0.012
uninstall,0.012
untung,0.012
ups,0.012
ut,0.012
utama,0.047
uw,0.012
uwik,0.012
varian,0.012
vc,0.012
wakil,0.012
wangi,0.024
wanita,0.047
warga,0.012
warna,0.024
waton,0.012
wen,0.035
whatsapp,0.035
wirang,0.012
yak,0.012
yang,0.235
yasudah,0.012
yaz,0.012
yogyakarta,0.012
yuja,0.012
zonk,0.012
zoom,0.012
