term,weight
abib,0.011
aciel,0.011
ada,0.011
adalah,0.033
aduh,0.011
agar,0.011
ah,0.044
air,0.033
akan,0.011
akhir,0.044
alergi,0.022
amat,0.011
amin,0.011
ampuh,0.011
ampun,0.011
an,0.011
anak,0.022
analisis,0.011
anda,0.188
aniv,0.011
antebellum,0.011
antiseptik,0.011
aoi,0.011
apa,0.11
apotek,0.011
asal,0.011
asik,0.011
atas,0.011
atulah,0.011
awomc,0.011
ayo,0.066
baca,0.033
bagai,0.011
bagaimana,0.022
bagus,0.022
bahkan,0.011
baik,0.055
bait,0.011
bajing,0.011
baju,0.011
bakwan,0.011
balas,0.033
balik,0.011
bandel,0.011
bang,0.033
bangun,0.022
bangunin,0.011
banyak,0.066
barbar,0.011
bareng,0.011
baru,0.033
bawa,0.011
bayang,0.011
becandan,0.011
beda,0.011
bedah,0.011
begitu,0.022
belakang,0.022
belel,0.011
beli,0.044
ben,0.011
benar,0.055
benul,0.011
besar,0.011
betul,0.011
biasa,0.011
bib,0.033
bibit,0.011
bicara,0.022
bilang,0.022
biru,0.011
bisa,0.022
bodoh,0.011
bokumbap,0.011
boros,0.011
bosan,0.011
buah,0.011
buat,0.066
bubar,0.011
budaya,0.011
buka,0.044
bukan,0.022
bulak,0.011
bulan,0.011
bungkus,0.011
buruk,0.022
butuh,0.077
caffeine,0.022
cantik,0.033
cara,0.011
cari,0.022
cayang,0.011
cemas,0.011
cemil,0.033
cepat,0.022
cerewet,0.011
cerita,0.022
cinta,0.022
clear,0.011
cocok,0.011
comes,0.022
corona,0.022
cukup,0.022
cuma,0.011
dadak,0.011
dan,0.066
dapat,0.011
darah,0.011
dari,0.055
dasar,0.011
daster,0.011
datang,0.022
debu,0.011
dedek,0.011
dekat,0.011
dengan,0.044
desa,0.011
di,0.011
dia,0.033
diam,0.022
dikatain,0.011
dimana,0.011
dinyanyin,0.011
dipost,0.011
diri,0.022
ditelfon,0.011
doa,0.011
doang,0.022
dong,0.044
dor,0.011
duduk,0.011
duka,0.011
dulu,0.044
dunia,0.011
eh,0.033
emas,0.011
emsen,0.011
er,0.011
eya,0.011
foto,0.022
gabung,0.011
gadis,0.011
galon,0.011
garis,0.011
gemeteran,0.011
gemini,0.022
gempa,0.011
gengsi,0.011
getting,0.011
giat,0.011
gin,0.022
goncangan,0.011
goyang,0.011
habis,0.055
hadalabo,0.011
hak,0.011
hancur,0.011
hanyut,0.011
hareudang,0.011
harfiah,0.011
harga,0.033
hari,0.077
haris,0.011
harum,0.011
harus,0.011
hasil,0.011
hati,0.011
hemat,0.011
heran,0.011
hidup,0.033
hilang,0.011
hokben,0.011
hujan,0.011
ibu,0.022
igs,0.011
ih,0.055
ikut,0.022
in,0.033
indah,0.011
indonesia,0.011
info,0.011
ingat,0.033
ingin,0.011
ini,0.033
instagram,0.022
irma,0.011
isi,0.044
isn,0.011
isyana,0.011
itu,0.188
iya,0.077
iyak,0.011
jadi,0.033
jahit,0.022
jajan,0.044
jalan,0.011
jam,0.011
jatuh,0.022
jauh,0.011
jeda,0.011
jogging,0.011
jompo,0.011
juga,0.022
jumpa,0.011
kabar,0.022
kae,0.022
kalau,0.088
kali,0.077
kalian,0.011
kalimat,0.011
kamar,0.011
kan,0.011
kandung,0.011
kanker,0.011
kapan,0.011
karena,0.033
karet,0.011
kasihan,0.011
kayu,0.011
kebun,0.011
kekeyi,0.033
kelas,0.011
keluarga,0.011
keluh,0.011
kembali,0.022
ken,0.044
kena,0.011
kenal,0.011
kenapa,0.033
kenya,0.011
kepala,0.011
kerja,0.011
kesal,0.033
ketika,0.022
kim,0.011
kimchi,0.011
kirim,0.022
kita,0.011
klasik,0.011
klinik,0.011
kopi,0.022
kosong,0.011
kuat,0.022
kue,0.022
kuliah,0.011
kunyit,0.011
kuota,0.011
kurang,0.011
lah,0.055
lain,0.011
laki,0.044
lalu,0.011
lama,0.011
lancar,0.011
langit,0.011
langsung,0.022
lapar,0.011
lari,0.011
laut,0.011
lebaran,0.033
lebih,0.033
ledak,0.011
leher,0.011
lemari,0.011
lihat,0.122
lima,0.011
lipstik,0.011
ll,0.011
lonjak,0.022
looking,0.011
loves,0.011
luber,0.011
lupa,0.011
lurus,0.011
maaf,0.022
madhan,0.011
maemunah,0.022
makin,0.055
malam,0.022
malas,0.011
maleficent,0.011
malu,0.033
mana,0.011
mandi,0.011
mangil,0.011
mantap,0.011
manusia,0.022
martabak,0.011
masker,0.044
masuk,0.011
mati,0.011
mau,0.11
mbanya,0.011
mcd,0.011
medan,0.011
mel,0.011
memang,0.066
mendengarkan,0.011
meni,0.011
menikah,0.022
merdeka,0.022
mesin,0.011
mewek,0.011
milik,0.011
mimpi,0.044
minggu,0.011
minum,0.022
mirip,0.022
modus,0.011
muda,0.011
mulai,0.033
muluk,0.011
muntah,0.011
musim,0.011
mute,0.011
nang,0.044
nawa,0.011
nelfon,0.022
neraka,0.011
ngambek,0.011
ngebacot,0.011
ngiler,0.011
ngundang,0.011
ngunyah,0.011
niat,0.011
nikmat,0.011
nisa,0.011
nongkrong,0.011
nostalgic,0.011
nya,0.044
nyala,0.011
nyali,0.022
nyanyi,0.022
nyaranin,0.011
nyata,0.033
nyeletuk,0.011
nyemangatin,0.011
nyenyak,0.022
nyusahim,0.011
obrol,0.011
ofkors,0.011
oke,0.011
oleh,0.022
ombak,0.011
ongkos,0.011
orang,0.177
pacar,0.011
padahal,0.011
pagi,0.044
pakai,0.055
paksa,0.022
paling,0.011
panci,0.044
pangaron,0.011
panggil,0.011
panik,0.022
pantas,0.011
parbada,0.011
pasar,0.011
pasrah,0.011
password,0.011
pasti,0.011
payet,0.011
pdam,0.011
pedas,0.011
pegang,0.011
penasaran,0.011
penting,0.011
peras,0.011
perbarui,0.011
percaya,0.022
pergi,0.033
periksa,0.011
perlu,0.011
pernah,0.022
persegi,0.022
persis,0.011
pikir,0.022
pintar,0.011
plastik,0.011
pos,0.011
puas,0.011
puasa,0.011
puji,0.011
puk,0.022
pulang,0.011
puluh,0.011
punya,0.011
putih,0.011
raisa,0.011
rambut,0.011
rangka,0.011
rasa,0.055
reguler,0.011
renang,0.022
reuni,0.011
ribu,0.011
rin,0.022
rindu,0.044
rini,0.022
ris,0.011
risda,0.022
ritwit,0.011
rumah,0.022
rumit,0.011
rw,0.011
saat,0.011
sahabat,0.011
sahur,0.011
saja,0.133
sakit,0.022
salad,0.011
salah,0.011
sama,0.044
sampah,0.011
sampai,0.044
sanggup,0.022
satu,0.011
saudara,0.188
saya,0.453
sebagai,0.011
sebentar,0.044
sebuah,0.044
sebut,0.011
sedang,0.022
sedepnya,0.011
sedih,0.033
sekali,0.077
sekarang,0.044
selalu,0.022
selesai,0.011
semangat,0.011
seminggu,0.011
semoga,0.022
semua,0.022
sen,0.011
senak,0.011
sendiri,0.044
seperti,0.022
serah,0.011
serang,0.011
sesal,0.022
set,0.011
siang,0.011
siap,0.011
siapa,0.055
sih,0.122
singkil,0.011
sksd,0.011
soal,0.011
sociola,0.011
sosoan,0.011
starting,0.011
status,0.011
stitches,0.011
suasana,0.011
sudah,0.133
suhay,0.011
suka,0.033
suntuk,0.011
susu,0.011
syok,0.011
syukur,0.011
tadi,0.022
tahan,0.022
tahu,0.133
tahun,0.022
takut,0.044
takziah,0.011
tambah,0.011
tamu,0.011
tanam,0.011
tangan,0.011
tangkap,0.011
tanya,0.011
tapi,0.11
tawa,0.055
tegan,0.011
telepon,0.011
temenya,0.011
tenang,0.011
tengkar,0.011
teriak,0.011
terimakasih,0.011
terus,0.011
teshima,0.011
tetap,0.033
tg,0.011
tiati,0.011
tidak,0.464
tidur,0.044
tiga,0.011
tinggal,0.033
tinggi,0.011
tips,0.011
tolong,0.033
tonton,0.033
tori,0.011
trauma,0.022
tugas,0.011
turut,0.011
tutup,0.011
twitter,0.011
ujing,0.011
ulang,0.011
ulas,0.011
ulu,0.033
untuk,0.077
untung,0.011
usai,0.011
utama,0.011
uwa,0.011
vc,0.011
versi,0.011
vip,0.011
wabah,0.022
wah,0.022
waktu,0.022
wanita,0.133
wayo,0.011
whatsapp,0.022
whose,0.011
ya,0.011
yang,0.188
yayan,0.011
yoklah,0.011
yuhu,0.011
