term,weight
ad,0.025
ada,0.025
adalah,0.008
adan,0.008
adoh,0.008
adrenalin,0.008
aduh,0.017
agar,0.033
ahkirny,0.008
ahli,0.008
ajar,0.008
akan,0.008
akibat,0.008
alias,0.008
allah,0.008
aman,0.008
ambil,0.025
amin,0.017
amplop,0.008
an,0.042
anak,0.025
anda,0.109
aneh,0.008
angotanya,0.008
anjr,0.008
apa,0.092
apik,0.017
aplg,0.017
ardhito,0.033
arep,0.008
arif,0.017
arti,0.008
asal,0.008
asik,0.008
asli,0.008
astaga,0.008
atas,0.008
ayah,0.008
ayam,0.017
ayat,0.008
ayem,0.008
ayo,0.05
bada,0.008
badan,0.008
bagaimana,0.075
bagi,0.008
bah,0.008
bahagia,0.017
baik,0.05
bain,0.008
baju,0.008
bakar,0.008
balado,0.008
balik,0.017
bangun,0.008
bantu,0.008
banyak,0.075
bar,0.008
barang,0.025
bareng,0.008
baru,0.025
batas,0.017
batin,0.008
bau,0.025
bawah,0.008
bawang,0.008
bayang,0.017
bebs,0.008
beda,0.017
begini,0.008
begitu,0.084
bejibun,0.008
belah,0.008
beli,0.042
belum,0.008
benar,0.059
benjol,0.008
bentar,0.008
beranda,0.008
berani,0.017
berapa,0.008
beri,0.008
berisik,0.008
bermingu,0.008
bersih,0.008
bertemu,0.008
besar,0.017
biadab,0.033
biasa,0.008
bicara,0.008
biduren,0.008
bijak,0.008
bilang,0.025
bingung,0.008
bisa,0.008
bita,0.008
bkl,0.008
bodoh,0.017
bom,0.008
boros,0.008
bosan,0.017
both,0.008
brian,0.008
bruno,0.008
buah,0.008
buat,0.084
budak,0.025
buk,0.017
bukankah,0.008
buktin,0.008
bulan,0.008
bumbu,0.008
buncit,0.008
buru,0.008
buruk,0.008
cabai,0.017
cakep,0.008
cambuk,0.008
cangcorang,0.008
cara,0.008
cardio,0.008
carey,0.008
celine,0.008
cemil,0.025
cerah,0.008
chloe,0.008
chrispy,0.008
cinta,0.033
cipta,0.008
ciptan,0.008
