term,weight
abiz,0.008
ada,0.031
adil,0.008
aduh,0.031
adzab,0.008
agar,0.031
ajar,0.016
akhir,0.024
aksel,0.008
aktor,0.008
alir,0.008
alis,0.008
alisa,0.008
ambil,0.008
amel,0.008
amin,0.071
amplop,0.008
an,0.016
anak,0.008
anda,0.252
andra,0.008
aneh,0.008
anish,0.008
apa,0.126
appreciate,0.008
aren,0.008
arrived,0.008
asdos,0.008
asli,0.016
atas,0.024
atur,0.008
awal,0.016
awan,0.016
awas,0.016
ayah,0.008
ayam,0.008
ayo,0.039
baca,0.024
badan,0.008
bagaimana,0.016
bagin,0.008
bagus,0.008
bahagia,0.024
baik,0.008
bakso,0.008
baladonya,0.008
balas,0.008
bangun,0.008
banyak,0.086
bapak,0.047
barbel,0.008
bareng,0.024
baret,0.008
baru,0.063
baruge,0.008
batin,0.008
bawa,0.016
bawel,0.008
bayang,0.008
bayar,0.008
bebeye,0.008
beda,0.008
begitu,0.031
belanja,0.008
beli,0.047
belokin,0.008
belum,0.016
benar,0.016
bengkok,0.008
bentar,0.008
bentuk,0.008
besar,0.008
besok,0.008
betul,0.016
bibir,0.008
bicara,0.016
bisa,0.039
blong,0.008
bmku,0.016
boboin,0.008
bodor,0.024
bogor,0.008
boleh,0.008
bom,0.008
boong,0.008
bos,0.008
bosan,0.008
boys,0.008
briefing,0.016
buat,0.086
bukan,0.047
bukber,0.008
bukit,0.008
bumbu,0.008
bunuh,0.008
buru,0.008
ca,0.016
cakep,0.008
calon,0.008
cantik,0.016
cari,0.008
catat,0.008
cayank,0.008
ceceritan,0.008
cela,0.008
cemil,0.016
cengo,0.008
cepat,0.008
cetekin,0.008
chef,0.008
ci,0.008
cie,0.008
cilok,0.008
cimory,0.008
cinta,0.016
cita,0.008
coba,0.008
coban,0.008
cocok,0.008
cucin,0.008
cuma,0.008
cuman,0.008
curiga,0.008
dalam,0.008
danta,0.008
dapat,0.016
dari,0.024
deh,0.008
dekat,0.008
del,0.008
depan,0.016
dia,0.008
diabetes,0.008
diajarin,0.008
dijutekin,0.008
dikerjain,0.008
dikit,0.016
dikosan,0.008
diomongin,0.008
dipangil,0.008
dipukulin,0.008
diri,0.008
dit,0.008
doa,0.016
doang,0.008
dong,0.031
dosa,0.008
drama,0.008
duduk,0.008
dukung,0.008
dulu,0.031
duluan,0.016
dunia,0.008
email,0.008
emosi,0.008
enak,0.031
episode,0.016
erma,0.008
every,0.008
eyeliner,0.008
faris,0.047
februari,0.008
feh,0.008
fir,0.039
fisik,0.008
fiwra,0.008
fud,0.055
fudla,0.008
gabegitu,0.008
gadis,0.008
gaenak,0.008
gaheran,0.008
gaji,0.008
gajih,0.008
galupa,0.008
gara,0.008
gas,0.008
gatega,0.008
gatu,0.008
gel,0.016
geleuh,0.008
geli,0.008
gemas,0.008
gemesh,0.008
geus,0.008
gih,0.008
gila,0.024
glutanya,0.008
goa,0.016
gofod,0.008
gondrong,0.031
goodnight,0.008
gosip,0.008
graha,0.008
grup,0.008
gugup,0.008
gumoh,0.008
guru,0.008
habis,0.024
hadiah,0.008
hahahahahaha,0.008
hai,0.016
hal,0.008
halusinasi,0.008
hampa,0.008
hana,0.008
hanya,0.031
hapus,0.008
harap,0.016
harga,0.008
hari,0.055
harus,0.008
hati,0.031
hehnya,0.008
helm,0.008
hemat,0.008
henti,0.008
heran,0.008
heula,0.008
hidup,0.016
hilang,0.008
hobi,0.008
hoream,0.008
hormat,0.008
horor,0.008
hubungan,0.008
hueheheheh,0.008
huha,0.008
humoris,0.008
hy,0.008
ibu,0.055
ida,0.008
ide,0.008
idungnya,0.008
ih,0.039
ijazah,0.008
ikut,0.016
imam,0.024
imbang,0.008
in,0.008
ingat,0.016
ini,0.024
injek,0.008
ipa,0.008
ips,0.008
iput,0.024
isi,0.016
itok,0.008
itu,0.031
iwang,0.016
iya,0.118
iyak,0.016
iyan,0.008
jadi,0.141
jam,0.016
jaman,0.008
jarak,0.008
jarang,0.008
jari,0.008
jauh,0.016
jerawat,0.008
jib,0.008
jls,0.008
jontor,0.008
jual,0.008
juga,0.055
jujur,0.008
julid,0.008
kakap,0.008
kaki,0.008
kalau,0.118
kali,0.039
kamar,0.008
kamo,0.008
kampus,0.008
kan,0.047
karir,0.008
karyawan,0.008
kasi,0.008
kasih,0.016
kata,0.016
kating,0.024
ke,0.008
keapus,0.008
kecil,0.024
kecoa,0.008
kejar,0.008
kejut,0.008
kelak,0.008
kelas,0.008
keliatanya,0.008
keluarga,0.008
kembali,0.008
kenang,0.016
kenapa,0.071
kenya,0.008
kenyat,0.008
kepleset,0.016
kera,0.008
kerja,0.039
ketawa,0.031
ketemu,0.008
kevin,0.008
ki,0.008
kills,0.008
kini,0.008
kiting,0.008
kitu,0.016
klub,0.008
kno,0.008
komentar,0.008
kominfo,0.008
konter,0.008
korbanya,0.008
korea,0.008
korek,0.008
kosanya,0.008
kostan,0.008
kostanku,0.008
kota,0.008
krucil,0.008
kuliah,0.008
kulkas,0.016
kumpul,0.008
kurang,0.016
kvn,0.016
lagi,0.102
lagu,0.024
lah,0.024
lahir,0.008
lain,0.016
laki,0.031
lama,0.016
langsung,0.008
lanjut,0.008
lapor,0.008
latenya,0.008
lawak,0.008
le,0.008
lebaran,0.016
lebih,0.024
leker,0.008
lelah,0.024
lele,0.008
lemak,0.008
letting,0.008
libur,0.024
lihat,0.031
limpah,0.008
link,0.008
loh,0.008
look,0.008
loved,0.008
luar,0.008
ludes,0.008
luka,0.008
lupa,0.039
lus,0.008
lutut,0.008
maaf,0.024
maci,0.016
mahasiswa,0.016
maher,0.008
main,0.008
makan,0.008
makanya,0.016
makas,0.079
makin,0.008
malah,0.024
malam,0.016
malas,0.008
maling,0.031
malu,0.055
mana,0.024
mancung,0.008
mandi,0.016
manipulasi,0.008
manis,0.008
mantap,0.016
manusia,0.008
marah,0.008
maret,0.008
maruk,0.008
masak,0.008
masakin,0.008
masalah,0.008
masker,0.008
masuk,0.024
mata,0.016
matras,0.008
mau,0.039
mbung,0.008
mei,0.008
melek,0.008
memafkan,0.008
memang,0.063
mencet,0.008
mendengarkan,0.008
menu,0.008
merah,0.008
mereka,0.008
mereun,0.008
meski,0.008
mie,0.008
minum,0.008
minyak,0.016
miscom,0.008
mkn,0.008
mobil,0.008
mohon,0.016
momen,0.008
monolog,0.008
mpud,0.008
muka,0.016
mungkin,0.024
murce,0.008
musik,0.008
na,0.008
nah,0.008
naha,0.008
najis,0.008
nama,0.039
nang,0.024
nanges,0.008
nendang,0.008
ngabayangkeunya,0.008
ngabisin,0.008
ngandung,0.008
nganterin,0.008
ngke,0.008
ngobrol,0.008
ngusir,0.008
nina,0.008
noah,0.008
normal,0.008
nur,0.008
nya,0.024
nyetok,0.008
nyonya,0.008
nyuksruk,0.008
nz,0.031
obrol,0.031
oke,0.008
ol,0.008
olaf,0.008
olahraga,0.024
online,0.008
orang,0.055
pacar,0.016
pada,0.016
padahal,0.024
pagi,0.024
pai,0.008
pakai,0.079
pakenya,0.008
paksa,0.008
paling,0.016
pam,0.008
panik,0.008
pantas,0.008
parsel,0.024
pasti,0.008
pecel,0.008
pekerjaan,0.008
pelakor,0.024
peluk,0.008
penasaran,0.008
pepaya,0.008
perabot,0.008
perang,0.008
percaya,0.008
pergi,0.008
pernah,0.008
pertiwi,0.008
pikir,0.008
piring,0.008
podcast,0.008
pop,0.008
praktekin,0.008
pria,0.008
promosi,0.008
puasa,0.008
pukul,0.008
pulang,0.008
pulpen,0.016
puncak,0.008
punya,0.016
putra,0.008
pwol,0.008
rajin,0.008
ramai,0.008
rambut,0.016
ramzi,0.008
rasa,0.008
regina,0.008
rekomendasi,0.008
rel,0.008
rem,0.008
rempelo,0.008
rencana,0.008
responsif,0.008
retweet,0.008
revisi,0.008
rewatching,0.008
rezeki,0.008
rindu,0.039
riris,0.008
ris,0.008
rontok,0.008
roti,0.008
rumah,0.024
run,0.016
sabar,0.016
sadar,0.008
safely,0.008
sahur,0.008
saja,0.086
sakit,0.016
salah,0.016
salju,0.008
salur,0.008
sama,0.086
sambal,0.016
sampai,0.071
sana,0.016
sanusi,0.008
saset,0.008
satu,0.016
saudara,0.094
sawer,0.008
saya,0.456
sayang,0.079
se,0.016
sebentar,0.016
sebuah,0.008
