term,weight
ada,0.057
admin,0.011
administrasi,0.011
aduh,0.034
agar,0.069
agenda,0.011
ah,0.023
air,0.011
ajar,0.011
akhir,0.057
aksi,0.011
akta,0.011
alam,0.011
almamater,0.011
ambil,0.023
ambis,0.011
amin,0.034
ampun,0.011
an,0.011
anak,0.091
analis,0.011
antar,0.011
apa,0.034
ardan,0.023
arti,0.011
asam,0.011
asih,0.011
asli,0.011
atas,0.011
atur,0.011
aula,0.011
awal,0.011
awam,0.011
ayo,0.114
baca,0.011
bagaimana,0.023
bagas,0.011
bagus,0.023
bagusin,0.011
bahagia,0.011
bahan,0.011
bahasa,0.011
baik,0.023
baksil,0.011
balik,0.023
balon,0.011
banding,0.011
bandung,0.046
bangun,0.011
banyak,0.023
bapak,0.011
barangkali,0.011
barat,0.011
baru,0.057
basa,0.011
bawah,0.023
bayang,0.011
bebas,0.011
begitu,0.091
belah,0.011
benang,0.011
benar,0.046
benarkan,0.011
bentar,0.011
beranda,0.011
berapa,0.023
beri,0.011
bermanfat,0.023
biasa,0.023
bihalal,0.011
bimbing,0.011
bioskop,0.011
bisa,0.011
bismillah,0.011
blackberry,0.011
bodor,0.034
bosan,0.011
buat,0.091
bubur,0.011
budak,0.011
buibu,0.023
buka,0.011
bukan,0.034
buku,0.011
bulan,0.046
buruk,0.011
calo,0.011
cama,0.011
canda,0.011
cantik,0.023
cari,0.046
catin,0.023
cc,0.023
cemil,0.011
cenderung,0.011
centil,0.011
cepat,0.023
cerita,0.011
cincin,0.011
cinta,0.011
ciwi,0.023
claps,0.023
coba,0.011
cocok,0.011
corona,0.023
cuma,0.011
curhat,0.011
cuti,0.011
da,0.011
dada,0.011
daftar,0.023
daging,0.011
dana,0.011
dapat,0.023
dari,0.023
dasar,0.023
dedek,0.011
deh,0.023
dekat,0.011
dengan,0.011
dengar,0.011
depan,0.011
derajat,0.011
dery,0.011
desa,0.011
desember,0.011
di,0.069
dia,0.023
didik,0.011
diet,0.011
dilema,0.023
diliatin,0.011
dimastanya,0.011
dingin,0.023
dion,0.011
diospek,0.011
diri,0.023
diskon,0.011
ditanyain,0.011
doa,0.011
doang,0.023
donat,0.011
dong,0.069
download,0.011
drama,0.011
dua,0.011
dukung,0.011
dulu,0.091
dur,0.011
edisi,0.011
eh,0.057
ejen,0.011
emosi,0.011
enak,0.011
episode,0.046
euy,0.011
film,0.023
fokus,0.023
further,0.011
gaji,0.011
ganesha,0.011
garuda,0.023
gas,0.011
ge,0.011
gedung,0.046
gemas,0.011
generasi,0.011
geulis,0.011
gils,0.011
gofod,0.011
gpa,0.011
grup,0.011
guru,0.023
hablas,0.011
hadeuh,0.034
haha,0.069
hai,0.057
hal,0.011
halal,0.011
halalbihalal,0.011
hamil,0.023
hanya,0.023
harga,0.057
hari,0.046
hasil,0.011
hatur,0.023
hehehehe,0.011
henti,0.011
hidup,0.023
hikmah,0.011
hilang,0.023
hormat,0.011
hubung,0.023
humoris,0.023
hutan,0.011
ibu,0.229
ih,0.011
iko,0.023
ikut,0.046
ikuti,0.011
ilmu,0.011
indonesia,0.023
indosiar,0.011
informasi,0.011
ingat,0.023
ini,0.023
instagram,0.023
isi,0.023
isolasi,0.023
itb,0.011
itu,0.08
iya,0.286
jadi,0.114
jadwal,0.011
jaja,0.023
jalan,0.046
jam,0.023
jaman,0.057
jambakin,0.011
jarak,0.011
jari,0.011
jatinangor,0.011
jauh,0.057
jawab,0.011
jco,0.011
jembatan,0.011
jero,0.023
jeruk,0.023
jo,0.011
jombs,0.011
jual,0.011
juang,0.057
