term,weight
abad,0.013
acak,0.026
acara,0.026
ada,0.13
adalah,0.039
admin,0.026
aduh,0.013
aeiy,0.013
agar,0.013
ah,0.026
air,0.026
akhir,0.052
akhlak,0.013
aktivasi,0.039
ampuh,0.013
an,0.013
anak,0.026
anda,0.156
aneh,0.013
anjeng,0.013
anjlok,0.013
apa,0.169
apadah,0.013
apas,0.013
asli,0.026
astaga,0.013
asuh,0.013
atas,0.013
atau,0.013
aulirah,0.013
available,0.013
awal,0.026
ayo,0.065
baca,0.026
bagaimana,0.039
bagi,0.026
bagus,0.013
bahkan,0.013
baik,0.039
bajing,0.026
bakwan,0.013
bangun,0.013
banjir,0.013
bantu,0.013
banyak,0.091
bapak,0.052
barang,0.013
baru,0.065
bawa,0.013
bawah,0.013
bawel,0.013
bayang,0.013
bayar,0.013
beda,0.052
bedain,0.013
begini,0.013
bekas,0.013
beken,0.013
belakang,0.013
belek,0.013
beli,0.026
belum,0.026
benar,0.052
benda,0.013
bengbeng,0.013
bengkok,0.013
bentar,0.013
ber,0.013
bersin,0.013
besar,0.039
betak,0.013
bgtsi,0.013
biasa,0.026
bicara,0.013
bilang,0.026
bintang,0.026
bisa,0.065
bli,0.013
blok,0.013
boi,0.013
bola,0.013
bos,0.013
brewok,0.013
brisik,0.013
brok,0.013
bruh,0.013
bta,0.013
buang,0.013
buat,0.091
budeg,0.013
buka,0.039
bukan,0.026
bulan,0.013
busuk,0.013
butuh,0.026
canda,0.026
cara,0.013
cemil,0.078
cerca,0.013
cincang,0.013
cocok,0.013
coklat,0.013
corona,0.013
cuit,0.013
cuma,0.013
da,0.013
daftar,0.026
daging,0.013
dalam,0.026
dangdut,0.013
dapat,0.026
dari,0.026
darimana,0.013
daripada,0.013
daya,0.013
days,0.013
deh,0.026
dekat,0.013
dengan,0.013
dengar,0.039
depan,0.026
deskripsi,0.013
di,0.039
digentayangin,0.013
dijadin,0.013
dikit,0.013
dinput,0.013
dinyanyin,0.013
disemutin,0.013
disuruh,0.026
doang,0.013
donat,0.026
dopamine,0.013
dulu,0.078
dunia,0.013
duta,0.013
eh,0.013
ekstrim,0.013
elah,0.013
email,0.013
enak,0.065
entah,0.013
es,0.013
estimasi,0.013
facebok,0.013
faces,0.013
film,0.013
flipin,0.013
fokus,0.013
fulbar,0.013
gadis,0.013
gaenak,0.013
gajelas,0.013
gakuat,0.013
game,0.013
games,0.013
gangerti,0.013
ganggu,0.013
gara,0.013
gausa,0.013
gayakin,0.013
gel,0.013
gelap,0.026
gelas,0.013
geli,0.013
gentayang,0.013
gently,0.026
gertak,0.013
gh,0.013
gila,0.065
gin,0.091
gituan,0.013
giur,0.013
godan,0.013
goreng,0.039
grup,0.013
gud,0.013
gunung,0.013
habis,0.013
hadap,0.013
haha,0.013
hai,0.013
hambat,0.013
hantu,0.013
hanya,0.026
hari,0.104
harry,0.013
heboh,0.013
heran,0.013
hilang,0.013
hindar,0.013
hinotsu,0.013
hobi,0.013
hoiye,0.013
hubung,0.026
hujan,0.026
humor,0.013
humoris,0.013
ibu,0.039
ih,0.013
ikut,0.013
in,0.013
indonesia,0.013
indonesyen,0.013
ini,0.143
internet,0.013
interstellar,0.013
isi,0.039
itishom,0.013
itu,0.156
iya,0.104
jadi,0.169
jalan,0.013
jam,0.052
jaman,0.026
japri,0.013
jarak,0.013
jarang,0.013
jaring,0.013
jawab,0.026
jebak,0.013
jijik,0.026
jika,0.013
jincuriki,0.013
joz,0.013
jual,0.013
juga,0.013
kabar,0.013
kacau,0.026
kain,0.013
kala,0.013
kalah,0.013
kalau,0.182
kali,0.039
kamar,0.013
kan,0.039
kao,0.013
kapan,0.052
karet,0.013
kasar,0.013
kasih,0.026
kata,0.039
kecap,0.013
keju,0.013
kelas,0.026
kelelawar,0.013
keliling,0.013
keluar,0.013
keluarin,0.013
keluh,0.026
kemarin,0.039
kembali,0.013
ken,0.013
kena,0.013
kenapasih,0.013
kepala,0.013
keran,0.013
kerja,0.013
kertas,0.026
kesal,0.039
keselek,0.013
ketawa,0.013
ketok,0.013
kewalahan,0.013
kirim,0.052
kita,0.013
klender,0.013
kodok,0.013
kokas,0.013
komentar,0.026
kompleks,0.013
konferensi,0.013
konsep,0.013
kota,0.013
kovacs,0.013
kuah,0.026
kuat,0.013
kuliah,0.013
kulon,0.026
kuping,0.013
kurator,0.013
kutuk,0.013
la,0.026
laba,0.026
lagi,0.052
lagu,0.104
lah,0.013
lahir,0.013
lain,0.026
laki,0.052
lalu,0.013
lama,0.026
lampu,0.039
langsung,0.039
lapar,0.013
lawan,0.013
layan,0.013
layang,0.013
lebih,0.013
ledak,0.013
lelah,0.026
lempar,0.013
lepas,0.026
lewat,0.052
lho,0.013
libur,0.013
liga,0.013
lihat,0.039
linknya,0.013
lontong,0.013
lucu,0.026
lupa,0.039
lux,0.013
macam,0.026
macet,0.026
made,0.013
mahal,0.013
mahasiswa,0.013
mahir,0.013
maju,0.013
makanya,0.013
makin,0.013
malah,0.065
malam,0.013
malas,0.026
mampu,0.013
mana,0.013
mantap,0.026
masa,0.039
masker,0.013
masuk,0.013
mata,0.039
mati,0.065
mau,0.13
memang,0.052
memberi,0.026
mendengarkan,0.013
menit,0.013
mie,0.026
mienya,0.013
milik,0.013
mineral,0.013
minimal,0.013
mirip,0.013
misi,0.013
mon,0.013
motivasi,0.026
motor,0.013
movies,0.013
mr,0.013
muka,0.013
mulai,0.013
mumpung,0.013
muncul,0.013
nah,0.026
naik,0.013
nang,0.013
nasi,0.013
neh,0.013
neraka,0.026
ngikut,0.013
ngobrol,0.013
ngunyah,0.013
nilai,0.013
ninjaku,0.013
nomor,0.013
non,0.013
nyala,0.026
nyantuy,0.013
nyanyi,0.026
nyata,0.013
oke,0.013
ol,0.013
olahraga,0.013
oof,0.013
orang,0.091
otak,0.026
ouch,0.013
pacar,0.013
padahal,0.078
padan,0.013
padu,0.013
pagi,0.013
paham,0.013
pakai,0.026
pamer,0.013
panas,0.026
panjang,0.013
pantun,0.013
parah,0.013
parsel,0.052
pasar,0.013
patut,0.026
pecah,0.013
pegal,0.026
pendek,0.013
penting,0.026
peras,0.026
perbarui,0.013
percuma,0.013
perempuan,0.013
pergi,0.026
periksa,0.026
perkara,0.013
perlu,0.013
pernah,0.039
perut,0.013
pesan,0.039
pesawat,0.026
peta,0.039
petir,0.052
pijat,0.026
pikir,0.013
pilah,0.013
pilih,0.013
piso,0.013
pola,0.026
potong,0.013
potter,0.013
presentasi,0.013
pria,0.013
pribadi,0.013
proses,0.013
ps,0.013
pukpuk,0.013
pulang,0.065
punggung,0.013
punya,0.039
pusing,0.013
putar,0.026
racing,0.013
rasa,0.026
recet,0.013
remedial,0.013
renov,0.013
restart,0.013
ribu,0.013
ribut,0.013
rip,0.013
roh,0.013
rul,0.013
rumah,0.013
rupa,0.013
saat,0.013
sahur,0.013
saja,0.117
sakit,0.013
sakura,0.013
salah,0.013
sama,0.117
sampai,0.039
samperin,0.013
sangat,0.013
santun,0.013
sapa,0.013
saran,0.013
sarang,0.013
saudara,0.091
saya,0.26
sayur,0.013
sebuah,0.026
sebut,0.013
segar,0.013
sekali,0.195
sekolah,0.026
sekte,0.013
semangat,0.026
sempit,0.013
semua,0.052
semutin,0.013
sendiri,0.013
seni,0.013
seperti,0.078
serenade,0.013
seru,0.013
sevel,0.013
si,0.013
sial,0.052
siap,0.013
sibuk,0.013
sih,0.013
singing,0.013
sini,0.091
siram,0.013
sistem,0.013
situ,0.039
sj,0.013
sklean,0.013
slurp,0.013
soal,0.039
sok,0.013
sopan,0.013
sosial,0.013
stackonya,0.013
suara,0.013
submitted,0.013
subuh,0.013
sudah,0.182
sulid,0.013
sulit,0.013
sumber,0.013
sumbu,0.013
sumsel,0.013
sungguh,0.013
sungkan,0.013
suruh,0.013
syeikh,0.013
tadi,0.013
tahu,0.13
tahun,0.013
tak,0.013
takjil,0.013
tanda,0.026
tanya,0.026
tapi,0.039
taruh,0.013
tawa,0.182
tegang,0.013
telat,0.013
telepon,0.026
telkomnyet,0.013
telkomsel,0.039
teman,0.078
template,0.013
tengah,0.026
ter,0.013
terang,0.013
terbang,0.026
terima,0.013
terimakasih,0.026
terlalu,0.026
tersyasaty,0.013
terus,0.039
tiap,0.026
tiati,0.013
tiba,0.026
tidak,0.467
tidur,0.039
tim,0.013
tingkat,0.013
titik,0.013
tokyo,0.013
tonton,0.013
towns,0.013
tsel,0.013
tua,0.013
tudor,0.013
tugas,0.013
tulang,0.013
tunggu,0.013
turun,0.013
ubah,0.026
ujan,0.013
uji,0.026
ukur,0.013
umroh,0.013
umur,0.013
untuk,0.013
usah,0.013
utama,0.078
utbk,0.013
vantage,0.013
vasilij,0.013
video,0.013
virtual,0.013
vivaldi,0.013
wadu,0.013
waduk,0.013
waduwadu,0.013
wakwaw,0.026
wanita,0.013
wars,0.013
wets,0.013
wih,0.013
wuidi,0.013
yakin,0.026
yan,0.013
yang,0.039
yhaha,0.013
zajcev,0.013
zona,0.013
