term,weight
ada,0.03
aduh,0.01
agar,0.02
agung,0.01
air,0.02
ajar,0.01
akhir,0.15
alalh,0.01
alat,0.01
alfamart,0.01
alias,0.01
alur,0.01
aman,0.01
ambisi,0.02
ambyar,0.02
amin,0.02
ampun,0.01
an,0.01
anda,0.06
angin,0.01
anyeong,0.01
apa,0.1
arena,0.01
armybomb,0.01
armybombnya,0.01
arti,0.02
asa,0.02
auditor,0.01
awal,0.01
awas,0.02
baca,0.02
bada,0.01
bagaimana,0.01
bagi,0.01
bagus,0.03
baik,0.06
baju,0.02
bakteri,0.01
balas,0.01
bangbangcon,0.01
bangun,0.02
banjir,0.01
bantu,0.02
bantuanya,0.01
banyak,0.02
bapak,0.02
bareng,0.01
baru,0.05
batin,0.01
bayi,0.01
bebe,0.01
beda,0.03
begitu,0.02
belai,0.04
beli,0.02
belum,0.01
benar,0.07
benci,0.01
bengong,0.01
bentley,0.01
berani,0.01
beri,0.01
besok,0.03
betapa,0.01
bgtbgtbgt,0.01
biasa,0.03
bijak,0.01
bingung,0.01
bintaro,0.02
bisa,0.02
bodoh,0.01
bonek,0.01
bos,0.01
bosan,0.02
buat,0.15
buka,0.02
bukan,0.01
bulan,0.01
bulu,0.01
bundadari,0.01
bwf,0.01
cahaya,0.01
cantik,0.01
celaka,0.01
cemil,0.03
cengang,0.01
cepat,0.04
ceria,0.01
cerita,0.03
ceroboh,0.01
chilbong,0.01
coba,0.02
coban,0.01
congrats,0.01
cuanet,0.01
cuek,0.01
cuma,0.02
cuplik,0.01
daddies,0.03
dadies,0.01
daebak,0.01
daftar,0.05
dan,0.01
dapat,0.01
darat,0.01
dari,0.01
dasar,0.01
days,0.01
dedek,0.01
deh,0.02
dekat,0.02
del,0.01
dengan,0.01
derita,0.01
di,0.04
dia,0.01
dilema,0.01
dim,0.01
dingin,0.01
dini,0.01
diri,0.03
dito,0.01
doang,0.01
dong,0.01
dowon,0.01
drama,0.01
dua,0.01
dukung,0.02
dulu,0.01
duluan,0.01
east,0.01
efek,0.01
eh,0.04
ekek,0.01
el,0.01
emosi,0.02
enak,0.01
episode,0.09
euy,0.01
flu,0.01
fokus,0.01
formasi,0.01
foto,0.01
ganas,0.01
gantung,0.01
gara,0.01
gel,0.01
gemas,0.03
generasi,0.01
gerah,0.01
gila,0.02
gin,0.02
ginting,0.01
girang,0.01
gu,0.01
guangzhou,0.01
gugup,0.04
gws,0.01
gyeoul,0.01
habis,0.04
hadu,0.01
hai,0.01
hambar,0.01
hanya,0.01
hari,0.05
haru,0.04
hashtagnya,0.01
hasil,0.03
hati,0.01
hery,0.01
hewan,0.01
hibur,0.01
hibyemama,0.01
hidup,0.06
hina,0.01
hindar,0.01
hubung,0.01
huhuhuhuhuhuhuhu,0.01
hujan,0.03
humoris,0.05
ibu,0.02
ih,0.01
ikut,0.04
indomaret,0.01
indonesia,0.01
indonesian,0.01
informasi,0.01
ingat,0.02
ingin,0.05
ini,0.01
instagram,0.01
ip,0.01
irham,0.01
iya,0.1
jadi,0.1
jalan,0.01
jam,0.07
jatuh,0.01
jauh,0.02
jebak,0.01
jeng,0.01
jeong,0.01
jiun,0.01
jiwa,0.01
juara,0.02
juga,0.03
julid,0.01
kalah,0.02
kalau,0.14
kali,0.03
kan,0.03
kantor,0.01
kar,0.01
karaoke,0.01
karena,0.02
kasi,0.02
kasih,0.02
kasihan,0.01
kata,0.03
katije,0.01
kating,0.01
kaydho,0.01
ke,0.01
keburu,0.01
kecewa,0.01
kecil,0.01
kejar,0.01
kejut,0.05
kekalahanya,0.01
ken,0.01
kena,0.01
kenan,0.01
kenapa,0.06
kencang,0.01
kentang,0.02
keras,0.01
keri,0.01
kerja,0.04
kesal,0.05
ketemu,0.01
khawatir,0.01
khusus,0.02
kina,0.01
kira,0.01
kita,0.01
kodok,0.02
komentar,0.01
konsisten,0.01
krl,0.02
kuat,0.02
kuis,0.01
kuliah,0.01
kurang,0.02
lagi,0.02
lahir,0.01
laki,0.05
lalu,0.01
lama,0.03
lambat,0.01
lancar,0.04
