term,weight
ada,0.021
adine,0.011
aduh,0.032
agar,0.021
agek,0.011
agens,0.011
akan,0.021
akhir,0.011
akun,0.011
alasan,0.021
alir,0.011
allah,0.011
aly,0.011
amin,0.021
ampun,0.011
an,0.011
anak,0.032
anda,0.074
andal,0.011
anggota,0.011
anju,0.011
apa,0.138
apps,0.011
astaga,0.011
atas,0.021
awal,0.011
ayo,0.074
babe,0.011
badut,0.021
bagaimana,0.032
bagi,0.011
bagus,0.053
baik,0.021
bajing,0.021
baki,0.011
bamg,0.011
bangun,0.021
bantu,0.011
banyak,0.011
bapak,0.032
bar,0.011
barang,0.021
bareng,0.032
baru,0.011
batang,0.011
bayang,0.021
bayar,0.011
bazreng,0.011
beda,0.042
begadang,0.011
begini,0.011
begitu,0.064
belanja,0.011
beli,0.011
belok,0.011
benar,0.085
benci,0.011
bentar,0.032
bentukane,0.011
bentukanya,0.011
beranda,0.011
berhenti,0.011
besok,0.011
betul,0.011
beyond,0.011
biadab,0.032
biasa,0.021
bicara,0.011
bisa,0.032
blablabla,0.011
bodoh,0.011
boun,0.011
buat,0.106
budak,0.011
buka,0.011
bulan,0.011
buruk,0.021
buset,0.011
butuh,0.011
calo,0.011
canda,0.011
candu,0.011
cara,0.032
cemil,0.011
ceoatm,0.011
cepat,0.011
cetho,0.011
ceto,0.011
charlotte,0.021
chimon,0.011
chitaphon,0.011
cie,0.011
cinta,0.053
cipta,0.011
cocote,0.011
cole,0.011
coret,0.011
creepy,0.011
cuma,0.011
dada,0.011
dalam,0.011
dan,0.011
dapat,0.021
darah,0.011
dari,0.011
dasar,0.011
debat,0.011
deh,0.021
deng,0.021
depan,0.021
dewe,0.011
diam,0.011
diapal,0.011
dih,0.021
dikiro,0.011
dikit,0.021
dilupain,0.011
dinding,0.011
dino,0.011
diri,0.011
disini,0.011
dita,0.011
doang,0.021
dominasi,0.011
dong,0.042
dp,0.021
dramanini,0.011
dukung,0.011
dulu,0.021
duluan,0.011
dunia,0.011
edit,0.011
eh,0.021
eman,0.011
endut,0.011
enek,0.011
entak,0.011
entuk,0.011
fanmet,0.011
favorit,0.021
fokus,0.021
foto,0.021
gae,0.021
gagal,0.011
gara,0.021
gb,0.011
ge,0.021
gek,0.011
gemas,0.064
gematine,0.011
gemesnya,0.011
gila,0.042
gilir,0.021
gin,0.116
gm,0.011
goda,0.032
gowo,0.011
gumoh,0.011
gurinjay,0.011
gusti,0.011
habis,0.011
hack,0.011
haduh,0.011
haha,0.021
hai,0.032
halah,0.021
hantu,0.021
hanya,0.021
hapus,0.011
harap,0.032
hari,0.011
haters,0.011
hayo,0.011
hidung,0.011
hidup,0.021
highnotenya,0.011
hmu,0.042
hoh,0.021
humoris,0.011
ibu,0.032
iceparis,0.011
ih,0.021
ik,0.011
ikut,0.011
imut,0.021
indah,0.011
indonesia,0.011
ini,0.053
inimah,0.011
instrumenya,0.011
iri,0.011
ish,0.011
isoh,0.011
istirahat,0.011
itu,0.074
iya,0.053
iyap,0.011
jackie,0.011
jadi,0.032
jam,0.053
jaman,0.011
jari,0.011
jaring,0.011
jerit,0.011
joss,0.011
juta,0.021
kabeh,0.011
kadung,0.011
kaki,0.011
kalau,0.074
kali,0.032
kalian,0.011
kan,0.053
kantor,0.011
kapal,0.011
kapan,0.011
kasi,0.021
kasih,0.011
kata,0.021
kawi,0.011
kecepetan,0.011
kelakar,0.011
kelas,0.011
keluar,0.011
kemarin,0.032
kembali,0.011
ken,0.042
kenapa,0.074
kencan,0.011
kepala,0.011
keren,0.011
keri,0.011
kerja,0.011
ket,0.011
ketawa,0.011
ketemu,0.021
khaled,0.011
kibul,0.011
kir,0.011
kira,0.032
kirim,0.011
koin,0.021
konsentrasi,0.011
kontaku,0.011
kos,0.011
kouta,0.011
koyo,0.021
kretek,0.021
krist,0.011
krit,0.011
kry,0.011
kun,0.032
kunci,0.011
kuota,0.021
kuping,0.011
kurang,0.011
kutuk,0.011
kyuten,0.011
label,0.011
lagu,0.032
lah,0.021
lain,0.011
laki,0.032
lama,0.032
langsung,0.032
lapar,0.021
lari,0.011
laut,0.011
lebih,0.053
lee,0.011
leher,0.011
lek,0.011
lelah,0.011
lemak,0.011
lempar,0.011
lho,0.011
lihat,0.042
lis,0.011
liyo,0.011
logo,0.011
loh,0.021
loveruk,0.011
lucu,0.011
lucunya,0.011
lumayan,0.011
luwih,0.011
malah,0.021
malam,0.021
malu,0.011
mampu,0.011
mana,0.042
mantap,0.011
marah,0.011
marketing,0.011
masa,0.021
mata,0.021
mati,0.021
mau,0.106
mbatin,0.011
melu,0.011
memang,0.042
menang,0.011
mendengarkan,0.011
menengo,0.011
menikah,0.021
menit,0.032
menuhin,0.011
mercon,0.011
metawin,0.011
metu,0.011
mimpin,0.011
minimal,0.011
minta,0.011
mirip,0.011
misi,0.011
mol,0.011
mual,0.011
mudah,0.011
muk,0.011
muka,0.011
mungkin,0.011
muntah,0.011
mv,0.021
nagid,0.011
nagih,0.011
nama,0.011
namon,0.011
nang,0.064
napsu,0.011
naudzubilh,0.011
ndang,0.011
ndue,0.011
nembus,0.011
nempel,0.011
nenek,0.053
ngab,0.011
ngantuk,0.011
ngapalke,0.011
nge,0.011
ngebadut,0.011
ngedrop,0.011
ngefolow,0.011
ngelangar,0.011
ngelike,0.011
ngelive,0.011
ngelurusin,0.011
ngerecord,0.011
ngevote,0.011
ngewel,0.011
ngomah,0.011
ngono,0.032
ngopo,0.011
ngrusak,0.011
niat,0.011
nilep,0.011
ning,0.021
njengking,0.011
non,0.021
nong,0.011
nya,0.085
nyaman,0.021
nyanyi,0.032
nyata,0.032
nyebelin,0.011
nyetel,0.011
nyomotin,0.011
obat,0.011
ohm,0.011
ojo,0.011
oke,0.053
oknum,0.021
online,0.011
ono,0.011
openingnya,0.011
orang,0.042
ow,0.011
owh,0.011
pacar,0.011
padahal,0.042
pakai,0.021
pakde,0.011
paling,0.021
pamer,0.011
panik,0.021
pantas,0.021
pasti,0.011
pawat,0.011
pecah,0.011
pedas,0.011
pelite,0.011
pena,0.011
pengirim,0.011
percaya,0.011
percoyo,0.011
pernah,0.011
pertama,0.011
pesan,0.011
pikir,0.021
pilih,0.032
pingsan,0.011
piploy,0.011
po,0.011
pp,0.011
predictions,0.011
prediksi,0.011
premium,0.011
preview,0.011
promosi,0.011
puimek,0.011
puluh,0.201
punya,0.074
putih,0.011
ra,0.032
rajin,0.011
ramai,0.011
raono,0.011
rapat,0.011
rasa,0.042
ratus,0.011
reaction,0.011
realita,0.011
rebirth,0.011
rem,0.021
risma,0.011
rules,0.011
rumah,0.011
sadarin,0.011
saiki,0.011
saja,0.159
salken,0.011
sama,0.233
sampai,0.021
sanggup,0.011
satu,0.011
saudara,0.085
saya,0.424
sayang,0.011
sbenernya,0.011
sebentar,0.042
sedih,0.011
segala,0.011
sekali,0.339
sekarang,0.032
selalu,0.011
selamat,0.021
selasa,0.011
selera,0.011
selese,0.011
semangat,0.032
sembunyi,0.011
semerbak,0.011
semoga,0.021
sempat,0.011
semua,0.042
sendiri,0.032
senin,0.021
seperti,0.127
sesak,0.011
setuju,0.011
shopee,0.011
si,0.021
sial,0.064
siapa,0.021
sih,0.138
simpsons,0.011
sinetron,0.011
sini,0.011
soal,0.011
sok,0.011
soko,0.011
solo,0.011
stan,0.011
sticker,0.011
streaming,0.021
streamingnya,0.011
suci,0.011
sudah,0.222
suka,0.074
sumpah,0.042
sumpil,0.011
superm,0.011
susah,0.021
suwe,0.011
syukur,0.021
tadi,0.011
