term,weight
aba,0.014
abdu,0.014
acin,0.014
ada,0.02
adan,0.007
aduh,0.007
agar,0.014
agung,0.007
aih,0.02
ajak,0.007
ajar,0.007
akan,0.02
akhir,0.014
alahu,0.007
alasan,0.007
alis,0.02
aman,0.02
amerika,0.007
an,0.014
anak,0.047
anda,0.075
aneh,0.007
antar,0.007
anteng,0.014
anti,0.007
apa,0.102
apik,0.007
arep,0.007
arti,0.007
asik,0.007
asli,0.007
atas,0.02
aup,0.007
avanya,0.007
ayah,0.034
ayo,0.014
ayuks,0.007
babi,0.007
baca,0.014
badha,0.034
bagai,0.007
bagaimana,0.068
bagi,0.007
bagos,0.014
bagus,0.007
bahagia,0.007
bahasa,0.007
baik,0.054
baju,0.007
balas,0.034
balek,0.007
balik,0.034
bang,0.088
bangad,0.129
bangga,0.007
bangjep,0.007
bantu,0.007
banyak,0.047
bapak,0.109
bareng,0.007
baru,0.047
bas,0.007
batang,0.014
bawa,0.041
bayang,0.007
bct,0.007
beberapa,0.007
becandan,0.007
beda,0.02
begini,0.02
begitu,0.081
bel,0.014
belanja,0.007
beli,0.02
belum,0.02
benar,0.041
benda,0.014
berapa,0.014
berat,0.007
berkarir,0.007
bersorai,0.007
besar,0.014
betina,0.007
bi,0.007
biasa,0.02
bicara,0.007
bilang,0.02
bintang,0.007
bisa,0.034
bisu,0.007
blok,0.007
bola,0.007
bosan,0.014
brambang,0.007
breakout,0.007
brisik,0.007
buang,0.007
buat,0.081
buka,0.007
bukan,0.02
bulan,0.007
bule,0.007
bulu,0.007
bumbu,0.007
bung,0.007
bunga,0.007
bungsu,0.014
cahaya,0.007
cakep,0.007
calo,0.007
calvin,0.007
canda,0.007
canget,0.007
cangtipnya,0.007
cantik,0.007
cara,0.007
cari,0.02
celaka,0.007
cemplang,0.007
ceplos,0.007
cerewet,0.014
cerita,0.027
chanel,0.007
chatan,0.02
chatnya,0.007
chin,0.007
cinta,0.027
ciri,0.007
cium,0.007
coba,0.02
cocok,0.007
cok,0.007
creepy,0.007
cubit,0.007
cucur,0.007
cuk,0.007
cukup,0.007
cuma,0.034
cupang,0.014
dada,0.007
dadi,0.02
daging,0.007
dagu,0.007
dahal,0.007
dal,0.007
dan,0.007
dangdut,0.007
dapat,0.007
dari,0.007
daunya,0.007
debat,0.007
deh,0.014
dekat,0.007
dengar,0.007
depan,0.014
desa,0.007
desek,0.007
desekan,0.007
dheg,0.007
di,0.034
dia,0.007
dibolehin,0.007
diceplosin,0.007
dicopas,0.007
didik,0.007
dipangang,0.007
dipromoin,0.007
direspon,0.007
diri,0.041
ditemenin,0.007
ditingalin,0.007
dizinin,0.007
doang,0.014
dolo,0.014
dong,0.061
doni,0.007
dul,0.061
dulu,0.007
duluan,0.007
eh,0.041
ekstrovert,0.007
embuh,0.014
emosi,0.007
enak,0.014
es,0.007
esde,0.007
esdeku,0.007
eug,0.007
eventho,0.007
fakgurl,0.007
fiersalicious,0.007
film,0.007
foto,0.061
fotografi,0.007
gagang,0.007
gakpapa,0.034
ganggu,0.007
gas,0.007
gasanya,0.007
gebetanya,0.007
geh,0.007
gelas,0.007
geleng,0.014
gemas,0.007
gembok,0.007
gemeteran,0.007
gin,0.068
gitar,0.007
gituin,0.014
goa,0.007
goreng,0.014
gosah,0.007
gosip,0.007
grup,0.014
gulir,0.014
gumush,0.007
habis,0.014
hadir,0.014
hafal,0.007
haha,0.041
hahahihi,0.007
hai,0.02
haid,0.007
hampir,0.007
hantam,0.007
hanya,0.007
hapeku,0.007
hapibidi,0.007
hari,0.034
haru,0.007
harus,0.007
hasil,0.007
hati,0.027
heartbreaking,0.007
heboh,0.007
helikopter,0.007
helm,0.007
hidup,0.007
hilang,0.02
hormat,0.014
hubung,0.014
hujan,0.007
hukum,0.007
ibu,0.047
ih,0.007
ijal,0.014
ijolno,0.007
ikot,0.007
ikut,0.007
india,0.007
indonesia,0.007
info,0.014
ingat,0.02
ingin,0.014
ini,0.068
intens,0.014
iseh,0.007
isi,0.02
itu,0.081
iya,0.075
jadi,0.115
jail,0.014
jaja,0.014
jajan,0.007
jalan,0.054
jalur,0.007
jam,0.041
jari,0.014
jawab,0.014
jelas,0.007
jelek,0.02
jelekin,0.007
jep,0.014
jerawat,0.014
jeremy,0.007
joki,0.007
judul,0.007
juga,0.007
juluk,0.007
jumat,0.007
juni,0.007
juta,0.007
kabar,0.007
kabeh,0.007
kacau,0.007
kadang,0.007
kah,0.007
kahan,0.007
kaki,0.014
kalau,0.007
kali,0.014
kalian,0.014
kalok,0.163
kan,0.088
kanan,0.007
kapan,0.014
kapitulis,0.007
kara,0.007
karena,0.027
kasep,0.007
kasih,0.034
kasus,0.007
kata,0.027
ke,0.007
kecil,0.02
kelapa,0.007
kemarin,0.02
ken,0.034
kenapa,0.088
kencang,0.007
kepala,0.007
keren,0.014
kerja,0.02
kesal,0.02
kesan,0.007
kesempurnan,0.007
ketawa,0.014
ketemu,0.014
keti,0.007
ketika,0.007
kevin,0.007
ki,0.02
