term,weight
ada,0.064
adalah,0.011
admin,0.15
adminya,0.011
aduh,0.021
agak,0.011
agung,0.011
agustus,0.021
ajaib,0.011
ajar,0.011
akal,0.011
akan,0.011
akhir,0.075
akibat,0.011
aktris,0.011
alarm,0.011
album,0.011
alhambra,0.011
alimov,0.011
alir,0.021
an,0.032
anak,0.021
anda,0.021
aneh,0.011
apa,0.053
awal,0.011
awam,0.032
awokwoakwok,0.011
ayem,0.011
ayo,0.15
badmintalk,0.011
badminton,0.021
bagaimana,0.032
bagi,0.011
bagus,0.064
bahasa,0.011
baik,0.032
balas,0.043
balik,0.021
bambank,0.011
bangga,0.011
banyak,0.118
bapak,0.032
bareng,0.032
baru,0.075
baun,0.011
bayang,0.011
bayar,0.021
beberapa,0.032
begini,0.011
begitu,0.043
belanja,0.011
beli,0.011
benar,0.043
benci,0.011
bentar,0.011
berani,0.011
berita,0.032
beritane,0.011
bersih,0.043
besar,0.021
besok,0.011
betul,0.011
biasa,0.011
bismillah,0.011
bok,0.011
bola,0.021
bosan,0.011
buah,0.011
buat,0.053
buka,0.011
bukan,0.011
bulan,0.021
buru,0.011
butet,0.011
cahaya,0.011
cantik,0.032
capai,0.011
cara,0.021
cari,0.021
cashback,0.011
cemil,0.011
cerita,0.032
chanyeol,0.011
checkout,0.021
chi,0.011
cinta,0.011
cloy,0.011
coba,0.021
comate,0.011
comeback,0.021
cuma,0.075
cuy,0.011
daddies,0.011
dalgona,0.011
dapat,0.043
dapetnya,0.011
daripada,0.011
deh,0.021
dejavu,0.011
dengan,0.011
designated,0.011
diabetes,0.011
diam,0.011
dilit,0.011
dimarahin,0.011
dinei,0.011
diskon,0.011
djlarang,0.011
doa,0.011
doang,0.021
dokter,0.011
dong,0.053
doyan,0.011
drama,0.096
dulu,0.021
eh,0.011
ember,0.011
emis,0.011
enak,0.011
episode,0.085
es,0.021
favorit,0.011
film,0.011
fitri,0.011
ft,0.011
gambar,0.011
gantung,0.011
garang,0.011
gas,0.011
gawe,0.011
gawean,0.011
gayung,0.011
gek,0.011
gembira,0.011
gibran,0.011
gila,0.053
gilir,0.032
gin,0.053
gituan,0.011
giveaway,0.011
golek,0.011
gosong,0.021
grabcar,0.011
gratis,0.011
gre,0.011
gugup,0.021
habis,0.032
hadiah,0.011
haduh,0.011
hai,0.075
hanbin,0.043
hanbinie,0.011
hansol,0.011
hanya,0.011
hapus,0.011
harap,0.011
haruto,0.011
hebat,0.011
hidup,0.011
histori,0.011
hitam,0.011
hoh,0.011
huang,0.011
humoris,0.011
ibu,0.043
idul,0.011
iklan,0.011
ikonic,0.011
ikut,0.043
in,0.011
indah,0.011
indomaret,0.011
indonesia,0.053
info,0.011
ingin,0.064
ini,0.032
instagram,0.011
iseh,0.011
isi,0.021
iso,0.021
istora,0.021
itaewon,0.011
itu,0.085
iu,0.011
iya,0.107
jadi,0.096
jalan,0.011
jam,0.011
jarang,0.011
jenenge,0.011
jer,0.021
jerome,0.021
jihyun,0.011
jinja,0.011
jo,0.011
jonhyuk,0.021
judul,0.021
juga,0.011
jun,0.011
june,0.011
kabar,0.011
kalah,0.011
kalau,0.021
kali,0.021
kalian,0.011
kamar,0.021
kamura,0.011
kapan,0.021
karakter,0.011
kastil,0.011
kata,0.011
kayk,0.011
ke,0.021
kecil,0.011
kejut,0.021
kelas,0.011
keliling,0.011
keluar,0.021
kemarin,0.032
kembali,0.011
ken,0.021
kenapa,0.085
keranjang,0.011
keren,0.032
kerudung,0.011
ket,0.011
keychain,0.011
ki,0.043
kilas,0.011
kim,0.011
kira,0.021
kita,0.011
klik,0.021
kode,0.011
koh,0.011
koin,0.011
kontak,0.011
konten,0.021
kopi,0.011
korea,0.021
krim,0.011
kuas,0.021
kuat,0.011
kucing,0.011
kui,0.021
kuis,0.064
kuliah,0.011
kuliner,0.011
kurang,0.053
labil,0.011
lagi,0.021
lah,0.011
lain,0.032
laki,0.053
laku,0.011
lama,0.032
lancar,0.011
langit,0.011
langsung,0.15
lanjut,0.011
larang,0.043
lawa,0.011
lazada,0.032
le,0.011
lebih,0.032
lee,0.021
lekat,0.021
lewat,0.011
lho,0.011
lihat,0.043
lin,0.032
link,0.011
macam,0.011
macih,0.011
magelang,0.011
mahal,0.011
mai,0.011
makane,0.011
maksud,0.011
malah,0.032
malam,0.011
malas,0.021
malu,0.011
mana,0.032
mandi,0.032
marah,0.011
markobar,0.011
masa,0.011
