term,weight
abt,0.006
acak,0.006
acts,0.006
ada,0.006
adalah,0.174
aduh,0.006
agar,0.006
ajar,0.006
akan,0.006
akhir,0.05
alih,0.006
alis,0.006
allah,0.012
aman,0.012
ambil,0.012
amerika,0.006
an,0.006
anak,0.006
anda,0.087
angrek,0.006
anjing,0.006
apa,0.075
aplikasi,0.012
arah,0.006
arrived,0.006
arti,0.006
asa,0.019
asap,0.019
asia,0.006
asik,0.006
ask,0.006
asked,0.006
astaga,0.019
awal,0.006
awam,0.012
ayam,0.006
ayo,0.012
baca,0.012
bagaimana,0.025
bahay,0.006
bahkan,0.006
baik,0.019
bajing,0.025
bang,0.012
bangga,0.006
bangs,0.006
bantuanya,0.006
banyak,0.056
baret,0.006
baru,0.037
basah,0.006
basically,0.006
baut,0.006
bawa,0.019
bayar,0.006
bcs,0.012
beda,0.019
begitu,0.012
bel,0.012
beli,0.006
belum,0.019
benar,0.037
benci,0.006
benda,0.006
berapa,0.025
berhubungan,0.006
berisik,0.006
berita,0.006
berkata,0.006
besar,0.006
besok,0.006
betina,0.006
bias,0.006
biasa,0.006
bilang,0.006
bingung,0.006
bisa,0.044
blonde,0.006
bom,0.006
bosan,0.006
both,0.006
boyf,0.006
boyfriend,0.006
brothers,0.006
buat,0.068
budak,0.006
buka,0.019
bukan,0.006
buku,0.006
bulan,0.012
buruk,0.006
busway,0.006
buta,0.006
butuh,0.05
cahaya,0.006
cain,0.006
called,0.012
campur,0.012
canin,0.006
caninya,0.006
cantik,0.006
cara,0.012
cats,0.006
cemil,0.037
cerewet,0.012
ceritain,0.006
chan,0.012
charlie,0.006
cinta,0.05
clear,0.006
comes,0.006
cravity,0.006
cravitys,0.006
cuma,0.006
cuti,0.006
dadak,0.006
daftar,0.006
dakyung,0.006
dan,0.068
dancing,0.006
dapat,0.05
darat,0.006
dari,0.112
days,0.012
debat,0.012
debut,0.006
dekat,0.006
dengan,0.019
derulo,0.006
desire,0.006
di,0.025
dia,0.044
dibandingin,0.006
did,0.037
dimana,0.006
dituker,0.006
dogs,0.006
dong,0.062
drinks,0.012
dulu,0.006
duri,0.012
dyt,0.006
each,0.006
economic,0.006
efek,0.006
eh,0.006
eid,0.006
ekstrim,0.006
else,0.006
energi,0.006
english,0.006
enough,0.006
episode,0.025
episodes,0.006
ernest,0.006
es,0.006
everytime,0.006
exo,0.006
far,0.006
favorit,0.012
ff,0.006
freaking,0.006
friends,0.019
gaberasa,0.006
gajelas,0.006
gaji,0.006
gakuat,0.006
gara,0.012
garis,0.006
gas,0.006
gelap,0.006
gelisah,0.006
gempa,0.006
gerutu,0.006
gin,0.006
goda,0.006
graduate,0.012
gratis,0.012
groups,0.006
habis,0.012
had,0.006
haduh,0.006
haha,0.006
hai,0.025
haircut,0.012
haired,0.006
hampir,0.006
hancur,0.006
hangyul,0.012
hanya,0.075
harap,0.012
harga,0.012
hari,0.037
hasil,0.006
hati,0.006
henti,0.006
hgtv,0.006
hidup,0.031
hilang,0.025
his,0.019
hitam,0.006
hours,0.006
hubby,0.006
hukum,0.006
humor,0.006
hunters,0.006
hurts,0.012
husband,0.006
hwang,0.006
hype,0.006
hyunjin,0.006
hyunjins,0.006
hyunseong,0.006
hyunsuk,0.006
ibu,0.012
ikut,0.012
ily,0.006
in,0.062
info,0.006
ingat,0.006
ingin,0.019
ini,0.081
internasional,0.006
internet,0.006
istilah,0.006
istirahat,0.019
itu,0.255
ive,0.031
iya,0.037
iyak,0.006
jadi,0.187
jadwal,0.006
jaehyun,0.006
jaksa,0.006
jalan,0.025
jam,0.031
jane,0.006
japanese,0.006
jason,0.006
jatuh,0.012
jembatan,0.006
jenis,0.006
jesica,0.006
jika,0.012
jim,0.006
jinwo,0.006
jodoh,0.006
jodohya,0.006
juga,0.025
jujur,0.019
jyunhao,0.006
kalah,0.019
kalau,0.025
kali,0.019
kalian,0.006
kampus,0.006
kan,0.012
kapan,0.019
karantina,0.006
karena,0.025
kasep,0.006
kasih,0.006
kasus,0.006
kata,0.012
kawin,0.006
kayak,0.006
kebiri,0.006
kecewa,0.037
kecil,0.006
kejadian,0.006
kejut,0.025
kelompok,0.006
keluar,0.019
keluarga,0.012
kemarin,0.006
kembali,0.019
ken,0.012
kenapa,0.068
kepa,0.012
kering,0.012
kerja,0.037
kesini,0.012
kesitu,0.006
ketika,0.012
kgs,0.006
kim,0.006
kinda,0.006
kira,0.012
kita,0.006
kondisi,0.006
konsen,0.006
kontras,0.006
korea,0.019
korsel,0.006
kry,0.006
kulit,0.006
kura,0.006
kurus,0.006
lagi,0.044
lagu,0.012
lah,0.012
lain,0.019
laki,0.012
lalu,0.012
lama,0.012
lampu,0.019
langsung,0.012
lanjut,0.006
lapar,0.006
lately,0.006
lawan,0.006
lawat,0.006
least,0.006
lebaran,0.006
lemas,0.006
liar,0.006
lihat,0.019
lineup,0.006
lingkar,0.006
lingkung,0.006
listrik,0.006
loh,0.006
lookalikes,0.006
luar,0.006
made,0.006
mager,0.006
mahasiswa,0.006
mahiro,0.006
makeover,0.006
maksud,0.019
malah,0.006
malam,0.006
malas,0.006
malu,0.006
mana,0.012
manusia,0.019
masa,0.006
masih,0.037
mati,0.037
mau,0.062
meant,0.006
mei,0.006
memang,0.012
menikah,0.006
mepet,0.006
mereka,0.025
mes,0.006
meskipun,0.006
mey,0.006
midam,0.006
mie,0.006
milik,0.006
milu,0.006
mimpi,0.006
mimpin,0.006
minggu,0.006
minghe,0.006
mingyu,0.006
minhe,0.012
minor,0.006
minta,0.006
minum,0.006
minutes,0.006
misi,0.006
mobil,0.006
mohon,0.019
months,0.006
motor,0.006
mungkin,0.006
musik,0.006
musim,0.012
mutih,0.006
muting,0.006
mv,0.012
myself,0.012
naik,0.006
name,0.006
nasi,0.006
nawarnya,0.006
nct,0.012
negeri,0.006
ngantuk,0.019
ngelawan,0.006
ngiranya,0.006
nice,0.006
nimbang,0.006
nomor,0.006
nyala,0.037
nyata,0.012
officially,0.006
oke,0.012
oleh,0.019
ongkir,0.006
orang,0.068
ordered,0.012
over,0.006
pada,0.006
padahal,0.006
pagi,0.019
pakai,0.031
paling,0.006
pantas,0.006
pantat,0.006
parah,0.006
paris,0.006
pasar,0.006
patra,0.006
peduli,0.006
pegawai,0.006
peka,0.006
penting,0.006
penuh,0.006
pergi,0.025
perhati,0.006
perkara,0.006
pernah,0.037
pesimis,0.006
pessimistic,0.006
peta,0.012
pikir,0.037
pindah,0.006
pisces,0.006
pleasing,0.006
pln,0.006
poin,0.006
pop,0.006
positif,0.019
possible,0.006
puasa,0.006
pukul,0.006
pun,0.006
punya,0.031
raja,0.012
rambut,0.025
randolph,0.006
rasa,0.044
rekam,0.006
releasing,0.006
rencana,0.006
repeating,0.006
rezeki,0.006
ruining,0.006
rumah,0.025
rusak,0.006
sabtu,0.006
sahut,0.006
saja,0.062
sakit,0.019
salah,0.006
sama,0.062
sampai,0.056
santai,0.006
santun,0.006
satu,0.031
saudara,0.025
saya,0.753
sayang,0.012
scared,0.006
se,0.006
sebagai,0.006
sebentar,0.006
sebuah,0.131
sebut,0.006
sedih,0.012
sedikit,0.006
sejak,0.012
sekali,0.081
sekarang,0.031
sekretaris,0.006
selalu,0.019
selamat,0.025
selesai,0.006
seluruh,0.012
sempurna,0.006
semua,0.044
senang,0.012
sending,0.006
sentak,0.006
seobin,0.006
seokhwa,0.006
seperated,0.006
seperti,0.025
setuju,0.006
seungwo,0.012
shay,0.012
shopee,0.006
shouldve,0.006
si,0.006
siang,0.006
siapa,0.025
sidang,0.012
sih,0.019
sipil,0.006
sisi,0.012
skripsi,0.019
skz,0.006
somewhere,0.006
sopan,0.006
spreading,0.006
starbucks,0.012
status,0.006
stressful,0.006
suara,0.012
suasana,0.006
suatu,0.006
subtitles,0.006
such,0.006
sudah,0.093
suka,0.012
sungguh,0.037
sungkem,0.006
susah,0.012
svu,0.006
swat,0.012
tadi,0.006
taeoh,0.006
tahu,0.044
tahun,0.019
takeoff,0.006
takut,0.006
tamagochi,0.006
taman,0.006
tampan,0.012
tanda,0.012
tangan,0.006
tanggal,0.006
tangis,0.019
tani,0.006
tanpa,0.012
tapi,0.05
tarik,0.006
tato,0.006
tawa,0.075
tega,0.006
telah,0.006
telat,0.006
televisi,0.006
tell,0.006
teman,0.037
tempat,0.025
tengah,0.006
terima,0.006
terimakasih,0.025
terlalu,0.006
terlihat,0.006
terus,0.037
tesis,0.006
tetap,0.006
thay,0.006
though,0.006
through,0.012
tiap,0.006
tiba,0.012
tidak,0.174
tidur,0.006
tight,0.006
tim,0.006
times,0.006
tinggal,0.012
tiring,0.006
titik,0.006
tk,0.006
together,0.012
toilet,0.006
tokopedia,0.006
tolong,0.031
tonton,0.062
torturing,0.006
towards,0.006
tq,0.006
tua,0.012
tudey,0.006
tugas,0.006
tuhan,0.019
tumpuk,0.006
tunggu,0.012
tutup,0.006
two,0.006
twotm,0.006
uang,0.006
ubah,0.006
ucap,0.019
ugh,0.006
ukur,0.006
ulang,0.006
unduh,0.006
untuk,0.187
untung,0.006
upsize,0.006
urinary,0.006
urus,0.006
use,0.006
utama,0.006
vaksin,0.006
varian,0.006
video,0.006
videos,0.012
waktu,0.012
wanted,0.012
wants,0.006
warna,0.006
wat,0.006
weeks,0.006
whiskas,0.006
winwin,0.006
ya,0.006
yah,0.006
yang,0.037
yangyang,0.012
yay,0.006
yohan,0.012
youtube,0.012
yunseong,0.025
yuta,0.006
zona,0.012
