term,weight
abai,0.005
acis,0.014
ada,0.01
adalah,0.067
agama,0.005
agar,0.024
agustus,0.005
ah,0.005
air,0.01
ajak,0.005
ajar,0.033
aju,0.01
akan,0.024
akhir,0.014
akumah,0.005
akward,0.005
alas,0.01
alat,0.01
allah,0.01
aman,0.01
amit,0.01
ampun,0.005
an,0.029
anak,0.048
anda,0.105
angin,0.005
anroit,0.005
anylonger,0.005
anymore,0.005
apa,0.091
arsip,0.005
artis,0.005
asal,0.005
asep,0.01
ask,0.005
asked,0.005
astaga,0.005
atas,0.01
atasanya,0.005
atau,0.014
awal,0.005
ayah,0.029
ayla,0.005
ayo,0.005
baca,0.01
badai,0.005
badan,0.005
bagai,0.005
bagaimana,0.01
bagus,0.005
bahagia,0.005
bahan,0.01
bahasa,0.005
bahkan,0.005
baik,0.024
baiq,0.005
baiqla,0.005
bajing,0.01
baju,0.005
balas,0.01
balik,0.014
bandung,0.01
bangetsi,0.005
bangga,0.005
bangkrut,0.005
bangun,0.019
banya,0.005
banyak,0.043
bapak,0.014
baru,0.014
batu,0.005
bawa,0.005
bayar,0.005
bayu,0.005
bcs,0.01
beban,0.005
become,0.005
beda,0.01
bedak,0.005
begadang,0.005
begini,0.005
begitu,0.048
bekel,0.005
bela,0.005
beli,0.019
beliau,0.005
belon,0.01
benar,0.052
bengong,0.005
bentar,0.005
beri,0.01
bersihin,0.005
beruang,0.005
besar,0.005
besi,0.005
besok,0.01
betul,0.014
biadab,0.01
bias,0.01
biasa,0.01
biaya,0.005
bibir,0.005
bicara,0.01
bilang,0.024
bingung,0.005
bisa,0.038
bleed,0.005
bohemian,0.005
bola,0.005
bolehin,0.005
bosan,0.005
bought,0.005
breathe,0.005
brightened,0.005
brothers,0.005
buat,0.138
budaya,0.005
buka,0.014
bukan,0.019
buku,0.005
bulan,0.01
bumi,0.014
buruk,0.005
butek,0.005
butuh,0.024
cal,0.005
called,0.005
caller,0.005
cantik,0.01
cara,0.01
cari,0.01
cat,0.014
cemburu,0.005
cemil,0.005
centil,0.005
cepat,0.01
cerewet,0.005
cerita,0.019
chasing,0.005
chatnya,0.005
cheese,0.005
cimahi,0.005
cinta,0.019
clear,0.005
closest,0.005
cocok,0.005
crayon,0.01
cuci,0.005
cuma,0.033
daftar,0.005
damar,0.01
dan,0.076
dapat,0.01
darah,0.005
dari,0.038
dat,0.005
datang,0.01
deh,0.024
dekat,0.005
deketan,0.005
deng,0.005
dengan,0.048
dengernya,0.005
depan,0.014
desain,0.01
devices,0.005
dewasa,0.005
di,0.033
dia,0.119
dibikinin,0.005
didnt,0.01
died,0.005
digger,0.005
digging,0.005
digituin,0.005
dihargain,0.005
dijauhin,0.005
dikerjain,0.01
dikirimin,0.005
dikit,0.01
dimodusin,0.005
dingin,0.01
dio,0.014
diri,0.005
disalain,0.005
disebrangin,0.005
dkv,0.014
doang,0.005
does,0.005
doing,0.005
dom,0.005
dong,0.005
drugs,0.005
duahari,0.005
duitin,0.005
dulu,0.029
duniawi,0.005
easier,0.005
edit,0.01
effendi,0.005
eh,0.01
ekstrim,0.005
ele,0.005
elearning,0.005
emas,0.005
enak,0.005
entertainer,0.005
es,0.005
esai,0.005
every,0.005
ex,0.005
fckn,0.005
few,0.005
fokus,0.005
folowan,0.01
foto,0.01
french,0.005
friends,0.014
ftv,0.005
fuckboy,0.005
gadis,0.01
gajelas,0.005
gakdeng,0.005
galak,0.01
gamaju,0.005
gamasak,0.005
gambar,0.033
game,0.019
ganemu,0.005
ganti,0.005
gapake,0.005
gausa,0.01
gendong,0.005
gerak,0.005
giggling,0.005
gigi,0.005
gilir,0.005
gin,0.029
gone,0.005
graduate,0.005
guesthouse,0.005
guru,0.005
habis,0.005
had,0.01
hadid,0.005
hambar,0.005
hampa,0.005
hantu,0.005
hanya,0.024
hapus,0.01
harap,0.029
hardest,0.005
hari,0.043
harta,0.005
harus,0.014
has,0.005
hati,0.005
henti,0.005
heres,0.005
hidup,0.024
hilang,0.01
hinyai,0.005
his,0.014
hobi,0.01
huehehe,0.005
humoris,0.019
ibadah,0.005
ibu,0.033
iftar,0.005
ih,0.014
ikhlas,0.005
ikhlasin,0.005
ikut,0.005
imel,0.005
impi,0.005
in,0.005
indah,0.005
ingat,0.01
ingin,0.014
ingris,0.005
ini,0.024
inimah,0.01
initiation,0.005
internet,0.005
investigations,0.005
isi,0.01
isnt,0.005
itu,0.157
ituteh,0.005
iya,0.048
jadi,0.114
jaga,0.005
jalan,0.019
jam,0.014
janji,0.01
jantung,0.005
jari,0.005
jauh,0.01
jelas,0.005
jelasin,0.005
jelaslha,0.005
jelek,0.005
jenis,0.005
jual,0.005
juga,0.014
jutawan,0.005
kabar,0.005
kabul,0.005
kaki,0.005
kalau,0.067
kalian,0.019
kamar,0.005
kan,0.01
kantin,0.005
kapan,0.005
kapas,0.005
karantina,0.005
karena,0.01
karikatur,0.005
karya,0.005
kasi,0.005
kata,0.014
kati,0.005
kayak,0.038
ke,0.01
kebal,0.005
kecil,0.01
kel,0.005
kelas,0.005
keluar,0.01
keluarga,0.005
keluargaqu,0.005
kemarin,0.01
kembali,0.005
ken,0.005
kena,0.01
kenapa,0.067
kenapasik,0.005
kencang,0.005
kepala,0.01
kerja,0.033
kertas,0.005
kerudung,0.005
kesana,0.005
ketemu,0.005
ketika,0.029
kevin,0.005
kids,0.01
kipas,0.005
kir,0.005
kiri,0.014
kirim,0.014
kita,0.01
kitu,0.005
komentar,0.01
konten,0.005
kotor,0.024
kreatif,0.01
krim,0.005
kuas,0.005
kudugong,0.005
kuliah,0.005
kulit,0.01
kurang,0.005
lacak,0.005
lagi,0.01
lagu,0.005
lah,0.005
laki,0.01
laku,0.01
lalu,0.01
lama,0.019
langsung,0.038
lapor,0.005
laptop,0.019
later,0.005
lawan,0.005
lebih,0.029
lemari,0.01
lena,0.005
les,0.014
lewat,0.005
lha,0.005
liatin,0.005
lihat,0.024
lin,0.01
lina,0.01
loncat,0.005
look,0.005
loved,0.005
loves,0.005
ludah,0.01
luluh,0.005
lupa,0.019
maaf,0.005
made,0.005
magrib,0.005
maha,0.01
mahal,0.005
mahasiswa,0.005
mai,0.005
main,0.005
majikanya,0.005
maju,0.005
makas,0.005
makes,0.005
makin,0.005
maksud,0.014
malah,0.01
malaikat,0.005
malam,0.014
maling,0.005
maloe,0.005
malu,0.019
mana,0.01
mandi,0.01
mangat,0.005
mangilnya,0.005
mantap,0.005
maret,0.005
maria,0.005
marnat,0.005
masa,0.019
masak,0.01
masakan,0.005
masih,0.029
masjid,0.005
masker,0.01
masuk,0.019
mata,0.01
mati,0.024
matkul,0.005
mau,0.086
mbok,0.005
mebel,0.005
media,0.005
melaka,0.005
memang,0.029
menang,0.005
menikah,0.005
menit,0.005
mensyen,0.01
mental,0.005
mentang,0.01
mereka,0.048
mesti,0.019
might,0.005
milik,0.024
mimpi,0.005
mimpin,0.005
minat,0.01
minggu,0.005
minta,0.005
mobil,0.01
moca,0.005
mode,0.005
molekul,0.005
monangis,0.005
monic,0.005
most,0.005
muda,0.005
mudah,0.01
muka,0.005
mula,0.01
mulus,0.005
mulut,0.01
munafik,0.005
mungkin,0.005
murah,0.005
murid,0.005
muslim,0.005
muterin,0.005
myself,0.005
naik,0.005
name,0.005
nasi,0.005
needed,0.005
needs,0.005
nerusin,0.005
ngajarin,0.005
ngantuk,0.005
ngapen,0.005
nge,0.014
ngelakuin,0.005
ngetreat,0.005
ngobrol,0.005
ngubah,0.005
niat,0.01
nice,0.005
nikmat,0.005
nilai,0.005
nimbun,0.005
ning,0.005
nishimura,0.005
normal,0.01
nostalgia,0.005
nyala,0.029
nyapa,0.005
nyata,0.029
nyaut,0.005
nyebelin,0.005
nyelametin,0.005
nyiksa,0.005
objects,0.005
obrol,0.01
obsessed,0.005
oemah,0.005
ogah,0.005
oke,0.024
oleh,0.01
orang,0.071
orca,0.005
oriented,0.005
otak,0.01
otd,0.005
pacar,0.014
padahal,0.029
pagi,0.014
paham,0.005
pakai,0.014
paling,0.005
pamer,0.005
panas,0.005
panggang,0.005
panggil,0.005
panjat,0.005
pantas,0.024
pantat,0.005
paspasan,0.005
passed,0.005
pecah,0.005
peduli,0.005
pekerjaan,0.005
pelihara,0.005
pena,0.005
pendiem,0.01
penuh,0.005
percaya,0.005
percuma,0.005
pergi,0.005
perlu,0.005
pernah,0.038
pictures,0.005
pikir,0.057
pikiranya,0.005
pilih,0.005
pindah,0.005
pintar,0.019
poin,0.005
porto,0.01
potong,0.005
preview,0.005
pria,0.01
produktif,0.005
pulang,0.005
punya,0.019
qodo,0.005
quizlet,0.005
rambut,0.01
rapot,0.01
rara,0.005
raripuh,0.005
rasa,0.024
rawat,0.005
realized,0.005
rebah,0.005
rese,0.005
retak,0.005
revisi,0.014
rhapsody,0.005
ribut,0.014
rich,0.005
rindu,0.038
riverdale,0.005
rmit,0.005
roti,0.005
rsj,0.005
rumah,0.019
rusak,0.005
rusel,0.005
saban,0.005
sahur,0.014
saja,0.052
sakit,0.005
salah,0.014
saling,0.005
sama,0.057
sampai,0.062
sana,0.01
sangat,0.014
sangka,0.005
sapa,0.005
saruana,0.005
satu,0.024
saudara,0.076
saw,0.01
saya,0.801
sayang,0.014
scared,0.005
scars,0.005
scot,0.005
sebagai,0.01
sebuah,0.033
sederhana,0.005
sedih,0.014
segala,0.005
sehat,0.01
sejarah,0.005
sekali,0.105
sekaligus,0.005
sekarang,0.019
selalu,0.014
selamat,0.005
selebriti,0.005
selesai,0.014
sembur,0.005
semoga,0.01
sempat,0.01
sempetnya,0.005
semua,0.019
senang,0.029
sendiri,0.029
seni,0.01
seperti,0.052
sepupu,0.005
sering,0.005
seru,0.01
sesal,0.005
seseorang,0.005
sesuatu,0.005
setuju,0.005
shitty,0.005
shob,0.005
showed,0.005
si,0.019
siapa,0.029
siganu,0.005
sih,0.033
sini,0.005
situ,0.01
skecthing,0.005
sobat,0.005
solat,0.005
sonsistem,0.005
sorak,0.005
sosial,0.01
spesialis,0.005
spidol,0.005
spongebob,0.005
students,0.005
suara,0.005
suasana,0.005
suatu,0.005
such,0.005
sudah,0.114
suka,0.038
sunda,0.005
sungguh,0.005
sunscreen,0.005
syok,0.005
tadi,0.005
tahu,0.067
tahun,0.024
takut,0.01
tamat,0.005
tambah,0.01
tamsis,0.005
tangan,0.005
tangis,0.014
tanjung,0.005
tanpa,0.005
tantang,0.005
tanya,0.005
tapi,0.038
tapiko,0.005
tarik,0.01
tawa,0.024
tay,0.01
teh,0.005
telah,0.005
telepon,0.01
tell,0.005
tema,0.005
teman,0.014
temu,0.01
tenar,0.005
tengah,0.019
tengkyu,0.01
tentang,0.014
tepat,0.01
ter,0.005
teraweh,0.01
terimakasih,0.019
terlalu,0.005
terus,0.014
tetap,0.005
therapist,0.005
though,0.005
through,0.005
throwback,0.005
tiap,0.005
tidak,0.243
tidur,0.029
times,0.005
tinggal,0.01
titik,0.014
titis,0.005
told,0.01
tonton,0.005
topik,0.005
toys,0.005
travis,0.005
treated,0.005
tua,0.01
tugas,0.014
tuhan,0.01
tulang,0.005
tulis,0.01
tunggu,0.014
turki,0.005
turun,0.014
turut,0.005
tutor,0.005
tutup,0.01
tweet,0.01
twitter,0.005
uang,0.01
ucap,0.014
ucing,0.005
ucingteh,0.005
ujung,0.005
ulang,0.014
ular,0.005
umat,0.005
umur,0.01
unek,0.01
untalented,0.005
untuk,0.138
untung,0.005
usah,0.005
used,0.005
utama,0.005
valentine,0.005
video,0.01
wah,0.005
waktu,0.029
wanita,0.048
wanted,0.005
warna,0.005
wgwgwg,0.005
whatsap,0.005
whoever,0.005
wih,0.005
ya,0.01
yah,0.005
yaitu,0.005
yang,0.043
yatim,0.005
yayoi,0.005
yogyakarta,0.005
yourboyfai,0.005
zona,0.01
