term,weight
abadi,0.01
ada,0.051
admin,0.01
aduh,0.031
agar,0.041
ah,0.01
aib,0.01
ajar,0.031
akan,0.01
akh,0.01
akhir,0.041
akhlak,0.01
aktivitas,0.01
akuin,0.01
akuw,0.01
alias,0.01
allah,0.021
alya,0.01
aman,0.01
ambyar,0.01
ami,0.021
amin,0.031
an,0.01
anak,0.031
anda,0.123
anggota,0.01
angsa,0.01
anjlok,0.01
apa,0.103
asik,0.021
asiq,0.01
astaga,0.01
ayah,0.01
ayam,0.01
ayo,0.021
baca,0.062
badan,0.01
bagaimana,0.021
bagaul,0.01
bagus,0.031
bahas,0.01
baik,0.041
bajing,0.01
bakat,0.01
bako,0.01
bando,0.01
bang,0.01
bantai,0.01
bantu,0.01
banyak,0.062
bapak,0.031
bapaklu,0.01
baru,0.021
batalin,0.01
bawa,0.01
bayang,0.01
beberapa,0.021
begini,0.062
begitu,0.072
belum,0.021
benar,0.031
berapa,0.01
berbi,0.01
bersih,0.01
betah,0.01
beye,0.01
bibel,0.01
bibit,0.01
bincang,0.01
bingung,0.01
bisa,0.051
blok,0.01
boleh,0.01
bom,0.01
boncengin,0.01
brushnya,0.01
buat,0.072
bubu,0.01
budak,0.01
buk,0.01
buka,0.021
bukan,0.062
buku,0.021
bulan,0.01
bunda,0.021
bungkus,0.01
buntu,0.01
bunyi,0.021
buru,0.031
byuti,0.01
cahaya,0.021
calo,0.01
cantik,0.021
cara,0.01
cari,0.01
celaka,0.031
cemil,0.031
cermin,0.01
chatnya,0.01
children,0.021
chivinank,0.01
cinta,0.021
ciput,0.01
cislover,0.01
coba,0.01
cobak,0.021
cocok,0.041
cuanet,0.01
cuci,0.021
cukup,0.01
cuma,0.021
cuman,0.01
dadah,0.021
dagang,0.01
dalam,0.01
dampingin,0.01
dangdut,0.01
dapat,0.031
dari,0.051
deh,0.021
dekat,0.021
dengan,0.021
depan,0.01
di,0.021
dibuble,0.01
dicengin,0.01
diciptain,0.01
difolow,0.01
digive,0.01
dijadin,0.01
dikuatin,0.01
dinget,0.01
diqra,0.01
direqrut,0.01
direview,0.01
diri,0.021
diskusi,0.021
distrek,0.01
disuskribe,0.01
doa,0.01
doang,0.01
dokter,0.031
dompet,0.01
dong,0.041
duduk,0.01
dukung,0.01
dulu,0.041
dunia,0.01
durhaka,0.021
ekspetasi,0.021
email,0.041
enak,0.021
engkao,0.01
entah,0.01
envy,0.01
episode,0.01
episodnya,0.01
erti,0.01
facebook,0.01
favorit,0.01
felix,0.01
floger,0.01
flu,0.01
freya,0.01
gabegitu,0.01
gadirespon,0.01
gamikir,0.01
gamuncul,0.01
gangteng,0.01
gantung,0.01
gatal,0.01
gatermasuk,0.01
gaunya,0.01
gays,0.01
gedein,0.021
geh,0.01
gel,0.01
gelap,0.01
gelik,0.01
gerbang,0.01
ghibahnya,0.01
gih,0.01
gin,0.01
gituw,0.01
gmpg,0.01
goa,0.072
golong,0.01
goyang,0.031
gratis,0.021
habis,0.031
hacker,0.01
hafal,0.01
haha,0.01
hal,0.01
halah,0.01
hambar,0.021
hana,0.01
hantu,0.01
hanya,0.01
harga,0.01
hari,0.041
haru,0.01
harus,0.021
hati,0.01
hebat,0.021
hembus,0.01
henti,0.01
hft,0.021
hibur,0.01
highschol,0.01
hijau,0.01
hilang,0.01
hirup,0.01
hujan,0.01
humoris,0.01
ibu,0.031
ige,0.021
ignya,0.01
ih,0.01
iklan,0.01
ikut,0.01
ilfel,0.01
ilmu,0.01
imanya,0.01
in,0.021
info,0.01
ingin,0.01
ini,0.093
inimah,0.01
inisih,0.01
instagram,0.021
instastory,0.01
iringin,0.01
isi,0.041
istri,0.021
itu,0.093
iya,0.134
jadi,0.103
jaga,0.021
jahiliyah,0.01
jalin,0.01
jam,0.01
jaman,0.01
jangka,0.01
jarang,0.021
jatuh,0.01
jauh,0.041
jaya,0.021
jelek,0.01
jodoh,0.01
jos,0.01
jrg,0.01
judul,0.01
juga,0.072
jurnal,0.01
jurus,0.01
kalau,0.134
kalian,0.01
kam,0.01
kamar,0.021
kan,0.041
kanan,0.01
karaka,0.01
karena,0.051
karet,0.01
karin,0.01
kasi,0.021
kasih,0.021
kayak,0.01
kebel,0.01
kecil,0.01
kecilin,0.01
kegangu,0.01
kejar,0.01
keliatanya,0.01
keluarga,0.01
kembali,0.01
kemudian,0.021
ken,0.031
kena,0.01
kenal,0.01
kenapa,0.093
kenyat,0.01
kepala,0.01
keranjang,0.021
kering,0.01
keriting,0.01
kerja,0.01
kertas,0.01
kesal,0.021
kira,0.01
kiri,0.01
kit,0.01
