term,weight
ada,0.035
adalah,0.012
admin,0.012
aduh,0.024
agar,0.047
agenda,0.012
ah,0.012
ajak,0.012
aji,0.012
akakak,0.012
akhir,0.035
akhlak,0.012
akirnya,0.012
akun,0.012
alasan,0.012
alfamart,0.012
alias,0.012
alih,0.012
amay,0.012
amin,0.012
amu,0.012
an,0.012
anak,0.024
anda,0.059
anggur,0.012
anginya,0.012
anyeong,0.012
apa,0.106
aqila,0.012
ardhito,0.012
asep,0.012
astaga,0.035
atau,0.012
awaw,0.012
awet,0.012
ayo,0.071
babak,0.012
baca,0.012
bagaimana,0.012
bahagia,0.012
bahasa,0.012
baik,0.012
banguntapan,0.024
banyak,0.047
bapak,0.012
barenganya,0.012
baru,0.035
baskara,0.012
batin,0.012
bau,0.012
bawah,0.012
beban,0.012
begitu,0.035
beku,0.012
beli,0.012
benar,0.047
benerbener,0.012
bentar,0.024
beranta,0.012
berat,0.012
besar,0.024
besok,0.024
besoq,0.012
betol,0.012
biasa,0.012
bilang,0.012
bingung,0.024
bisa,0.059
blkg,0.012
boba,0.035
bodoh,0.012
bohong,0.012
boleh,0.024
bolong,0.012
bom,0.012
bosan,0.035
brengsek,0.012
buah,0.012
buat,0.047
buber,0.012
budak,0.035
buka,0.035
bukan,0.012
bul,0.012
bunga,0.012
bur,0.012
cara,0.012
cedi,0.012
cemangat,0.012
cemil,0.189
cepat,0.024
cerita,0.024
cilok,0.012
cinta,0.047
cloy,0.059
coba,0.012
corona,0.012
cpt,0.012
cr,0.012
cuma,0.035
cuy,0.012
da,0.012
dalam,0.012
damar,0.012
dapat,0.012
darah,0.012
dari,0.083
dekor,0.012
depan,0.024
der,0.012
destia,0.012
detik,0.012
diabetes,0.012
dibolehin,0.012
digofod,0.012
dikit,0.012
dil,0.012
dinding,0.012
dingin,0.035
diri,0.024
ditanyain,0.012
diteriakin,0.012
doang,0.012
doank,0.012
dong,0.012
dosa,0.024
drakoran,0.012
drama,0.094
dulu,0.012
dunia,0.012
duren,0.012
ebi,0.012
em,0.012
enak,0.059
eon,0.012
episode,0.012
es,0.012
eskrim,0.012
frik,0.024
gadpt,0.012
gaksih,0.012
gaktau,0.012
gasabar,0.012
gatenang,0.012
gdun,0.012
gemey,0.012
gemini,0.012
geprek,0.012
gigi,0.012
gila,0.012
gin,0.059
giniseh,0.012
godan,0.024
godean,0.012
gratis,0.012
grup,0.012
gtw,0.012
gumuy,0.012
habis,0.059
hadu,0.012
hala,0.012
halusinasi,0.012
hanya,0.012
hari,0.106
haseyo,0.012
hati,0.012
hayo,0.012
heran,0.012
hidup,0.012
hijau,0.012
hindar,0.012
hindia,0.024
hujan,0.035
huw,0.012
ibu,0.012
ide,0.012
idih,0.012
ih,0.012
ikut,0.024
in,0.012
indihome,0.012
ingin,0.142
ini,0.012
isi,0.024
istirahat,0.012
itu,0.071
iya,0.047
jadi,0.059
jajan,0.024
jalan,0.059
jam,0.035
jaman,0.012
januari,0.012
jawab,0.012
jdnya,0.012
jeda,0.012
jengukin,0.012
jiwa,0.024
jompo,0.012
jual,0.012
juga,0.024
jujur,0.035
jung,0.012
jurnal,0.012
kacau,0.012
kacaw,0.012
kalau,0.106
kali,0.024
kamar,0.035
kambing,0.012
kan,0.094
kapan,0.024
karena,0.012
kasarung,0.012
kata,0.012
kecil,0.012
kedatengan,0.012
kejar,0.024
keluar,0.024
keluarga,0.012
kemarin,0.012
ken,0.059
kenapa,0.153
kencang,0.012
kenyang,0.012
kerang,0.012
keras,0.012
kerja,0.012
ketemu,0.024
kiamat,0.012
kira,0.012
kirakira,0.012
kn,0.012
knpseh,0.012
knpsih,0.047
konser,0.012
korea,0.059
kosong,0.012
kua,0.012
kualat,0.012
kuat,0.012
kucing,0.059
kukut,0.012
kuliah,0.012
kuningan,0.012
kunto,0.012
kutuk,0.012
lagi,0.13
lagu,0.012
laku,0.012
lama,0.012
langsung,0.035
lapar,0.047
lapernya,0.012
lari,0.012
lebaran,0.024
lebih,0.035
lelah,0.047
lemas,0.012
lho,0.012
lihat,0.047
lil,0.012
loh,0.012
loncat,0.012
luas,0.012
lucuk,0.012
maafin,0.012
mager,0.035
magrib,0.012
main,0.012
malam,0.047
malas,0.024
mall,0.012
malu,0.012
mana,0.024
mandi,0.012
marah,0.024
marahin,0.012
maramara,0.012
masa,0.012
masalah,0.024
mata,0.012
mau,0.094
melek,0.012
memang,0.071
menang,0.012
meong,0.012
mie,0.012
minta,0.012
minum,0.012
mirip,0.012
mobil,0.012
mokel,0.012
monyet,0.024
motivasi,0.024
muasaksih,0.012
mulai,0.024
multitasking,0.012
muncul,0.012
muring,0.012
mutermuter,0.012
mutung,0.012
nabrak,0.012
nang,0.012
nangisz,0.012
nanyanya,0.012
ndekem,0.012
nerbener,0.012
ngabisin,0.012
ngantok,0.012
ngantuk,0.024
ngapalin,0.012
ngechatnya,0.012
nged,0.012
ngegame,0.012
ngetiknya,0.012
ngetwit,0.012
ngobrol,0.024
niat,0.012
ninda,0.012
nya,0.012
nyala,0.012
nyalip,0.012
nyanyi,0.012
nyata,0.024
nyebelin,0.024
olahraga,0.012
omong,0.024
online,0.012
orang,0.071
otak,0.012
otp,0.012
pada,0.024
padahal,0.059
pagi,0.012
pagipagi,0.012
paham,0.012
pai,0.012
pakai,0.047
paling,0.012
paman,0.012
panas,0.012
panggil,0.012
panjang,0.024
pantai,0.012
paragraf,0.012
pasrah,0.012
patah,0.012
pedas,0.012
pedesnya,0.012
penting,0.024
peras,0.012
pernah,0.012
persis,0.012
pertama,0.012
perut,0.012
pikir,0.035
pindah,0.012
pogung,0.012
pokok,0.012
pria,0.012
puasa,0.024
pulang,0.035
pusing,0.047
pusink,0.012
putar,0.035
ramadhan,0.012
rasa,0.012
ratu,0.012
rebus,0.012
rem,0.012
rencana,0.012
rendang,0.012
revelgigs,0.012
rindu,0.047
ringroad,0.012
ritwit,0.012
riuh,0.012
rumah,0.083
