term,weight
aah,0.006
ac,0.006
acara,0.006
ada,0.045
adalah,0.011
admin,0.017
aduh,0.006
agar,0.006
aghnia,0.051
ah,0.017
ai,0.017
ajar,0.017
akan,0.017
akhir,0.006
aman,0.006
ambil,0.011
anak,0.017
anda,0.426
angkutan,0.006
antcawifcl,0.011
antimo,0.006
apa,0.273
arti,0.023
astaga,0.017
atas,0.006
ath,0.108
atuhlah,0.011
awkwkwk,0.006
ayo,0.006
azka,0.057
azwardfauzan,0.006
baca,0.017
bagai,0.006
bagaimana,0.051
bagus,0.006
bahas,0.006
bahasa,0.011
bahkan,0.011
baik,0.017
bandung,0.006
bang,0.023
bangun,0.011
banteng,0.136
banyak,0.017
baru,0.011
basa,0.006
bawa,0.011
bayang,0.011
bayar,0.006
bebas,0.006
beberapa,0.006
begini,0.006
begitu,0.057
belum,0.011
benar,0.04
benda,0.006
berapa,0.006
bere,0.006
beri,0.006
beside,0.011
besok,0.006
bestfriend,0.006
beungeut,0.006
biarin,0.011
bicara,0.034
bisa,0.017
bohong,0.011
boong,0.006
bosan,0.006
buat,0.023
buka,0.017
bukan,0.006
buku,0.011
bumi,0.006
butir,0.006
butuh,0.006
canda,0.011
cantik,0.006
cemil,0.006
cepat,0.006
cerita,0.011
chelsea,0.006
ciapa,0.006
cinta,0.023
ciri,0.006
co,0.017
coba,0.017
cocok,0.011
coldplay,0.017
cuma,0.017
da,0.102
daftar,0.006
dan,0.017
dari,0.023
dasar,0.006
datar,0.006
decide,0.006
deh,0.023
dek,0.006
dekat,0.017
dela,0.006
depan,0.006
derita,0.006
deui,0.006
di,0.04
diajarin,0.006
dika,0.017
dikit,0.006
dino,0.006
diri,0.006
ditayangin,0.006
dito,0.006
doang,0.017
doesn,0.006
doing,0.006
dong,0.068
dpd,0.006
dragons,0.006
dulu,0.017
eh,0.074
eits,0.006
emis,0.045
ente,0.006
eteb,0.006
euy,0.006
ey,0.006
fakta,0.028
far,0.011
fck,0.011
film,0.011
flashdisk,0.006
frustrasi,0.006
futsal,0.006
fvck,0.017
fvcked,0.006
gagal,0.011
gamaungalah,0.006
game,0.006
gameplaynya,0.006
gandeng,0.006
ganggu,0.006
gataulah,0.006
ge,0.006
gea,0.006
gening,0.006
gmo,0.023
goblay,0.006
grup,0.006
haha,0.017
hamba,0.006
han,0.006
hanya,0.023
harap,0.006
hari,0.04
harus,0.006
hati,0.011
hayati,0.006
hayo,0.04
heaven,0.006
henti,0.04
hereuy,0.006
hidup,0.011
himalaya,0.006
hirup,0.006
homoseksual,0.011
hpnya,0.011
htp,0.017
hurts,0.006
ibu,0.222
idih,0.006
ih,0.045
ikut,0.011
in,0.006
indah,0.006
indomart,0.006
indonesia,0.011
ingat,0.023
ingin,0.034
ini,0.028
ipul,0.006
itu,0.154
iya,0.171
jadi,0.057
jalan,0.028
jantung,0.006
jauh,0.006
jawab,0.006
jepang,0.006
jepit,0.011
jeproet,0.006
jeung,0.006
jika,0.017
judul,0.006
juga,0.028
jujur,0.04
kalah,0.051
kalau,0.017
kalem,0.011
kali,0.011
kalian,0.017
kamumah,0.006
kan,0.119
kapan,0.011
karena,0.006
kasih,0.006
kasus,0.006
kata,0.011
kayak,0.006
keingetan,0.011
kelas,0.011
ken,0.006
kena,0.023
kenal,0.011
kenapa,0.063
keneh,0.006
kerja,0.017
kerjakeun,0.006
kesal,0.017
ketemu,0.006
ketika,0.017
ketinggalan,0.006
khusus,0.006
kimia,0.006
kira,0.034
kitu,0.011
kompleks,0.006
korea,0.028
kram,0.017
kunaon,0.006
kutuk,0.006
kyuhyun,0.034
lagi,0.017
lah,0.068
lain,0.017
laki,0.023
lalieur,0.006
lalu,0.011
lambat,0.006
langkah,0.006
langsung,0.023
lanjut,0.006
lantai,0.006
laptop,0.006
larang,0.006
lari,0.006
latar,0.006
lebay,0.006
lebih,0.006
lelah,0.011
lier,0.006
lieur,0.011
lihat,0.006
lupa,0.006
maaf,0.034
maafin,0.006
mabuk,0.051
mafkan,0.006
magrib,0.006
makanya,0.006
makhluk,0.006
maksud,0.006
malu,0.006
mana,0.028
mangkal,0.006
marah,0.023
masa,0.006
masih,0.011
masuk,0.011
masyarakat,0.006
mata,0.006
mati,0.028
mau,0.051
meanother,0.006
meh,0.006
memberi,0.006
memutarbalikan,0.006
menang,0.017
mendung,0.006
menit,0.006
menstruasi,0.034
merah,0.011
meureun,0.006
miles,0.006
milik,0.028
minggu,0.006
minjem,0.006
minta,0.011
minum,0.006
minyak,0.006
misi,0.102
mnt,0.006
moal,0.006
muka,0.011
mulai,0.085
mungkin,0.011
na,0.011
nakal,0.006
nang,0.011
negara,0.011
neraka,0.006
ngebetein,0.006
ngebuly,0.006
ngehindar,0.006
ngerangkum,0.034
nolak,0.011
normal,0.023
november,0.006
nu,0.011
nya,0.04
nyala,0.011
nyambung,0.006
nyata,0.006
nyimprung,0.011
oca,0.006
oge,0.006
ohang,0.068
ohehehe,0.006
oke,0.011
oleh,0.034
ooh,0.023
orang,0.011
pacar,0.028
paham,0.006
panadol,0.006
pangih,0.006
pangilin,0.006
parah,0.017
parusing,0.006
pasang,0.006
patut,0.006
peluk,0.011
penuh,0.006
pergi,0.006
periksa,0.034
pernah,0.006
pesan,0.023
peuyeum,0.006
pikir,0.028
pindah,0.011
pkn,0.017
pqeyup,0.006
pria,0.028
pundung,0.011
punya,0.011
purapura,0.006
pusing,0.006
radioaktif,0.006
rasa,0.006
ratu,0.017
razia,0.006
rea,0.006
realize,0.006
rem,0.006
retweet,0.034
rezeki,0.028
rifqy,0.006
rindu,0.006
rips,0.006
rumah,0.017
runs,0.006
saha,0.006
saja,0.063
sakit,0.011
sakti,0.006
salah,0.034
sama,0.045
sampai,0.017
sampul,0.006
sana,0.017
saraf,0.011
saran,0.006
satu,0.017
satumpuk,0.006
saudara,0.176
saya,0.495
seangkot,0.006
sebuah,0.011
sebut,0.006
sedih,0.011
sehat,0.028
sekali,0.017
sekarang,0.028
sekarat,0.006
selamat,0.006
selesai,0.017
seluruh,0.006
semua,0.028
senbud,0.011
sendiri,0.006
senjata,0.011
seperti,0.017
sepi,0.011
serah,0.011
serba,0.006
sesuatu,0.006
si,0.011
sial,0.011
siapa,0.028
sih,0.017
sil,0.006
siluman,0.04
silumanya,0.006
sipit,0.011
sisi,0.006
sms,0.006
sni,0.006
sok,0.045
sombong,0.006
sopir,0.006
sorang,0.006
sosoan,0.006
sotau,0.011
soul,0.006
subuh,0.006
sudah,0.097
suka,0.057
sunda,0.011
supid,0.006
susul,0.011
tadi,0.006
tahu,0.08
tahun,0.011
tai,0.028
takut,0.006
tambah,0.006
tampan,0.011
tanjung,0.006
tapi,0.011
tara,0.006
taruh,0.006
tawa,0.057
tebe,0.034
teh,0.023
tekan,0.017
tell,0.006
teman,0.011
tempat,0.006
tempe,0.011
tenang,0.011
terus,0.04
teuimg,0.006
through,0.011
ti,0.074
tiap,0.017
tiba,0.017
tidak,0.301
tidur,0.028
tinggal,0.011
tinta,0.011
tipu,0.034
tong,0.006
tonton,0.011
took,0.006
trf,0.011
tugas,0.045
tuhan,0.006
tuhkan,0.011
tuju,0.006
tumben,0.006
tumbuh,0.006
tunggu,0.006
tunjuk,0.006
turun,0.006
