term,weight
absolutely,0.007
acak,0.007
ada,0.045
adab,0.007
adalah,0.045
adan,0.007
adidas,0.007
adjektiva,0.007
adl,0.007
aduh,0.015
agak,0.007
agar,0.007
agustus,0.007
ah,0.015
air,0.007
ajak,0.03
akal,0.007
akan,0.067
akhir,0.097
aksi,0.007
aktivitas,0.007
alam,0.015
alamat,0.007
alat,0.007
algojo,0.007
alhasil,0.007
alianz,0.007
alih,0.007
alma,0.007
alternatif,0.007
ambil,0.022
ambyar,0.007
ami,0.007
amin,0.015
an,0.007
anak,0.089
analisis,0.015
anda,0.179
aneh,0.007
angin,0.015
anime,0.007
antimo,0.007
apa,0.089
apalagi,0.007
apk,0.007
arena,0.007
argumenya,0.007
ari,0.007
aroma,0.007
arti,0.045
artikel,0.007
asa,0.007
asal,0.007
asia,0.007
asli,0.007
aspal,0.007
asyik,0.007
atas,0.067
atau,0.022
auditorium,0.007
awal,0.007
ayo,0.037
babak,0.015
baca,0.007
bacan,0.007
badan,0.037
bagai,0.022
bagaimana,0.022
bagi,0.007
bagus,0.007
bahagia,0.007
bahan,0.007
bahasa,0.015
baik,0.074
baique,0.007
bakat,0.007
balack,0.007
balik,0.022
baloteli,0.007
bambang,0.015
banderol,0.007
bandung,0.022
bang,0.007
bangga,0.007
bangun,0.015
bantu,0.015
banyak,0.03
banyol,0.007
bapak,0.007
barang,0.007
barat,0.007
barca,0.022
bareng,0.015
baris,0.007
baru,0.074
batal,0.007
batigol,0.007
bau,0.037
bawah,0.015
bayar,0.015
bayern,0.015
beatles,0.007
beban,0.015
beberapa,0.007
beda,0.022
begini,0.007
begitu,0.022
belah,0.007
belakang,0.03
belanja,0.007
beli,0.015
belum,0.03
benar,0.045
benci,0.007
benda,0.015
bentar,0.007
beranda,0.015
berapa,0.037
berat,0.007
beri,0.052
berita,0.03
besar,0.015
betapa,0.015
bicara,0.007
bijak,0.007
biji,0.007
bilang,0.007
biru,0.007
bisa,0.097
bisikin,0.007
biskuit,0.007
bobby,0.007
bodoh,0.007
boleh,0.007
borini,0.007
boru,0.007
bosan,0.007
bosque,0.007
boyong,0.007
bp,0.007
brilian,0.007
brojol,0.007
brothers,0.007
buah,0.03
buang,0.007
buat,0.089
budi,0.007
buka,0.007
bukan,0.045
bukti,0.015
bulan,0.06
bundesliga,0.007
bungkus,0.007
bupati,0.007
buru,0.037
buruk,0.007
butuh,0.015
buzzing,0.007
cafu,0.015
cak,0.007
cangih,0.007
capelo,0.007
cara,0.022
cari,0.045
catat,0.007
catur,0.007
cc,0.015
celah,0.007
cemil,0.015
cengar,0.007
cengir,0.007
cepat,0.007
cerita,0.03
chelsea,0.007
ciao,0.007
cinta,0.015
ciyusan,0.007
cky,0.007
coba,0.007
cocok,0.015
comeback,0.007
consist,0.007
corona,0.045
costa,0.007
cotoh,0.007
cuk,0.015
cukup,0.007
cuma,0.045
dal,0.007
dalam,0.022
dan,0.082
dany,0.007
dapat,0.052
dapetin,0.007
dari,0.082
daripada,0.007
data,0.007
datang,0.052
datengin,0.022
daya,0.007
days,0.007
debat,0.007
debut,0.007
deep,0.015
definisi,0.007
deh,0.037
dekat,0.007
dengan,0.015
dengar,0.022
deodoran,0.015
depan,0.007
depay,0.007
deras,0.007
derita,0.007
desa,0.015
desember,0.007
di,0.067
dia,0.015
diajarin,0.007
diangap,0.007
dibangakan,0.007
dibolehin,0.007
died,0.007
dijadin,0.007
diledekin,0.007
dilongarin,0.007
diri,0.082
disinfektan,0.007
dng,0.022
doa,0.007
doang,0.022
dong,0.015
dortmund,0.015
download,0.007
drastis,0.007
dudek,0.007
duet,0.007
duga,0.015
dukung,0.007
duls,0.007
dulu,0.067
duluan,0.007
dunia,0.007
edwards,0.007
efek,0.022
eh,0.015
either,0.007
ekspektasi,0.007
embel,0.007
emerson,0.007
emis,0.007
emolator,0.007
emosional,0.007
emoticon,0.007
empat,0.007
emyu,0.007
enak,0.007
enim,0.015
entah,0.015
eropah,0.007
erti,0.007
esok,0.007
etc,0.007
etnik,0.007
fabinho,0.007
fabio,0.007
fajar,0.007
fakta,0.015
fans,0.03
feelings,0.007
fekir,0.007
fernando,0.015
film,0.007
filosofi,0.007
filsafat,0.007
fine,0.015
firasat,0.007
fisik,0.015
fitri,0.007
foto,0.015
fransesco,0.007
friends,0.007
gadang,0.007
gagal,0.007
gairah,0.007
gaje,0.007
game,0.015
ganti,0.007
gantung,0.007
gar,0.007
garis,0.007
gawang,0.007
gelap,0.007
gelar,0.007
gemini,0.015
gengsi,0.007
geram,0.007
gerard,0.007
gereja,0.007
gervais,0.007
getting,0.007
gigi,0.007
gilir,0.007
gin,0.015
gmbl,0.007
goks,0.007
gotze,0.007
grandmasternya,0.007
grenday,0.007
gubernur,0.007
gugah,0.007
guna,0.007
gunawan,0.007
habis,0.015
hadap,0.007
hadiah,0.007
hadir,0.007
hai,0.022
hajar,0.007
hal,0.007
halah,0.007
halusinasi,0.007
hambar,0.007
hampir,0.007
hanya,0.015
hapus,0.007
harap,0.022
harefa,0.007
harga,0.007
hari,0.067
harimau,0.007
harum,0.007
harus,0.007
hasil,0.037
hati,0.007
heboh,0.007
hembus,0.007
heran,0.015
herbal,0.007
heroik,0.007
heuheu,0.007
heuheuheu,0.045
hidup,0.037
hijrah,0.007
hilang,0.022
his,0.015
hitam,0.007
hlh,0.007
hobastank,0.007
hoki,0.007
hours,0.007
hubung,0.015
hujan,0.007
hulu,0.015
humans,0.007
humoris,0.007
ian,0.007
ibadah,0.007
ibarat,0.007
ibu,0.037
ibukota,0.007
ide,0.007
idul,0.007
ikhlas,0.007
iklan,0.007
iku,0.007
ikut,0.037
imbal,0.007
improvisasi,0.007
in,0.06
indah,0.007
indonesia,0.015
ingat,0.015
ingin,0.015
ingris,0.007
ini,0.089
internasional,0.015
introspeksi,0.007
iq,0.007
ironis,0.007
isi,0.015
istana,0.007
istirahat,0.007
isu,0.022
italia,0.007
itu,0.305
iya,0.074
jadi,0.201
jadon,0.007
jae,0.007
jaga,0.007
jajan,0.007
jakarta,0.007
jal,0.007
jalan,0.037
jam,0.007
jaman,0.007
jamin,0.022
jangka,0.007
jarak,0.007
jari,0.007
jatuh,0.015
jauh,0.007
jawab,0.007
jekardah,0.007
jelas,0.007
jenak,0.007
jenis,0.015
jerman,0.022
jersey,0.037
jese,0.007
jewer,0.007
jija,0.007
jika,0.045
jua,0.007
jual,0.007
juara,0.03
judul,0.007
juga,0.022
jumpa,0.007
juni,0.022
jurnalis,0.007
jusr,0.007
juve,0.007
kadang,0.015
kaki,0.007
kalah,0.015
kalau,0.097
kali,0.052
kalimat,0.03
kampus,0.022
kamyu,0.007
kan,0.052
kandang,0.007
kandidat,0.007
kapabel,0.007
kapan,0.015
kapok,0.007
karena,0.052
karet,0.007
kasih,0.052
kata,0.037
katak,0.007
katro,0.007
kecil,0.007
kegep,0.007
kejar,0.007
kejut,0.007
keki,0.007
keknha,0.007
kelak,0.007
kelas,0.007
keluar,0.03
kemarin,0.015
kembal,0.007
kemudian,0.015
kenal,0.015
kenang,0.007
kenapa,0.037
keny,0.007
kepada,0.007
keren,0.022
kerja,0.007
kesal,0.007
kesan,0.007
ketemu,0.015
ketidakamanan,0.007
ketik,0.007
ketika,0.007
ketinggalan,0.007
khawatir,0.007
kira,0.03
kiri,0.007
kirim,0.015
kita,0.037
klop,0.045
klub,0.03
knew,0.007
knows,0.007
kode,0.007
koko,0.015
kolom,0.007
komedi,0.007
komentator,0.007
kondisi,0.037
konferensi,0.007
konteks,0.007
kontrak,0.007
korban,0.007
kosong,0.007
ktp,0.007
kuasa,0.007
kuat,0.015
kucing,0.015
kuda,0.015
kuliah,0.015
kunci,0.015
kunjung,0.015
kuping,0.007
kurang,0.022
kutik,0.007
kutuk,0.007
laga,0.007
lagi,0.007
lagu,0.052
lah,0.045
lahir,0.007
lahm,0.007
lain,0.015
laki,0.015
laku,0.037
lalu,0.03
lama,0.045
lambert,0.007
langkah,0.007
langsung,0.007
lanjut,0.015
lantai,0.022
lapang,0.007
lapar,0.015
lapis,0.015
laptop,0.007
lari,0.007
latar,0.007
lawan,0.022
lawas,0.015
layak,0.007
least,0.007
lebih,0.097
lega,0.007
leher,0.007
leicester,0.007
leipzig,0.007
lekat,0.015
lelucon,0.007
lembar,0.007
lempar,0.007
lentang,0.007
lepas,0.03
letak,0.015
lewah,0.007
lewat,0.037
lfc,0.007
lho,0.015
liga,0.015
lihat,0.037
lil,0.015
lingard,0.007
lini,0.007
lirik,0.03
lisan,0.007
liverpol,0.052
ll,0.007
logo,0.007
loh,0.007
lokal,0.007
lonjak,0.007
lontong,0.007
look,0.007
lucu,0.007
luka,0.015
luput,0.007
maag,0.007
mai,0.007
main,0.007
mainin,0.007
makanya,0.007
makhluk,0.007
makin,0.022
maklum,0.022
makmur,0.022
makna,0.022
maksud,0.022
malah,0.007
malam,0.015
malu,0.015
mana,0.067
mandi,0.007
manfatin,0.007
mantan,0.015
mantap,0.022
manusia,0.015
marah,0.015
marga,0.015
masa,0.037
masalah,0.007
masih,0.022
maskot,0.007
masuk,0.045
matahari,0.007
mau,0.037
maupun,0.007
mbahcuk,0.007
mbok,0.007
medali,0.007
media,0.007
mei,0.007
mekanisme,0.007
melangar,0.007
melipir,0.007
memafkan,0.015
memang,0.06
memori,0.007
memphis,0.007
menang,0.022
menarique,0.007
menjadikanya,0.007
mental,0.007
mepet,0.007
mereka,0.022
mes,0.007
meski,0.015
michael,0.015
milik,0.045
mimpi,0.015
minimal,0.015
minimarket,0.007
minta,0.007
minum,0.022
montela,0.007
morfologi,0.007
morientes,0.007
morse,0.007
motif,0.007
