term,weight
ada,0.033
adalah,0.007
admin,0.007
agar,0.052
ah,0.007
ajak,0.013
ajar,0.007
akan,0.013
akhir,0.046
akhlak,0.007
alasan,0.013
amin,0.02
ampuh,0.013
an,0.007
anak,0.033
anda,0.28
aneh,0.039
angkat,0.007
angkutan,0.007
apa,0.13
apas,0.007
asal,0.007
asli,0.007
atau,0.007
awas,0.02
ayah,0.033
ayam,0.007
ayo,0.026
bab,0.007
baca,0.039
bagai,0.007
bagaimana,0.046
bagus,0.02
bahan,0.007
bahas,0.007
baik,0.02
balas,0.046
balik,0.007
ban,0.007
bandel,0.007
banding,0.007
bang,0.007
bangga,0.013
bantet,0.007
bantu,0.007
banyak,0.033
bapak,0.013
bareng,0.013
baru,0.065
batal,0.007
batin,0.007
bawa,0.007
bebrp,0.007
beda,0.007
begini,0.013
begitu,0.059
bekas,0.013
belah,0.007
beli,0.007
belum,0.02
benar,0.059
benci,0.02
beri,0.007
bersin,0.013
besar,0.013
bias,0.007
biasa,0.007
bicara,0.007
bilang,0.013
bingung,0.013
biografi,0.007
bisa,0.02
bismillah,0.013
bo,0.007
bodoh,0.007
boge,0.013
bogor,0.007
boleh,0.013
bonsoir,0.007
born,0.007
bosan,0.007
buat,0.091
budak,0.007
bujuk,0.007
buka,0.039
bukan,0.02
bukber,0.007
buku,0.026
bulan,0.013
buluk,0.007
bumbu,0.007
buruk,0.007
butuh,0.007
cakep,0.007
cantik,0.007
cara,0.02
cari,0.007
catcalling,0.007
cemil,0.026
cepat,0.007
cerita,0.02
chatingan,0.007
chef,0.007
chihong,0.007
cinta,0.013
citayem,0.013
cl,0.013
coba,0.026
cogan,0.007
congraduation,0.007
corono,0.007
cuci,0.013
cuma,0.039
dadahe,0.007
daftar,0.026
dalam,0.007
dapat,0.007
dar,0.007
dari,0.02
darimana,0.013
dasar,0.007
datengnya,0.007
deh,0.007
dekat,0.02
dengan,0.026
dengar,0.007
denok,0.007
depan,0.039
depo,0.007
depok,0.026
di,0.013
dia,0.007
diangep,0.007
dibutuhin,0.007
did,0.007
digangu,0.013
dijelasin,0.007
dimaklumin,0.007
dimsum,0.007
direktur,0.007
diskusi,0.007
diusirin,0.007
doang,0.02
doj,0.007
dong,0.02
dosa,0.007
drama,0.007
duga,0.007
dukseon,0.007
dulu,0.026
duluan,0.007
efortnya,0.007
eh,0.007
eko,0.007
elah,0.007
email,0.013
enak,0.007
entar,0.013
episode,0.039
erti,0.007
eun,0.007
fa,0.02
farah,0.007
feminism,0.007
film,0.007
finis,0.007
foto,0.007
frik,0.02
gadein,0.007
gadis,0.007
gagal,0.007
gaji,0.007
ganggu,0.007
ganti,0.007
gara,0.013
garis,0.007
gelap,0.007
gemar,0.007
gemas,0.007
gemz,0.007
gerbang,0.013
gesek,0.007
gila,0.007
gilang,0.007
gilir,0.007
gin,0.026
gina,0.013
goa,0.208
gojek,0.013
gopay,0.007
gosong,0.007
gramed,0.007
gratis,0.007
gubris,0.007
gyeo,0.007
gyeoul,0.013
habis,0.046
hada,0.007
hadap,0.007
hai,0.072
hambar,0.007
hanya,0.007
hari,0.046
haru,0.007
harus,0.013
hati,0.013
hehehehehehehehehe,0.007
hembus,0.007
heuheu,0.007
highlight,0.007
hilang,0.007
hoh,0.007
hormat,0.007
ibadah,0.007
ibu,0.065
ih,0.02
ikjun,0.02
iklan,0.007
iksun,0.007
ikut,0.013
ilfel,0.007
ingat,0.007
ingin,0.007
ini,0.039
inshalah,0.007
insom,0.007
instagram,0.007
io,0.02
isi,0.007
istri,0.007
item,0.007
itu,0.072
iya,0.124
jadi,0.15
jaka,0.013
jaket,0.007
jalan,0.013
jam,0.026
jari,0.007
