term,weight
achim,0.01
ada,0.02
admin,0.02
aduh,0.02
agar,0.039
ah,0.01
ajar,0.01
aju,0.01
akhir,0.03
akibat,0.02
alarm,0.01
alas,0.01
alon,0.01
alpukat,0.01
ambil,0.01
ampun,0.02
an,0.02
anak,0.01
ancen,0.03
ancene,0.01
anda,0.108
andal,0.01
angin,0.01
angka,0.01
antar,0.01
apa,0.167
apetit,0.01
apik,0.02
aplikasi,0.01
areke,0.01
asi,0.01
astaga,0.01
astofir,0.01
atau,0.01
awal,0.01
awas,0.01
ayem,0.01
ayo,0.049
bagaimana,0.03
bagi,0.01
bahasa,0.02
baik,0.079
bajing,0.01
bakar,0.01
bakso,0.01
baksu,0.01
balas,0.02
balik,0.02
bangkay,0.01
bangun,0.01
bank,0.01
banyak,0.079
bareng,0.01
baru,0.02
batas,0.01
bebas,0.01
bedo,0.01
begitu,0.02
belah,0.01
belum,0.02
ben,0.01
benang,0.01
benar,0.049
bentuke,0.01
beranda,0.01
berapa,0.01
berisik,0.01
berita,0.02
bermanfat,0.01
bersih,0.02
bersin,0.02
besar,0.01
besok,0.01
betul,0.049
bias,0.01
biasa,0.01
biasane,0.01
bicara,0.02
bijaksana,0.01
bintang,0.01
bisan,0.01
biyuh,0.01
boco,0.01
bodoamat,0.02
bodoh,0.02
bosan,0.03
bromo,0.01
buat,0.059
bubuk,0.01
buka,0.01
bulan,0.01
buruk,0.01
buset,0.01
cak,0.03
candu,0.01
cangkeme,0.01
cangkir,0.02
cara,0.02
cari,0.01
cemil,0.03
cerewet,0.02
cerita,0.02
chanyeol,0.01
ckck,0.01
ckckck,0.02
ckckckck,0.02
coba,0.02
cocok,0.01
cs,0.01
cuk,0.01
cuma,0.01
dadi,0.01
dapat,0.01
dari,0.02
datang,0.02
deb,0.059
debat,0.01
debi,0.01
definisi,0.01
dengan,0.01
desember,0.01
dewandaru,0.01
dewasa,0.01
dewe,0.01
dhal,0.01
di,0.03
dia,0.01
dibelajarin,0.01
dibetulno,0.01
dichat,0.01
digawakno,0.01
dijelasno,0.01
dikandani,0.01
dikit,0.01
diliatin,0.01
dingat,0.01
dion,0.01
diri,0.01
ditambahin,0.01
diupdate,0.01
doang,0.01
dokter,0.01
dong,0.01
drama,0.039
dulu,0.01
dunia,0.01
durung,0.01
eh,0.02
email,0.01
enak,0.039
episode,0.01
everytime,0.01
exo,0.01
ezo,0.01
facebook,0.01
foto,0.02
fotone,0.01
gadis,0.01
game,0.02
gang,0.01
ganok,0.01
ganti,0.02
gatal,0.01
gedang,0.01
gelem,0.01
gelisah,0.01
geting,0.01
getun,0.01
giat,0.02
gila,0.01
gin,0.01
gitulo,0.01
golek,0.01
gondrong,0.01
grooming,0.01
guduk,0.02
habis,0.02
hadiah,0.01
handphonenya,0.01
hanger,0.01
hanya,0.01
hapusin,0.01
harap,0.01
hari,0.039
harus,0.059
hati,0.01
henti,0.01
heran,0.01
hewan,0.01
hidung,0.02
hidup,0.02
hih,0.01
hina,0.01
hubungane,0.01
humoris,0.01
hutang,0.01
huwaw,0.01
ibu,0.02
iku,0.02
ikuti,0.01
ilfel,0.01
iling,0.01
imut,0.01
indah,0.01
info,0.01
ingin,0.02
ini,0.069
instagram,0.01
iso,0.02
isone,0.01
isor,0.01
itaewon,0.02
itu,0.039
iya,0.246
jadi,0.069
jal,0.01
jalan,0.039
jam,0.059
jaman,0.01
jatohnya,0.01
jelas,0.01
jemput,0.01
jl,0.01
jo,0.01
jodoh,0.01
joen,0.01
jual,0.01
juga,0.049
julid,0.02
kakean,0.01
kalau,0.098
kali,0.039
kan,0.059
kantor,0.01
kapan,0.01
karena,0.01
kasat,0.01
kata,0.03
kategori,0.01
katek,0.01
kayak,0.069
kecil,0.01
kedai,0.01
kelas,0.02
keluar,0.01
kembali,0.01
ken,0.01
kenal,0.02
kenapa,0.167
kenek,0.02
kenyang,0.01
keras,0.01
kerja,0.03
kerjoane,0.01
ketika,0.01
kim,0.01
kirim,0.02
kita,0.03
kompor,0.01
kon,0.02
konco,0.01
kontak,0.02
kopi,0.01
korea,0.039
kosong,0.01
kostum,0.01
kostume,0.01
kotak,0.01
kp,0.01
kristik,0.01
kui,0.01
kulak,0.02
kurang,0.03
lagi,0.02
lagu,0.01
lah,0.069
lak,0.01
laki,0.01
lakokno,0.01
lama,0.049
lamar,0.01
lampu,0.01
lanang,0.01
langsung,0.02
lapoe,0.01
lebih,0.039
lego,0.01
lek,0.089
lelah,0.01
lemah,0.01
lemon,0.01
lempar,0.01
libur,0.039
lifestylenya,0.01
lihat,0.049
linti,0.01
liti,0.03
liwat,0.01
los,0.01
maaf,0.01
macet,0.01
maemunah,0.01
mager,0.01
makan,0.01
maksud,0.01
malah,0.01
malam,0.02
malang,0.02
malas,0.01
malu,0.01
mana,0.02
mandi,0.03
masa,0.02
masio,0.01
masker,0.01
masuk,0.01
mata,0.02
mau,0.049
mbaca,0.01
mbalesi,0.01
mbangel,0.01
mbek,0.049
mben,0.03
mboh,0.01
mbok,0.01
media,0.01
mei,0.01
melbu,0.01
memang,0.039
memberi,0.01
mencet,0.01
meni,0.01
menit,0.01
mentolo,0.01
merk,0.01
mesti,0.01
meteng,0.01
miber,0.01
mie,0.01
milik,0.01
mina,0.01
minta,0.01
misi,0.01
misuh,0.049
mitos,0.01
mobil,0.039
modal,0.01
mog,0.01
momo,0.079
mosok,0.01
motor,0.01
munafik,0.01
muncul,0.01
munek,0.01
mungkin,0.02
musuh,0.01
mute,0.01
nah,0.01
nandi,0.01
nang,0.03
natal,0.01
ndek,0.03
neraka,0.01
netizen,0.01
ngajakin,0.01
ngaliho,0.01
ngantuk,0.01
ngartis,0.01
ngawe,0.01
ngawut,0.01
ngechat,0.01
ngegas,0.01
ngertio,0.01
ngeseng,0.02
ngkok,0.03
nglakokno,0.01
ngono,0.049
ngrasakno,0.01
ngumpulin,0.02
ngundang,0.03
njancuki,0.01
njuk,0.01
nomor,0.01
nontkn,0.01
nteni,0.01
nuemen,0.01
numpuk,0.01
nyi,0.039
ojok,0.01
oke,0.01
okesip,0.01
omahmu,0.01
omaigod,0.01
omong,0.01
omongno,0.01
onok,0.02
oo,0.01
opoan,0.02
opone,0.01
opose,0.01
orang,0.079
orgnya,0.01
ot,0.01
pagi,0.03
paham,0.03
pakai,0.01
paling,0.02
paman,0.01
panas,0.02
pantas,0.01
paran,0.01
pasang,0.02
pcs,0.01
pecah,0.01
pekerjaan,0.02
pelakor,0.01
