term,weight
ada,0.063
adalah,0.027
adan,0.009
adeknya,0.009
adil,0.009
admin,0.009
ads,0.009
aduh,0.009
adus,0.009
agar,0.018
agus,0.009
airbnb,0.009
ajak,0.018
akan,0.045
akhir,0.045
akhlak,0.027
alfalink,0.009
alih,0.009
almarhum,0.009
amazon,0.009
ambrose,0.009
ambyar,0.009
amerika,0.009
amplaz,0.009
anak,0.027
ancer,0.009
anda,0.063
anderson,0.009
aneh,0.018
anggota,0.009
angkat,0.009
anker,0.009
anoucement,0.009
antara,0.009
antem,0.009
anybody,0.009
apa,0.072
aquascape,0.009
arti,0.027
asam,0.009
asi,0.009
asik,0.009
asli,0.018
astaga,0.009
astra,0.009
asuka,0.009
asyik,0.009
aula,0.009
available,0.009
awakdhewe,0.009
awal,0.036
awas,0.009
ayah,0.009
ayam,0.072
ayo,0.027
bagai,0.018
bagaimana,0.009
bagi,0.027
bagus,0.018
bagyo,0.009
bahane,0.009
bahasa,0.009
bahkan,0.027
baik,0.027
bajigur,0.009
bajing,0.018
bakar,0.045
bakso,0.009
bakteri,0.009
balan,0.009
balas,0.009
balik,0.009
bang,0.036
bangets,0.009
bangsa,0.018
bangunin,0.009
banteng,0.009
bantu,0.009
banyak,0.018
bapak,0.054
barang,0.009
bareng,0.027
baru,0.045
batik,0.009
batu,0.018
bawa,0.009
bayang,0.009
bebas,0.009
beberapa,0.009
beckham,0.009
becky,0.009
beda,0.009
bedo,0.009
begini,0.009
begitu,0.018
bela,0.018
belakang,0.027
belanja,0.009
beli,0.099
belum,0.027
ben,0.018
benar,0.063
benci,0.009
benson,0.009
bentar,0.009
beri,0.018
beringharjo,0.009
berita,0.072
besan,0.009
besar,0.018
besta,0.009
biasa,0.018
bicara,0.009
billy,0.009
bisa,0.054
bola,0.036
bon,0.027
boong,0.009
boro,0.009
brahma,0.009
brazil,0.009
broklyn,0.018
buah,0.009
buat,0.072
buka,0.027
bukak,0.009
bukan,0.009
buku,0.009
bulan,0.009
bumbu,0.009
bumn,0.018
bunsik,0.009
burger,0.009
burhan,0.009
buset,0.018
buwong,0.018
cahaya,0.027
cak,0.009
cakep,0.009
called,0.009
candice,0.009
cangkir,0.009
cantik,0.009
cara,0.009
cari,0.036
catat,0.009
cc,0.009
cedak,0.009
celana,0.027
cemil,0.009
cenderung,0.009
cepat,0.009
cepu,0.009
cerita,0.045
charlotte,0.009
chelsea,0.027
chick,0.009
cia,0.009
ciampa,0.009
ciao,0.009
cie,0.009
cihuy,0.009
cinta,0.018
cita,0.009
ckck,0.009
coba,0.009
cocok,0.009
coklat,0.018
coldplay,0.009
cole,0.009
comeback,0.009
corona,0.045
couve,0.009
cs,0.009
cuk,0.045
cukup,0.018
cuma,0.018
cupang,0.009
cupia,0.009
cupu,0.009
cuy,0.009
dadad,0.009
dadi,0.018
daerah,0.009
daftar,0.018
dakbal,0.009
dakota,0.009
dalam,0.018
dalbe,0.009
dalgandul,0.009
damai,0.009
dan,0.036
dapat,0.036
dari,0.09
daripada,0.009
dasar,0.018
dasco,0.009
david,0.009
deb,0.009
deca,0.009
deh,0.027
dek,0.009
dekan,0.009
del,0.072
dengan,0.018
dens,0.009
depan,0.018
der,0.018
derit,0.009
desa,0.018
dewie,0.009
di,0.027
dia,0.018
diam,0.009
did,0.018
didi,0.018
didn,0.009
dijanjin,0.009
dikon,0.009
dinameset,0.009
direktur,0.009
dirgahayu,0.009
diri,0.018
disini,0.009
diy,0.009
dj,0.009
doa,0.009
doang,0.009
dolgandol,0.009
domisili,0.018
donald,0.009
dorty,0.009
dos,0.009
dosen,0.009
dpr,0.009
dua,0.018
duduk,0.009
dulu,0.045
dunia,0.009
duta,0.009
dxd,0.009
ebay,0.009
edisi,0.009
edwin,0.009
eh,0.027
ehehehehe,0.009
ekonomi,0.009
elton,0.009
ember,0.009
eminem,0.009
emosi,0.009
enak,0.036
endi,0.009
esaiah,0.009
etis,0.009
evra,0.009
ex,0.009
fani,0.009
fans,0.009
favorit,0.009
februari,0.009
ferari,0.009
ferdinand,0.009
fid,0.018
film,0.009
fisik,0.009
fit,0.009
folowersmu,0.009
formerly,0.009
foto,0.018
franco,0.009
fredly,0.009
fried,0.009
frontline,0.009
funko,0.009
gabung,0.009
gal,0.009
gambar,0.018
game,0.009
gang,0.009
gara,0.018
garap,0.009
gargano,0.009
gary,0.009
gaspar,0.009
gebleg,0.009
geblek,0.009
gelas,0.009
gemar,0.009
gemas,0.009
gempar,0.009
genther,0.018
genting,0.009
geografis,0.009
geprek,0.018
gerbang,0.009
gigi,0.009
gigs,0.009
gih,0.009
global,0.009
godfather,0.009
godhog,0.009
gofod,0.018
gojegan,0.009
goreng,0.027
gotri,0.009
grabfod,0.018
gulat,0.009
gustavo,0.009
hadir,0.009
hai,0.018
halah,0.009
hamil,0.018
hancur,0.009
hanya,0.018
harap,0.009
hari,0.036
harta,0.009
harus,0.009
has,0.009
hati,0.009
hawa,0.009
helm,0.018
hewan,0.009
hibur,0.009
hidup,0.018
hingga,0.009
his,0.009
hita,0.009
hmti,0.018
hormat,0.009
horor,0.018
hrsnya,0.009
hubung,0.018
huehuehue,0.009
humoris,0.027
ibu,0.108
id,0.009
identitas,0.009
ignya,0.018
ih,0.009
ihul,0.009
ikanya,0.009
ikhlas,0.009
ikut,0.045
in,0.027
indie,0.009
ingat,0.009
ingin,0.018
ingris,0.009
ini,0.099
instagram,0.018
installing,0.009
insulted,0.009
io,0.018
ira,0.009
isc,0.009
isi,0.018
islan,0.009
iso,0.009
itali,0.009
italy,0.009
itu,0.198
iwak,0.009
iya,0.063
iyoe,0.009
jadi,0.18
jadwal,0.009
jajan,0.009
jak,0.009
jakarta,0.018
jala,0.009
jalan,0.036
jam,0.018
jaman,0.072
jamie,0.009
jantung,0.009
jarak,0.018
jatinangor,0.009
jatuh,0.009
jdnya,0.009
jebul,0.018
jenis,0.009
jersey,0.018
jigur,0.009
jne,0.009
joe,0.009
john,0.009
jokowi,0.018
jorok,0.018
jual,0.009
juan,0.009
juara,0.027
juarak,0.009
juga,0.018
juseyo,0.009
justru,0.009
kabablasen,0.009
kabeh,0.009
kabupaten,0.009
kae,0.018
kafe,0.009
kakean,0.009
kalah,0.009
kalau,0.063
kali,0.018
kalian,0.018
kaliurang,0.009
kamar,0.009
kamis,0.009
kantor,0.018
kapasitas,0.009
kaq,0.009
karena,0.018
karier,0.009
kartu,0.009
karun,0.009
kasih,0.027
kasta,0.009
kata,0.018
ke,0.009
kebelet,0.009
kecil,0.036
keith,0.009
kejut,0.018
kelas,0.009
keling,0.018
keluarga,0.009
kemarin,0.009
kembali,0.018
kempot,0.009
kena,0.027
kenal,0.027
kenapa,0.081
kencang,0.009
kepie,0.009
keren,0.009
keri,0.009
kerja,0.027
kes,0.009
ketemu,0.009
ki,0.036
kibo,0.018
kira,0.009
kirim,0.027
kisah,0.009
kit,0.009
klasik,0.009
klub,0.009
kluyuran,0.009
kno,0.009
known,0.009
koe,0.009
kolam,0.009
koleksi,0.018
kolom,0.009
komentar,0.009
komplikasi,0.009
komunitas,0.009
konco,0.009
konferensi,0.009
konfirmasi,0.009
konflik,0.009
konspirasi,0.018
kopi,0.036
kor,0.009
kordinator,0.009
koreyabdong,0.009
kosong,0.036
kota,0.009
kotabaru,0.009
kotor,0.009
koyo,0.009
kros,0.009
kui,0.009
kuis,0.009
kuno,0.009
kuponya,0.009
kurang,0.009
kursi,0.009
kutuk,0.018
kyt,0.009
lagi,0.027
lagu,0.045
lah,0.054
laki,0.072
lalu,0.018
lama,0.018
lana,0.009
langsung,0.009
laptop,0.009
larang,0.027
lawan,0.063
lawas,0.009
lebaran,0.009
lebih,0.054
lee,0.009
legenda,0.009
lelah,0.009
lembah,0.009
lengkap,0.009
lepas,0.009
levih,0.009
lho,0.009
libur,0.009
liga,0.018
lihat,0.036
lima,0.009
linenya,0.009
lingkar,0.027
link,0.018
linknya,0.009
lockdown,0.009
lokal,0.009
lotek,0.009
louis,0.009
luar,0.009
lucu,0.009
lulus,0.009
