term,weight
ada,0.055
adalagi,0.011
aduh,0.022
aduk,0.011
afirmasi,0.011
ah,0.067
ajak,0.011
ajar,0.011
ajeh,0.011
akan,0.044
akhir,0.044
alas,0.011
alasan,0.011
alfa,0.011
alhasil,0.011
ampun,0.011
anak,0.033
ancot,0.011
anda,0.333
andai,0.011
anomali,0.011
antara,0.011
anyesek,0.011
apa,0.266
apabgt,0.011
apollo,0.011
aqua,0.011
artis,0.011
asal,0.011
asik,0.011
asli,0.033
ath,0.011
athena,0.011
ayangs,0.011
ayo,0.033
azwlqu,0.011
ba,0.011
baca,0.011
badog,0.011
bagaimana,0.033
baik,0.022
bajak,0.011
bajing,0.011
balas,0.022
balik,0.022
bang,0.011
bangun,0.044
banyak,0.044
bareng,0.011
baru,0.011
bawa,0.022
bc,0.011
beda,0.011
begitu,0.033
behel,0.011
beli,0.011
beliau,0.011
belum,0.011
benar,0.033
bep,0.011
beranta,0.022
berapa,0.044
berat,0.011
betenya,0.011
biasa,0.044
bicara,0.022
bilang,0.022
bisa,0.033
bobby,0.011
boby,0.022
bodoh,0.011
bogor,0.011
bosan,0.033
buang,0.033
buat,0.033
bubad,0.011
bukan,0.011
bulan,0.011
buruk,0.011
ca,0.055
cacar,0.011
campur,0.011
cantik,0.011
capecapecape,0.011
carekan,0.011
cc,0.011
cepat,0.033
cie,0.022
cinta,0.011
co,0.055
coba,0.011
coklat,0.011
cuma,0.011
curhat,0.022
da,0.067
dada,0.011
dan,0.011
dari,0.022
dasar,0.033
deh,0.011
dekat,0.011
dengan,0.022
depan,0.011
deposito,0.011
des,0.011
di,0.011
dia,0.011
diajakin,0.011
dikerjain,0.011
dilema,0.011
dinas,0.011
diri,0.022
disini,0.011
distraksi,0.011
doang,0.011
dodol,0.011
dong,0.078
dospem,0.011
doubel,0.011
dri,0.011
elus,0.011
energi,0.011
es,0.011
eskul,0.011
eung,0.011
favorit,0.011
fickjrh,0.011
folowingmu,0.011
fpbdavy,0.011
fvck,0.011
gaboet,0.011
gadang,0.011
gadelip,0.011
gadis,0.033
gajak,0.011
galo,0.011
gampar,0.011
gasangup,0.011
ge,0.011
gelang,0.011
gelap,0.011
gelutkeun,0.011
gelutkeunlah,0.011
gin,0.033
gitar,0.022
gmana,0.011
gobar,0.011
godbar,0.011
gone,0.011
gpnting,0.011
haduh,0.011
haha,0.022
hai,0.022
hal,0.011
hari,0.022
harus,0.022
hati,0.022
haus,0.011
hayoh,0.011
hayuks,0.011
hera,0.011
hidup,0.022
hilang,0.033
hirup,0.011
hobi,0.022
htp,0.055
hubungan,0.011
hujan,0.022
ibu,0.078
ih,0.122
ikut,0.067
impi,0.011
ingat,0.033
