term,weight
aah,0.003
abai,0.007
abstrak,0.01
acara,0.003
ada,0.079
adalah,0.007
adil,0.007
adila,0.003
admin,0.003
aduh,0.003
aduk,0.01
advokat,0.003
agam,0.014
agar,0.058
ah,0.017
aib,0.003
air,0.007
ajar,0.041
akal,0.007
akan,0.014
akar,0.003
akhir,0.041
akhirat,0.003
akibat,0.003
akses,0.003
aktivitas,0.014
ala,0.01
alam,0.021
alami,0.007
alangkah,0.003
alas,0.007
alasan,0.003
alibi,0.003
alih,0.01
alir,0.01
alot,0.003
alpukat,0.003
amal,0.003
aman,0.031
amarah,0.003
ambil,0.024
ambisi,0.01
amin,0.003
amrah,0.003
an,0.01
anak,0.017
ancam,0.003
anda,0.113
anggar,0.01
anggota,0.003
anime,0.007
anjur,0.003
antagonis,0.003
antibodi,0.007
apa,0.096
apalagi,0.003
apotek,0.003
apoteker,0.007
arah,0.01
aromaterapi,0.003
arsitek,0.003
asai,0.003
asal,0.01
astaga,0.003
atas,0.014
atau,0.007
atik,0.003
atm,0.003
atsiri,0.003
atur,0.007
aura,0.01
awal,0.01
ayo,0.007
azab,0.003
bab,0.003
baca,0.007
badai,0.007
badan,0.003
bagai,0.024
bagaimana,0.048
bagaimna,0.007
bagi,0.003
bagus,0.003
bahagia,0.021
bahan,0.003
bahkan,0.007
bahu,0.007
baik,0.062
bakar,0.003
bakat,0.003
balasanya,0.003
balik,0.003
bandel,0.003
banding,0.01
bangga,0.003
bangun,0.007
banjir,0.003
banting,0.003
bantu,0.01
banyak,0.041
bapak,0.01
barakalah,0.003
bareng,0.007
baru,0.068
batal,0.01
batas,0.003
baterai,0.003
batik,0.003
batu,0.003
bawa,0.017
bawah,0.01
bawahanya,0.003
bawan,0.003
bayar,0.007
bayi,0.01
bda,0.003
beban,0.014
bebas,0.01
beberapa,0.017
beda,0.014
begini,0.007
begitu,0.01
belah,0.003
belanja,0.003
belum,0.017
benang,0.01
benar,0.103
benci,0.027
benda,0.007
bengkel,0.021
bentuk,0.003
beranta,0.003
berantkan,0.003
berapa,0.017
berat,0.031
berda,0.003
berdzikir,0.003
berekspetasi,0.003
beri,0.01
beringas,0.007
berkah,0.007
berkarir,0.003
bermanfat,0.007
berontak,0.003
bersit,0.003
bersma,0.003
besar,0.017
besok,0.003
bias,0.003
biasa,0.051
biaya,0.007
bicara,0.014
bidang,0.003
bijak,0.007
bijaksana,0.003
bilang,0.014
bim,0.003
bimbang,0.01
bingung,0.007
biografi,0.007
bisa,0.024
bisik,0.003
bismillah,0.007
bk,0.003
bodoh,0.007
boleh,0.003
bolong,0.003
boneka,0.003
bos,0.003
bosan,0.003
brada,0.003
bralasan,0.003
branding,0.003
brangkat,0.003
brasa,0.003
brbagai,0.003
brubah,0.003
btuh,0.003
buah,0.017
bual,0.003
buat,0.126
buka,0.01
bukan,0.075
bukankah,0.003
bukti,0.007
buku,0.014
bulan,0.044
bunga,0.01
bungkam,0.003
buntu,0.007
buram,0.003
buru,0.027
buruk,0.031
busuk,0.003
buta,0.003
butuh,0.024
cacat,0.01
cacing,0.003
