term,weight
absolutely,0.013
ada,0.039
adalah,0.013
adat,0.013
agar,0.039
agroklimat,0.013
ah,0.013
akan,0.013
akibat,0.013
akting,0.026
ala,0.013
alam,0.026
alamat,0.013
alasan,0.013
aman,0.039
ambil,0.039
amin,0.039
ampun,0.039
anak,0.077
anda,0.231
any,0.013
apa,0.103
apain,0.013
apas,0.013
appreciate,0.013
arsyah,0.013
artis,0.013
asing,0.013
asli,0.013
astaga,0.026
atas,0.026
atau,0.013
audit,0.013
aura,0.013
available,0.013
ayah,0.013
ayo,0.013
babibu,0.013
baca,0.026
backless,0.026
bada,0.013
badai,0.013
bagaimana,0.09
bagus,0.051
bahagia,0.026
bahkan,0.026
baik,0.064
baju,0.013
bakso,0.026
balas,0.039
balik,0.026
banyak,0.026
bapak,0.064
baru,0.039
batin,0.013
bayangin,0.013
bcl,0.026
bcs,0.013
beberapa,0.013
beda,0.013
begini,0.026
begitu,0.064
belas,0.013
beli,0.013
belum,0.013
benar,0.039
benda,0.013
berapa,0.026
berat,0.013
berhasil,0.013
beri,0.039
berkat,0.013
berlian,0.013
berontak,0.013
bersih,0.013
bersihin,0.013
besar,0.026
besok,0.026
betapa,0.013
bias,0.013
bicara,0.013
bilang,0.026
bisa,0.026
bocor,0.013
bodoh,0.013
bosan,0.013
boyolali,0.013
bridled,0.013
bruno,0.013
buah,0.013
bual,0.013
buat,0.128
buka,0.013
bukan,0.013
bukansi,0.013
bumi,0.013
buruk,0.013
cak,0.013
cakep,0.039
cangkul,0.013
cantik,0.013
capslock,0.013
cara,0.013
cari,0.051
casting,0.013
ce,0.013
ceding,0.013
cemil,0.013
chatan,0.013
ci,0.039
cih,0.013
cinta,0.013
cipta,0.013
clueless,0.013
coba,0.013
cocok,0.013
convo,0.013
cuka,0.026
cukup,0.013
cuma,0.051
cuy,0.013
daftar,0.013
dan,0.064
dari,0.013
dasar,0.013
datang,0.013
datengin,0.013
deh,0.039
dengan,0.051
di,0.103
dia,0.013
didnt,0.013
dipangung,0.013
dipingiran,0.013
direply,0.013
diri,0.013
ditwiter,0.013
diucapin,0.013
divisi,0.013
doang,0.013
dobel,0.013
dong,0.026
dosa,0.013
dots,0.026
doyan,0.013
drama,0.013
duduk,0.013
dukunganya,0.013
dulu,0.051
dunia,0.013
durianya,0.013
ekspresi,0.013
