term,weight
ada,0.051
adalah,0.007
aduh,0.015
agar,0.015
agi,0.007
ahgila,0.007
aih,0.007
akhir,0.015
akhlak,0.007
alas,0.007
alfa,0.007
alfamidi,0.007
ame,0.015
ampun,0.022
anak,0.081
anda,0.169
aneh,0.007
anet,0.007
anggota,0.007
angur,0.007
antar,0.007
anzeng,0.007
apa,0.11
apasik,0.007
apatu,0.015
apl,0.007
apotek,0.007
aqua,0.015
asli,0.007
atau,0.007
atm,0.007
ayah,0.007
ayam,0.015
ayang,0.007
ayangan,0.007
baca,0.007
bagaimana,0.081
bagi,0.007
bahagia,0.007
bahagiain,0.007
bahas,0.007
baik,0.007
baju,0.022
bala,0.015
balik,0.015
bang,0.007
bangke,0.007
bangun,0.015
banyak,0.015
bapak,0.015
bareng,0.007
baru,0.037
bats,0.015
batuk,0.007
bawa,0.029
baya,0.007
bayar,0.007
bebusa,0.007
beda,0.022
bedrest,0.007
begini,0.007
begitu,0.125
bekas,0.007
beku,0.007
belah,0.007
beli,0.037
belum,0.029
benar,0.015
benel,0.007
bentar,0.007
berani,0.007
beranta,0.007
berapa,0.015
berontak,0.007
bertigan,0.007
biasa,0.015
bicara,0.029
bidan,0.007
bilang,0.007
bincang,0.007
bintik,0.022
bisa,0.022
blackberry,0.015
blanja,0.007
bobot,0.007
bodoh,0.015
bohong,0.007
bolak,0.007
boleh,0.007
boro,0.007
bosan,0.037
buat,0.073
bubur,0.007
budak,0.015
budok,0.007
budokter,0.007
buka,0.044
bukan,0.007
bulan,0.022
bunga,0.007
bunuh,0.007
burger,0.015
butuh,0.007
cahaya,0.007
calum,0.007
canda,0.007
capa,0.007
cara,0.007
cari,0.007
cemil,0.044
cepat,0.007
cepuluh,0.007
cheese,0.007
cinta,0.022
cip,0.007
ciri,0.015
clarkson,0.007
coba,0.007
cong,0.007
corona,0.044
cuanan,0.007
cuci,0.007
dada,0.015
dakyung,0.007
dalam,0.007
dapat,0.007
dari,0.059
daya,0.007
dede,0.007
deh,0.022
dek,0.007
dekat,0.007
demam,0.015
demi,0.007
deng,0.007
dengar,0.007
dentum,0.007
depan,0.007
di,0.015
dia,0.029
diam,0.007
diapain,0.007
dibalikin,0.007
dibuly,0.007
dih,0.007
dimana,0.007
dimintain,0.007
dimsum,0.015
dipinjemin,0.007
direcokim,0.007
diri,0.007
doang,0.022
dokter,0.015
dong,0.022
dosa,0.007
drama,0.015
dua,0.007
dudududu,0.007
dulu,0.081
dunia,0.007
duwa,0.007
ebuseh,0.007
eh,0.11
eks,0.007
emaknya,0.007
emozi,0.007
enak,0.015
enek,0.007
episode,0.015
esempe,0.007
falawers,0.007
fikiranku,0.007
fikiranyah,0.007
film,0.007
flu,0.007
foto,0.007
fried,0.007
fries,0.007
gabis,0.007
gabsa,0.007
gadis,0.007
gaperlu,0.007
garap,0.007
gaya,0.007
gedek,0.007
gerak,0.007
gila,0.015
gin,0.015
gipipi,0.007
gofod,0.007
gojek,0.044
gondrong,0.015
goyang,0.007
gratis,0.007
gugur,0.007
gula,0.007
gumoh,0.007
gumush,0.007
habis,0.007
hadeu,0.007
hae,0.007
haha,0.029
hai,0.015
hamil,0.015
hampir,0.007
hanya,0.059
hari,0.059
harus,0.022
hati,0.007
hello,0.007
heran,0.007
heu,0.015
hidang,0.007
hidup,0.007
hilang,0.015
hilih,0.007
hits,0.015
hiu,0.007
hiyah,0.007
ibu,0.132
idi,0.007
iflix,0.007
ih,0.015
ikut,0.007
imunisasi,0.007
in,0.007
indah,0.015
indira,0.007
indomar,0.007
indonesia,0.015
ingat,0.007
ini,0.044
inimah,0.007
injak,0.007
insekyur,0.007
instagram,0.007
instan,0.007
isam,0.007
ishyam,0.007
istri,0.007
itu,0.081
itumah,0.007
iya,0.139
iyah,0.007
iyak,0.015
iyala,0.007
jadi,0.073
jaga,0.007
jagain,0.007
jalan,0.007
jam,0.015
jaman,0.015
jauh,0.007
jco,0.007
jemput,0.007
jenuh,0.007
jepit,0.007
ji,0.015
jiakh,0.007
jidad,0.015
jijik,0.015
jual,0.007
juga,0.037
kaca,0.015
kadang,0.015
kakek,0.015
kalau,0.169
kali,0.022
kalista,0.007
kamar,0.015
kampred,0.007
kan,0.029
kanaya,0.007
kapan,0.037
karena,0.051
kasi,0.015
kasih,0.029
kata,0.015
kekwkw,0.007
kelelawar,0.007
kelly,0.007
kelompok,0.007
keluar,0.051
kemane,0.007
kemarin,0.015
ken,0.037
kenal,0.007
kenapa,0.051
kepingin,0.007
kera,0.007
kerja,0.029
kesal,0.037
kesugest,0.007
ketemu,0.007
ketjeh,0.007
keubun,0.007
khan,0.015
kicik,0.007
kintil,0.007
kira,0.022
kirim,0.007
kisil,0.007
kmn,0.007
komentar,0.007
korea,0.015
kosong,0.029
krik,0.007
ksana,0.007
ksini,0.007
kt,0.022
kui,0.007
kulkas,0.007
kurang,0.007
kuret,0.007
la,0.022
lagi,0.103
lagu,0.007
lah,0.044
laki,0.081
lalu,0.015
lama,0.015
langsung,0.015
lapang,0.007
lapar,0.007
lebih,0.007
lelah,0.007
lengkap,0.007
lho,0.007
liatin,0.007
lihat,0.051
lingkar,0.007
loh,0.015
lucu,0.015
lulus,0.007
lupa,0.007
macam,0.007
main,0.007
makin,0.007
maksud,0.007
malah,0.015
malam,0.029
malas,0.029
malih,0.022
malu,0.007
mana,0.015
mandi,0.029
manis,0.007
marah,0.022
marathon,0.007
maret,0.007
masa,0.022
masih,0.044
masing,0.007
masuk,0.007
mata,0.007
mau,0.103
mblo,0.007
mcd,0.022
megang,0.007
memang,0.044
meni,0.015
menikah,0.022
menit,0.022
merah,0.007
merem,0.007
mewek,0.007
michele,0.007
mie,0.007
mimpi,0.015
minggu,0.007
minho,0.007
minjem,0.007
minta,0.022
minyak,0.007
moapa,0.007
mobil,0.007
mopindah,0.007
motidur,0.015
motor,0.007
mpasi,0.007
muda,0.015
mudah,0.007
muluk,0.015
muntah,0.007
murka,0.015
nagih,0.007
nah,0.022
naik,0.007
nama,0.022
name,0.007
nasi,0.007
nath,0.007
nazar,0.007
nelp,0.007
neraka,0.007
netijen,0.007
ngantuk,0.015
ngapangapain,0.007
ngebela,0.007
ngelanjutin,0.007
ngelike,0.007
ngelupain,0.007
ngemol,0.007
ngenalin,0.007
ngiang,0.015
ngikut,0.007
ngoceh,0.007
