term,weight
adalah,0.013
admin,0.078
aduh,0.013
agama,0.013
agar,0.039
ah,0.039
aju,0.013
akal,0.013
akses,0.013
aktifasi,0.039
akun,0.026
alam,0.039
alasan,0.013
album,0.013
alibi,0.026
alig,0.026
alih,0.026
alonso,0.013
alpenlible,0.013
amin,0.013
amizah,0.013
an,0.013
anak,0.052
anda,0.182
angin,0.013
anime,0.013
antar,0.013
apa,0.117
arab,0.013
ardhelia,0.013
arti,0.026
asap,0.026
asyu,0.013
atas,0.026
ayo,0.013
baca,0.013
bacan,0.013
bagaimana,0.039
bagi,0.013
bahagia,0.026
bahan,0.013
bahas,0.013
bahaya,0.013
bahkan,0.013
bajing,0.052
bakar,0.039
balik,0.013
balsem,0.013
bangke,0.026
bantu,0.013
banyak,0.078
bapak,0.091
bapuk,0.013
barbar,0.013
barbel,0.013
baru,0.078
bayar,0.013
beberapa,0.013
beda,0.013
begitu,0.065
belum,0.013
benar,0.052
berapa,0.013
berita,0.013
besar,0.039
biasa,0.013
bicara,0.052
bijimane,0.013
bilang,0.026
bingung,0.026
bisa,0.013
bodoh,0.052
bosan,0.039
bosok,0.013
bowo,0.013
buah,0.013
buai,0.013
buang,0.013
buat,0.078
bukan,0.026
bulan,0.013
butuh,0.013
cahaya,0.013
calon,0.026
cari,0.039
cc,0.013
cedera,0.013
celaka,0.013
cepat,0.039
cerdas,0.013
cerewet,0.013
cerita,0.013
chelsea,0.039
citra,0.013
ckck,0.026
coba,0.052
cok,0.026
combo,0.013
corona,0.026
cuk,0.013
cuma,0.065
cuy,0.013
dagel,0.013
dalam,0.013
dan,0.013
dapat,0.026
dar,0.026
dari,0.039
datang,0.026
daya,0.013
degradasi,0.013
dek,0.052
dekat,0.013
delima,0.013
dengan,0.013
dengar,0.013
desa,0.013
dia,0.026
diangap,0.013
didenger,0.013
difikirkan,0.013
dilema,0.013
dimarahin,0.013
dirasain,0.013
direspon,0.013
diri,0.026
doang,0.026
dong,0.026
donlod,0.026
dosa,0.013
duda,0.013
dukung,0.026
dulu,0.039
dunia,0.013
eden,0.013
edy,0.013
eh,0.013
elah,0.013
else,0.013
enak,0.026
episode,0.013
facetime,0.013
favorit,0.013
fikiranya,0.013
gagal,0.026
gel,0.013
gelar,0.026
gila,0.013
gilir,0.013
gin,0.013
gol,0.026
golput,0.026
guyon,0.013
haha,0.156
hahahahahahahahaha,0.013
hai,0.039
hapus,0.013
harap,0.026
harga,0.013
hari,0.013
harus,0.013
hasrat,0.013
hati,0.013
hayo,0.013
hebat,0.013
heran,0.026
hidung,0.013
hidup,0.026
hilang,0.026
hlo,0.013
hubung,0.013
humoris,0.013
hutan,0.013
ibu,0.052
ikut,0.026
imesage,0.013
imsak,0.013
in,0.013
ingat,0.013
ingris,0.013
ini,0.052
instagram,0.013
internet,0.026
ios,0.013
isi,0.013
itu,0.039
iya,0.104
iyadeh,0.013
jadi,0.065
jaga,0.013
jaha,0.013
jalan,0.026
jalur,0.013
janda,0.026
jarak,0.013
jauh,0.026
jaya,0.013
jdinya,0.013
jelajah,0.013
jelek,0.013
jembut,0.013
jengah,0.013
jihat,0.026
jiwa,0.013
jodoh,0.039
joging,0.013
jual,0.026
juang,0.013
juga,0.065
kalah,0.013
kalau,0.065
kali,0.026
kampret,0.013
kan,0.104
kante,0.026
kapan,0.026
karena,0.039
kasar,0.013
kasih,0.026
kasmaran,0.013
kata,0.026
kawan,0.026
kawin,0.013
kayak,0.065
kejadian,0.013
kejiwan,0.013
keluar,0.026
kemarin,0.013
ken,0.065
kena,0.013
kenal,0.013
kenapa,0.208
kepala,0.013
kepet,0.013
kesini,0.013
ketinggalan,0.013
kira,0.013
kisah,0.013
kita,0.013
koe,0.013
kompresor,0.013
kondusif,0.013
konek,0.013
kosong,0.013
kpk,0.013
kritik,0.013
ktp,0.013
kukune,0.013
kuota,0.026
kurang,0.026
kurune,0.013
kurung,0.013
lagi,0.013
lain,0.013
laki,0.078
laku,0.013
lalalalalalala,0.013
lama,0.052
lancar,0.013
langsung,0.039
laut,0.013
lebaran,0.013
lebih,0.052
lelucon,0.013
lemah,0.013
lemas,0.013
lepas,0.013
liga,0.013
lihat,0.039
lingkar,0.013
logis,0.013
lomba,0.013
lupa,0.013
maaf,0.013
mabuk,0.026
maha,0.013
main,0.013
maine,0.013
makin,0.052
malah,0.039
malam,0.013
malas,0.013
mampet,0.013
mana,0.013
mancing,0.013
mania,0.013
mantap,0.013
mantu,0.013
manusia,0.013
marah,0.026
masalah,0.013
masuk,0.065
mati,0.026
matriks,0.013
mau,0.078
mbah,0.013
mbok,0.013
mbrebes,0.013
memang,0.039
mendengarkan,0.013
merinding,0.013
mesum,0.013
mgkn,0.013
mikrin,0.013
mil,0.013
mimpi,0.013
minum,0.013
miris,0.013
miskin,0.026
mola,0.013
mr,0.013
mudah,0.013
mukakmu,0.013
mungkin,0.026
musibah,0.013
nabi,0.013
nadin,0.013
nah,0.013
nama,0.013
nampak,0.013
ndasmu,0.013
nelpon,0.065
neraka,0.013
ngaku,0.013
ngegas,0.026
nilai,0.013
nomor,0.013
nyata,0.026
nyatat,0.013
nyerah,0.013
ole,0.052
oles,0.013
omong,0.026
oo,0.013
opeje,0.013
orang,0.091
otaku,0.013
pacarmya,0.013
padahal,0.013
pagi,0.013
paham,0.013
pakai,0.052
paling,0.013
panggil,0.013
pantas,0.013
pantau,0.013
para,0.013
parsel,0.026
pasta,0.013
pekat,0.013
pendam,0.013
pensiun,0.013
penuh,0.013
perangkat,0.039
peras,0.013
periksa,0.026
perkara,0.013
pernah,0.013
pesan,0.026
pft,0.013
pikir,0.078
pilih,0.013
pilpres,0.013
pimpin,0.013
pindah,0.013
pipis,0.013
planet,0.013
