term,weight
abu,0.019
ac,0.01
ada,0.029
adil,0.01
aduh,0.067
agar,0.048
ah,0.01
akan,0.029
akhir,0.019
akhirat,0.01
akun,0.029
akyu,0.01
alami,0.01
alfamart,0.01
alfamidi,0.01
alias,0.019
alih,0.01
alohuakbar,0.01
amad,0.01
aman,0.029
ambyar,0.01
amin,0.019
ampun,0.038
an,0.01
anda,0.105
andalanya,0.01
aneh,0.038
anniversary,0.01
anya,0.01
apa,0.152
asa,0.01
asing,0.01
asli,0.01
atas,0.01
awak,0.019
ayo,0.01
baca,0.019
bacod,0.019
bagaimana,0.029
bagus,0.019
bahagia,0.01
bahan,0.01
bahkan,0.01
baik,0.029
bajing,0.048
bakso,0.01
balas,0.029
balik,0.01
banci,0.01
bandingin,0.01
bangun,0.019
bantu,0.01
banyak,0.076
baperan,0.038
baru,0.038
batal,0.01
batu,0.01
bawa,0.019
bawah,0.01
beby,0.01
beda,0.019
bedo,0.01
begimana,0.01
begitu,0.048
belenger,0.01
beli,0.029
belio,0.01
belok,0.01
benar,0.029
bencanda,0.01
bentuk,0.01
berani,0.01
berapa,0.01
besok,0.01
betah,0.01
betul,0.01
bgtuan,0.01
bh,0.01
biadab,0.029
biasa,0.019
bidi,0.01
bingung,0.01
bintang,0.01
biru,0.01
bisa,0.029
bo,0.019
bodoh,0.038
boleh,0.01
bom,0.057
boneka,0.01
bosan,0.01
bq,0.019
buat,0.152
buka,0.048
bukan,0.029
bulan,0.038
buset,0.01
buta,0.01
cahaya,0.019
calon,0.01
cantik,0.01
cari,0.019
cemil,0.048
cepat,0.01
cerewet,0.01
cerita,0.01
chico,0.01
choco,0.01
cik,0.01
cina,0.01
cok,0.019
coklat,0.048
corona,0.01
cuaca,0.01
cuek,0.01
cuma,0.029
dada,0.01
dadine,0.01
dapat,0.01
darah,0.01
dari,0.01
days,0.01
definisi,0.01
deh,0.029
dekat,0.01
dendam,0.01
di,0.01
dia,0.038
diam,0.019
digarukin,0.01
dihujad,0.01
diri,0.048
disemirin,0.01
disuruh,0.01
ditangung,0.01
doang,0.038
dokter,0.01
dong,0.029
donh,0.01
dosa,0.019
dri,0.019
dtk,0.01
dulu,0.067
dunia,0.01
edukasi,0.01
efek,0.01
eh,0.076
ejek,0.019
ekpetasi,0.019
ekwkw,0.01
en,0.01
enak,0.029
etdah,0.01
euy,0.01
ewkwk,0.048
ewkwkwk,0.029
ewkwkwkwk,0.019
eyeshadow,0.01
fans,0.01
fit,0.01
fitnah,0.01
gadis,0.01
galak,0.01
gambar,0.01
gantung,0.01
gapaham,0.01
gara,0.048
garai,0.01
garnier,0.01
gaskeun,0.01
gawe,0.01
gejolak,0.01
gelembung,0.01
gentar,0.01
gerwani,0.01
gila,0.029
goyang,0.01
gubernur,0.01
gulir,0.01
guyon,0.01
habis,0.029
hadap,0.01
haha,0.01
hai,0.01
hampir,0.01
hanya,0.01
hari,0.029
harus,0.019
hasil,0.01
hati,0.01
hayat,0.01
hebat,0.01
heboh,0.01
hello,0.01
henti,0.01
heran,0.029
hilal,0.01
hitam,0.01
hubung,0.01
hujan,0.019
humoris,0.029
ibu,0.029
igku,0.01
ih,0.01
iku,0.029
ikut,0.01
inalilahi,0.01
indomart,0.01
indonesia,0.01
informatif,0.01
ingat,0.01
ingin,0.019
ini,0.057
inj,0.01
insyecure,0.01
ip,0.01
iri,0.01
isi,0.01
islinyi,0.01
isu,0.01
italia,0.01
item,0.019
itu,0.048
iya,0.076
iyadong,0.01
iyaw,0.01
jadi,0.086
jadwal,0.01
jajan,0.01
jakarta,0.01
jam,0.01
jamet,0.038
jamin,0.01
jancok,0.029
jarak,0.01
jawab,0.01
jb,0.019
jelas,0.029
jelek,0.019
jenaza,0.01
jerico,0.01
jijik,0.01
jin,0.01
joget,0.01
jualin,0.01
juancok,0.01
juga,0.01
juling,0.01
jum,0.01
jurus,0.01
jutek,0.01
kadang,0.01
kalah,0.01
kalau,0.19
kali,0.029
kalian,0.01
kan,0.01
karena,0.029
kasi,0.01
kasih,0.019
kata,0.048
ke,0.01
kejut,0.038
kekeyi,0.01
kelelawar,0.019
keluar,0.01
kemarin,0.029
kembali,0.01
ken,0.048
kena,0.01
kenang,0.01
kenapa,0.067
kepala,0.019
kepengn,0.01
keramas,0.01
kereta,0.01
kering,0.01
kesana,0.01
ketik,0.01
kira,0.029
komentar,0.01
kon,0.01
konten,0.01
kreatif,0.01
kuat,0.01
kucing,0.01
kulit,0.01
kurang,0.01
kutingal,0.01
lagu,0.01
lah,0.029
lahir,0.01
laila,0.019
lain,0.029
laju,0.01
laki,0.019
laku,0.01
lalalala,0.01
lalu,0.038
lama,0.01
langgan,0.01
langit,0.01
langsung,0.029
lapor,0.01
layar,0.01
lebih,0.019
legenda,0.019
legging,0.01
lek,0.01
lem,0.01
lenoy,0.01
leny,0.029
leonard,0.01
lesbian,0.01
lewat,0.019
libra,0.01
lihat,0.105
liyo,0.01
loncat,0.029
lucu,0.038
luntur,0.019
macet,0.01
makane,0.01
makin,0.019
makna,0.01
maksud,0.01
malah,0.01
malang,0.029
malas,0.029
malu,0.01
maluin,0.01
mampir,0.01
mana,0.038
manja,0.038
manjain,0.01
masa,0.01
masalah,0.01
masih,0.01
masker,0.01
mati,0.019
mau,0.076
mawon,0.01
mbkanya,0.01
medis,0.01
memang,0.076
membangakan,0.01
menang,0.01
mereka,0.01
merk,0.01
mesti,0.01
migo,0.01
minat,0.01
minta,0.019
minus,0.01
miranda,0.019
mise,0.01
mobil,0.038
model,0.019
monita,0.01
moshingan,0.01
mual,0.01
mudah,0.019
mulut,0.029
muncul,0.01
mungkin,0.01
muntah,0.01
nafsu,0.019
naik,0.01
nama,0.01
nang,0.019
napuk,0.01
natural,0.019
negara,0.01
ngecek,0.01
ngejreng,0.01
ngeliatin,0.01
ngelokno,0.01
