term,weight
abur,0.013
ada,0.026
admin,0.013
adzim,0.026
agar,0.013
ah,0.013
ajar,0.026
akan,0.013
akhir,0.013
akhire,0.013
al,0.092
alam,0.04
aman,0.013
amin,0.013
an,0.013
ancam,0.013
anda,0.079
aneh,0.013
angep,0.026
anyar,0.013
apa,0.119
arep,0.013
asli,0.013
astaga,0.026
atas,0.026
ayo,0.026
bacanen,0.026
bacut,0.013
bagaimana,0.04
bagus,0.013
bahas,0.013
bahaya,0.013
baik,0.092
bajak,0.013
banding,0.013
bantu,0.013
banyak,0.026
bapak,0.013
bar,0.013
barangkali,0.026
baru,0.04
batas,0.013
beda,0.013
begitu,0.066
belakang,0.013
beli,0.026
belum,0.026
benar,0.079
benul,0.013
beri,0.026
besok,0.026
betul,0.013
bhineka,0.013
biarin,0.013
biasa,0.04
bicara,0.026
bilamana,0.013
bilang,0.013
bisa,0.066
boros,0.013
bosan,0.026
brondong,0.013
buat,0.079
buber,0.013
buka,0.04
bukan,0.026
bukane,0.013
buruk,0.013
butuh,0.013
ca,0.026
cahaya,0.013
cair,0.013
capa,0.013
cemilan,0.026
cikgu,0.013
ciming,0.013
cinta,0.013
cium,0.013
ciyeh,0.013
coba,0.026
critanya,0.013
cuek,0.013
cuma,0.026
curhat,0.026
daftar,0.013
dampak,0.013
dan,0.013
dapat,0.013
dasar,0.026
datang,0.026
dek,0.026
dengan,0.026
dheva,0.013
di,0.026
diam,0.013
dik,0.013
dikerjain,0.013
dikit,0.013
dilema,0.026
dimanjain,0.013
diri,0.013
dit,0.013
diupload,0.013
doa,0.026
dompet,0.013
dong,0.04
dulu,0.04
efektif,0.013
eh,0.026
elite,0.013
em,0.013
ember,0.013
emotnya,0.026
enak,0.026
enek,0.013
entukne,0.013
es,0.013
fir,0.013
folder,0.013
foto,0.04
gadis,0.013
gagas,0.013
gaji,0.013
ganti,0.026
gapapalah,0.013
gayeng,0.013
gelar,0.013
gelas,0.013
gereja,0.013
gin,0.026
ginu,0.013
giti,0.013
gituin,0.013
grogi,0.013
hadap,0.013
haha,0.185
hai,0.04
halah,0.013
hanya,0.013
hapus,0.013
hari,0.026
hasek,0.013
hati,0.053
hauwah,0.053
heni,0.013
hening,0.013
hidung,0.013
hitung,0.04
ho,0.013
ibu,0.053
ih,0.013
ijik,0.013
ik,0.013
ika,0.013
info,0.013
ingat,0.026
ingin,0.013
ini,0.04
intajram,0.013
isi,0.026
iso,0.026
istirahat,0.013
iya,0.145
iyadeh,0.013
iyak,0.04
iyes,0.013
iyoni,0.013
jadi,0.106
jagung,0.013
jari,0.013
jauh,0.013
jelas,0.026
jelmon,0.013
jindra,0.013
jual,0.013
juga,0.026
jul,0.013
jumpa,0.026
kabar,0.013
kae,0.013
kaki,0.013
kalah,0.013
kalau,0.079
kan,0.04
kapan,0.026
karak,0.013
karang,0.013
karaoke,0.013
karena,0.026
karepmu,0.013
kasur,0.013
kata,0.026
keihklasan,0.013
kejut,0.013
kenapa,0.079
keren,0.013
kereta,0.026
keruh,0.013
ketemu,0.04
ketidakpahaman,0.013
ketika,0.026
ketok,0.013
kewuh,0.013
ki,0.013
kih,0.013
kira,0.053
kisah,0.013
kode,0.013
kokom,0.013
konco,0.013
kotak,0.013
kowe,0.053
koyo,0.013
kuat,0.013
kuota,0.013
kurang,0.026
kuritwit,0.013
kurleb,0.013
kutip,0.013
kuwi,0.013
lagi,0.04
laki,0.013
laku,0.013
lali,0.013
lalu,0.026
langsung,0.04
lawas,0.013
lebih,0.079
ledak,0.013
lelah,0.013
len,0.013
les,0.013
lewat,0.013
lha,0.026
lho,0.053
libur,0.013
lingkar,0.013
loh,0.04
lok,0.026
lumayan,0.013
mafkan,0.013
mahal,0.013
makane,0.013
makin,0.013
makna,0.013
maksude,0.013
malam,0.026
maling,0.013
malu,0.013
mampet,0.013
mana,0.013
mandir,0.013
manik,0.013
manis,0.013
mantan,0.013
masalah,0.026
mashok,0.013
masih,0.026
mau,0.04
mayan,0.013
mbas,0.013
mbi,0.013
mbok,0.013
melu,0.026
memang,0.119
membacakanya,0.013
mendem,0.013
mengunakan,0.013
mif,0.013
ming,0.026
minta,0.013
minum,0.013
misi,0.079
mlipir,0.013
