term,weight
ada,0.043
adalah,0.007
adan,0.007
agar,0.014
air,0.007
ajak,0.014
ajar,0.007
akan,0.029
akhir,0.029
akhlak,0.007
alibi,0.007
alis,0.007
amin,0.007
anak,0.007
analgesik,0.007
anda,0.266
aneh,0.007
ani,0.007
anjak,0.014
anjr,0.007
apa,0.079
apaka,0.007
apalg,0.007
apotek,0.007
arti,0.007
aska,0.007
astagfirulahaladzim,0.007
atas,0.029
atau,0.007
aul,0.007
awal,0.014
ayam,0.007
ayo,0.014
azka,0.007
baca,0.007
badan,0.007
bagaimana,0.05
bagus,0.007
bahagia,0.014
bahan,0.007
baik,0.072
bajing,0.007
balas,0.014
balik,0.014
bang,0.036
bantu,0.007
banyak,0.043
bareng,0.014
baru,0.022
batas,0.007
bau,0.007
bawa,0.007
bct,0.007
beban,0.007
beberapa,0.007
beda,0.036
begimane,0.007
begini,0.007
begitu,0.007
belah,0.007
beli,0.014
belum,0.022
benar,0.036
benci,0.014
bentuk,0.007
berat,0.014
bersih,0.007
bertangung,0.007
besok,0.007
bgmn,0.007
biadab,0.007
bicara,0.014
bisa,0.057
biyan,0.014
bjgn,0.007
blerengi,0.007
bodoh,0.007
boleh,0.022
bonceng,0.007
bongin,0.007
bonus,0.007
bos,0.007
bosan,0.007
buah,0.022
buat,0.05
buka,0.022
bukan,0.079
bukankah,0.007
bulan,0.007
bung,0.007
buruk,0.007
butuh,0.007
cahaya,0.014
cakra,0.007
calo,0.007
calon,0.007
canda,0.007
cantik,0.022
carin,0.007
caya,0.007
celaka,0.007
cemil,0.014
cepat,0.029
cerita,0.022
ciapa,0.007
cinta,0.022
cium,0.007
coba,0.022
cont,0.007
corona,0.014
cowonya,0.014
cuma,0.036
dapat,0.029
dari,0.007
dasar,0.014
daster,0.007
datang,0.022
dekat,0.043
dengan,0.029
depan,0.007
di,0.079
dia,0.014
didengerin,0.007
dikit,0.007
dilema,0.007
ding,0.007
diri,0.108
doa,0.029
doang,0.022
dobel,0.007
dong,0.036
dua,0.007
duduk,0.007
dulu,0.05
