term,weight
abiez,0.013
ada,0.013
adalah,0.013
aduh,0.026
agar,0.052
air,0.013
ajeng,0.013
akhir,0.013
akses,0.013
al,0.013
alasan,0.013
alergi,0.013
an,0.013
anda,0.155
aneh,0.077
apa,0.155
apas,0.013
aqua,0.013
arang,0.013
asli,0.013
aslik,0.026
atas,0.013
atau,0.013
ayo,0.039
bagaimana,0.026
bahkan,0.013
baik,0.052
bait,0.013
bajing,0.013
bakat,0.013
bakteri,0.013
balik,0.013
balkon,0.013
bangga,0.013
banyak,0.039
bapak,0.026
baru,0.039
bau,0.013
bawa,0.013
beban,0.013
begini,0.013
begitu,0.013
behel,0.013
belum,0.013
benar,0.052
bentar,0.013
beranda,0.026
berflouride,0.013
bertemu,0.013
besar,0.026
besok,0.013
betul,0.013
biasa,0.013
bilang,0.039
bilas,0.039
bingbing,0.013
bisa,0.064
boga,0.013
boh,0.013
breakout,0.013
buat,0.026
buka,0.026
bukan,0.013
bulu,0.026
cabang,0.013
cahaya,0.013
cakep,0.013
canda,0.013
cari,0.013
cemil,0.026
cerita,0.013
chick,0.013
cihuy,0.013
ciprat,0.013
clarisa,0.026
coba,0.013
coklat,0.026
congrtultionz,0.013
corona,0.013
covernya,0.013
cpt,0.064
crs,0.013
cryin,0.013
cuteness,0.013
daging,0.026
daki,0.013
dan,0.039
darah,0.013
dari,0.026
datang,0.013
daya,0.013
deh,0.026
delete,0.013
dengan,0.013
detergen,0.026
detik,0.013
dhik,0.013
di,0.013
dia,0.013
diam,0.013
diblock,0.013
dincu,0.013
diprotect,0.013
diri,0.026
doa,0.013
doang,0.013
doing,0.013
dong,0.039
dosa,0.013
dulu,0.052
dungs,0.013
eargasm,0.013
efektifitas,0.013
enak,0.039
enfp,0.026
fantasi,0.013
favoriteku,0.013
filmonkish,0.013
flora,0.013
flouridenya,0.026
foto,0.013
gairah,0.013
galonya,0.013
gamaw,0.013
ganjar,0.026
ganti,0.013
gas,0.013
gaun,0.013
geblek,0.013
gemas,0.013
gemuy,0.013
genetik,0.013
geng,0.013
gets,0.013
gigi,0.168
gila,0.013
gils,0.013
gin,0.013
git,0.013
gosip,0.026
gubernur,0.013
guguk,0.013
gumush,0.013
gunung,0.013
habis,0.064
hafal,0.013
halus,0.013
hambar,0.013
hamidun,0.013
hantu,0.013
hanya,0.026
harap,0.026
hari,0.013
harus,0.013
hati,0.013
hawo,0.026
hewan,0.013
hilang,0.039
hindar,0.013
hubung,0.013
hujat,0.013
humor,0.013
ibu,0.026
identitas,0.013
ih,0.013
ikhlas,0.013
ikhliskinlih,0.013
ikut,0.026
in,0.013
indomaret,0.013
indonesia,0.013
ingin,0.013
ini,0.103
ir,0.026
isi,0.013
istri,0.013
itu,0.103
iya,0.116
jadi,0.103
jalan,0.026
jam,0.052
jamur,0.013
janji,0.013
jantung,0.026
jari,0.013
jenis,0.013
jenius,0.013
jos,0.013
jrx,0.013
juga,0.09
juhud,0.013
jurnal,0.026
kadang,0.013
kagetin,0.013
kaki,0.026
kalau,0.142
kali,0.026
kalian,0.013
kamis,0.013
kamp,0.013
kan,0.052
karena,0.052
kasi,0.013
kayak,0.013
kecil,0.013
ken,0.026
kenapa,0.116
kepala,0.013
kepribadian,0.026
keras,0.026
keren,0.013
kerja,0.013
kesal,0.013
kesandung,0.013
kesini,0.013
ketemu,0.013
ketika,0.013
keyabau,0.039
kil,0.013
kila,0.013
klik,0.013
knpsi,0.013
koas,0.026
kontrol,0.026
kotor,0.013
krisis,0.013
kucing,0.013
kulkas,0.013
kumur,0.077
kutuk,0.013
kyot,0.013
lain,0.026
laki,0.026
lama,0.013
langgar,0.013
langsung,0.013
lebih,0.039
lelah,0.013
lembah,0.013
lembut,0.013
lewat,0.013
libur,0.013
lihat,0.052
lin,0.013
lingkar,0.013
lokal,0.013
lopes,0.013
lucu,0.013
lupa,0.013
luq,0.013
mahkota,0.013
maju,0.013
makanya,0.026
makas,0.039
makin,0.026
malang,0.013
mall,0.013
mana,0.013
masa,0.013
masalah,0.013
masih,0.013
masuk,0.039
mata,0.013
matches,0.013
mau,0.026
mbanking,0.013
memang,0.039
menit,0.026
meong,0.026
merampot,0.013
mereka,0.013
merk,0.026
mik,0.013
milik,0.039
minimal,0.013
minum,0.013
minyak,0.013
misal,0.013
mksdnya,0.013
motor,0.013
mouthwash,0.039
mouthwashnya,0.013
muka,0.013
mulai,0.013
mulut,0.013
muncul,0.026
na,0.013
nad,0.013
nama,0.013
name,0.013
nang,0.013
nanges,0.013
napan,0.013
nasi,0.013
nempel,0.013
neraka,0.013
ngeri,0.013
ngilu,0.013
nidol,0.013
nis,0.013
nomor,0.026
normal,0.013
nyonya,0.052
oalah,0.013
obrol,0.013
oi,0.013
oke,0.064
olahraga,0.013
oops,0.013
orang,0.013
padahal,0.039
pakai,0.052
panas,0.013
parah,0.026
pasang,0.013
pasta,0.013
pasti,0.013
pena,0.013
