term,weight
ada,0.011
adalah,0.022
aduh,0.006
agam,0.006
agar,0.028
ah,0.011
ajar,0.006
aji,0.006
akan,0.006
akhir,0.033
aktif,0.006
akun,0.011
akurat,0.006
alam,0.006
alami,0.006
alangkah,0.006
alias,0.011
aliase,0.006
alumni,0.011
amal,0.006
aman,0.006
amarah,0.006
ambil,0.006
ampuh,0.011
ampun,0.011
an,0.006
anak,0.072
anda,0.105
aneh,0.022
angka,0.011
ani,0.006
anyone,0.006
apa,0.116
apane,0.006
apaqa,0.006
apd,0.011
apik,0.006
arogan,0.006
arti,0.011
artikel,0.006
as,0.006
asa,0.006
ask,0.006
astronot,0.006
atas,0.006
ate,0.006
awal,0.011
awale,0.006
awan,0.006
awuya,0.006
ayah,0.011
ayo,0.066
babysitter,0.006
baca,0.022
badan,0.006
bagai,0.011
bagaimana,0.028
bagi,0.017
bagus,0.006
bahagia,0.017
bahas,0.006
bahasa,0.006
bahaya,0.006
bahkan,0.006
baik,0.028
baju,0.011
balik,0.006
bamer,0.006
bangun,0.006
banyak,0.077
bapak,0.017
baputnya,0.006
barak,0.006
barat,0.006
baru,0.028
batas,0.011
batuk,0.011
bawah,0.006
bawain,0.006
bawang,0.006
bayi,0.011
beda,0.011
begini,0.006
begitu,0.05
begituh,0.006
beku,0.006
beli,0.006
beliau,0.006
belum,0.022
benang,0.006
benar,0.033
benci,0.011
benda,0.006
berapa,0.006
berita,0.006
bermanfat,0.006
berontak,0.006
bersihin,0.006
besar,0.017
betapa,0.011
betul,0.028
biarin,0.006
biasa,0.028
biasane,0.006
bicara,0.028
bilang,0.072
bimbelku,0.006
bingung,0.006
bintang,0.006
bisa,0.072
biyen,0.006
blakang,0.006
blakrakan,0.006
bocor,0.006
bola,0.006
bondan,0.006
boneka,0.017
boros,0.011
botol,0.006
bri,0.006
broadcastan,0.006
buat,0.083
budak,0.006
budaya,0.011
buka,0.017
bukan,0.022
bukankah,0.006
bulan,0.006
bulu,0.006
bumi,0.022
buru,0.006
buruk,0.006
buset,0.006
buta,0.006
butuh,0.011
candan,0.006
canggung,0.006
cara,0.028
cari,0.006
carly,0.006
cc,0.006
celaka,0.006
cemil,0.033
cepat,0.006
cerita,0.011
challenging,0.006
cina,0.006
cinta,0.061
ckckck,0.006
coba,0.011
cocok,0.006
colong,0.006
compete,0.006
consultant,0.006
contoh,0.006
corona,0.044
crashing,0.006
cuma,0.028
dadak,0.006
dalam,0.006
damai,0.006
dan,0.028
dapur,0.006
dari,0.077
daripada,0.006
dasar,0.011
datang,0.006
daun,0.006
dbawa,0.011
dbolehin,0.006
deh,0.006
dek,0.022
dekat,0.017
demi,0.006
dengan,0.044
depan,0.011
detail,0.006
deteksi,0.011
dewasa,0.028
dewe,0.006
dewi,0.006
di,0.033
dia,0.028
diaminin,0.006
dibukaki,0.006
dibyo,0.006
dichat,0.006
dicky,0.006
didik,0.006
didn,0.017
difolow,0.006
dihabisin,0.006
dihehein,0.006
dikafanin,0.006
diketawain,0.006
dilema,0.006
dimandin,0.006
dingat,0.006
dini,0.006
dipungkiri,0.011
diri,0.055
disenyumin,0.006
dishare,0.006
disikan,0.006
disinfektan,0.006
ditakedown,0.006
djadikan,0.006
dk,0.006
dkasih,0.006
dlepas,0.006
doang,0.006
dokter,0.017
dompet,0.006
dosen,0.006
drastis,0.006
dtentukan,0.006
duduk,0.006
dulu,0.044
dunia,0.011
duta,0.006
each,0.006
ejek,0.006
ekspektasi,0.006
elen,0.006
else,0.006
emboh,0.006
emosi,0.006
empat,0.006
en,0.006
episode,0.017
ericson,0.006
eskrim,0.006
explorenya,0.006
faedah,0.006
film,0.006
fiqh,0.006
fiqih,0.006
foto,0.011
ganguan,0.006
ganti,0.011
gara,0.017
gaya,0.017
gejala,0.017
gelem,0.006
gembeng,0.006
gendut,0.006
gia,0.006
gigi,0.006
gin,0.039
gita,0.006
google,0.006
gosip,0.006
gratis,0.006
grup,0.006
gunung,0.006
guru,0.011
gutawa,0.006
habis,0.033
hafal,0.006
haha,0.011
hahay,0.006
hal,0.006
halusinasi,0.006
hamil,0.006
hanya,0.017
hapemu,0.006
hapene,0.022
harap,0.006
hari,0.044
harus,0.017
hati,0.017
hayo,0.006
hebat,0.011
heleh,0.006
hemat,0.006
henyak,0.006
hibur,0.006
hidup,0.033
hijau,0.006
hilang,0.011
hilman,0.017
hormat,0.011
horor,0.006
hubung,0.011
humoris,0.022
hus,0.006
ibadah,0.006
ibu,0.028
ide,0.011
iku,0.033
ikuloh,0.006
ikumau,0.006
ikut,0.017
iling,0.011
ilmu,0.006
in,0.006
indah,0.022
indonesia,0.033
infeksi,0.011
ingat,0.022
ingin,0.006
ingris,0.006
ini,0.061
inspiratif,0.006
instagram,0.006
ipar,0.006
isi,0.017
islam,0.006
iso,0.006
istri,0.006
isyin,0.006
itu,0.088
iya,0.121
iyosh,0.006
ja,0.006
jadi,0.105
jaga,0.006
jajan,0.006
jakarta,0.006
jam,0.006
jarak,0.017
jareku,0.006
jasa,0.006
jawa,0.011
jawab,0.011
jawdroping,0.006
jelajah,0.022
jelas,0.011
jepsen,0.006
jika,0.011
jilbab,0.006
jiwa,0.006
jokes,0.006
jomblo,0.006
jouska,0.017
jual,0.006
juga,0.05
jumlah,0.017
junjung,0.006
juntrunganya,0.006
kabeh,0.006
kabupaten,0.006
kadang,0.022
kafe,0.011
kagum,0.006
kalau,0.154
kale,0.006
kali,0.022
kalkulator,0.006
kalong,0.006
kalung,0.006
kamera,0.006
kan,0.132
karena,0.006
kartu,0.006
kasi,0.006
kasih,0.011
kasus,0.028
kata,0.061
kawi,0.006
ke,0.011
kecil,0.006
keju,0.006
keke,0.006
kelas,0.022
kelompok,0.017
kemarin,0.011
kempyengan,0.006
ken,0.022
kena,0.022
kenapa,0.077
kenyat,0.006
keras,0.006
keren,0.006
kerja,0.011
kerudung,0.006
ketawa,0.017
ketawain,0.006
ketemu,0.017
ketok,0.006
ketriger,0.006
khusus,0.006
kita,0.028
klip,0.006
kmn,0.006
knew,0.006
kombinasi,0.006
konten,0.011
kora,0.017
kos,0.006
kosmu,0.006
kosnya,0.006
kota,0.006
koyo,0.006
koyok,0.006
kram,0.006
kreatif,0.006
kuat,0.006
kuliah,0.022
kurang,0.011
kurus,0.028
labil,0.017
lagi,0.022
lagu,0.011
lah,0.028
lahir,0.011
lahiranya,0.006
lain,0.006
laki,0.039
laku,0.006
lali,0.006
lalu,0.017
lama,0.022
lancar,0.011
langit,0.006
langsung,0.017
lari,0.006
latih,0.006
lebih,0.028
lek,0.033
lempar,0.006
lepas,0.006
les,0.022
lesi,0.006
lhaya,0.006
lhayo,0.006
lho,0.006
liatin,0.006
libat,0.006
libur,0.006
lihat,0.044
lil,0.006
livin,0.006
lockdown,0.006
loh,0.022
loop,0.006
luar,0.006
lumajang,0.022
maaf,0.011
macam,0.017
mahal,0.006
mahram,0.006
maju,0.006
makanya,0.006
maklum,0.011
maksud,0.011
malah,0.028
malam,0.011
malu,0.028
mampu,0.006
mana,0.022
mantan,0.006
manusia,0.011
marah,0.006
masa,0.011
masak,0.006
masal,0.006
masih,0.017
masing,0.011
masjid,0.006
masuk,0.011
masya,0.028
mata,0.006
matahari,0.006
mati,0.017
mau,0.017
maya,0.006
mbalek,0.006
mbulet,0.006
mcd,0.006
megan,0.006
meja,0.006
memang,0.072
meminimalisir,0.006
mendengarkan,0.011
mengangap,0.006
menikah,0.006
meningalkan,0.006
mereka,0.055
mergoki,0.006
merk,0.006
mertua,0.006
meski,0.011
mesti,0.006
mindalik,0.006
minta,0.022
minum,0.011
mirip,0.011
misal,0.017
misqinku,0.006
moso,0.006
mucikova,0.006
mudik,0.006
mudune,0.006
muhamadiyah,0.006
mulai,0.017
mungkin,0.055
murid,0.006
mus,0.006
musim,0.006
na,0.028
nah,0.006
nahtuh,0.006
nama,0.011
name,0.011
nan,0.006
nana,0.006
nang,0.006
nantang,0.006
nasib,0.006
natalia,0.006
naudzubilah,0.006
ndek,0.017
ndelok,0.006
ndi,0.006
negara,0.011
nemuin,0.006
neraka,0.011
ngegame,0.028
ngelesi,0.011
ngelike,0.006
ngemil,0.006
ngilu,0.006
ngtwet,0.006
ngunu,0.011
nia,0.006
niat,0.017
nicole,0.006
nik,0.006
nila,0.006
nilai,0.006
njaring,0.006
njogo,0.006
njomplang,0.006
nominal,0.011
norma,0.006
nti,0.006
nya,0.033
nyala,0.017
nyaman,0.011
nyamil,0.006
nyanyi,0.033
nyata,0.022
nyeletuk,0.006
nyemil,0.006
oalah,0.006
obat,0.006
objek,0.006
obrol,0.006
oiya,0.011
ojo,0.006
ojok,0.006
oke,0.017
omong,0.006
online,0.006
oposih,0.006
orang,0.116
ortunya,0.006
pacar,0.017
padahal,0.044
pagi,0.006
paham,0.006
pakai,0.044
paling,0.017
