term,weight
abad,0.007
abadi,0.007
abracadabra,0.007
acara,0.028
ada,0.113
adalah,0.021
adegan,0.021
adil,0.007
adit,0.007
adminya,0.007
adventures,0.007
agak,0.007
agar,0.021
agatha,0.007
agen,0.035
agung,0.007
aice,0.007
ainun,0.007
ajak,0.021
ajar,0.007
aji,0.007
aju,0.007
akan,0.042
akhir,0.056
akrab,0.007
aksi,0.014
aktif,0.007
akting,0.007
akun,0.014
ala,0.021
alabama,0.007
aladin,0.007
alamat,0.007
alami,0.007
alas,0.014
album,0.007
alhasil,0.007
ali,0.007
alias,0.007
alih,0.035
alir,0.007
alumni,0.007
ambil,0.014
ambyar,0.007
an,0.021
anak,0.078
anda,0.042
andai,0.007
andra,0.021
andranindraswari,0.007
aneh,0.007
anga,0.007
angeline,0.035
angkasa,0.014
angkat,0.014
angsa,0.007
animasi,0.021
annual,0.007
antara,0.007
anti,0.007
antis,0.007
antologi,0.007
anyone,0.007
apa,0.049
apabila,0.014
apart,0.007
aplikasi,0.007
arah,0.007
ariana,0.007
aroma,0.007
arti,0.007
artikel,0.014
artis,0.042
asal,0.028
aset,0.014
asik,0.007
asli,0.014
astoroid,0.007
asuh,0.007
asyik,0.007
asyikin,0.007
atalia,0.007
atas,0.028
atasanya,0.007
aurelia,0.007
avatar,0.014
awal,0.049
ayahbunda,0.007
ayam,0.007
aylebensu,0.007
baca,0.014
bagai,0.056
bagaimana,0.007
bagas,0.007
bagi,0.014
baginda,0.007
bagus,0.021
bahagia,0.021
bahan,0.007
bahasa,0.014
bahkan,0.014
baik,0.078
baju,0.007
bakat,0.014
balap,0.007
banding,0.014
bangkrut,0.007
bangun,0.014
banyak,0.028
bapak,0.021
bar,0.007
baru,0.099
based,0.021
basel,0.007
bassist,0.007
batas,0.021
batin,0.007
bautista,0.014
bawa,0.014
bawah,0.014
bayang,0.007
bayar,0.021
bayi,0.014
bebas,0.014
beberapa,0.042
beda,0.049
bedak,0.007
bedan,0.014
begadang,0.007
begini,0.007
begitu,0.042
bekas,0.007
beku,0.007
bel,0.007
belah,0.028
belaka,0.007
belakang,0.007
belanja,0.007
beli,0.035
belie,0.007
belongs,0.007
beluk,0.007
belum,0.035
benang,0.007
benar,0.056
benda,0.007
bengu,0.007
bentar,0.007
berat,0.007
bercandan,0.007
beri,0.035
berita,0.042
bermingu,0.007
besar,0.014
besok,0.007
between,0.007
biarpun,0.007
biasa,0.021
bilang,0.007
bingung,0.007
bintang,0.007
bioskop,0.042
bis,0.007
bisa,0.063
bisik,0.007
biterlove,0.007
blockbuster,0.007
bobi,0.007
bobumba,0.007
boks,0.014
boleh,0.007
boom,0.014
boys,0.007
brand,0.007
bridezila,0.007
brit,0.021
bryk,0.007
buah,0.014
buat,0.092
budak,0.007
budgetnya,0.007
buka,0.056
bukan,0.035
bukti,0.014
buktin,0.007
buku,0.021
bulutangkis,0.007
bumbu,0.014
bumi,0.007
bunga,0.007
bungkus,0.007
buru,0.028
buruk,0.021
busway,0.007
buta,0.007
butuh,0.028
bwgu,0.014
cakup,0.007
campy,0.007
canda,0.007
cantik,0.007
cara,0.035
cari,0.028
catchplay,0.021
cbi,0.007
cc,0.007
celaka,0.007
celine,0.056
cemil,0.007
censored,0.007
cepat,0.007
cerah,0.007
cerita,0.07
cewekbanget,0.014
cgi,0.007
cherybele,0.007
chevrybele,0.007
chicago,0.007
chloe,0.007
christine,0.007
cia,0.007
cilik,0.007
cine,0.014
cinta,0.028
cita,0.014
clarice,0.007
coba,0.021
cocok,0.014
coleman,0.007
com,0.007
comeback,0.007
contoh,0.014
covernya,0.007
coz,0.007
ct,0.007
cuci,0.007
cuma,0.035
cuplikanya,0.007
cutie,0.007
da,0.007
damai,0.007
dampak,0.007
dan,0.021
dana,0.014
dancow,0.007
danur,0.007
daoud,0.007
dapat,0.014
dar,0.014
dari,0.014
daripada,0.007
dasar,0.007
datang,0.014
dave,0.014
david,0.007
dcdc,0.007
debat,0.007
deh,0.007
dekat,0.007
dengan,0.021
dengar,0.007
departemen,0.007
desa,0.007
detik,0.014
detikcom,0.007
detil,0.014
dewa,0.007
dewasa,0.007
di,0.07
dia,0.021
dialog,0.007
diam,0.014
didramatisir,0.014
difa,0.007
digital,0.007
dikit,0.028
dimensi,0.007
dimodif,0.007
dingin,0.007
dinyanyin,0.007
dipublish,0.014
diri,0.014
diselengarakan,0.007
disini,0.007
disney,0.007
distribusi,0.007
ditanyain,0.007
ditayangin,0.014
ditulisin,0.007
doang,0.028
dogal,0.007
doraemon,0.007
doremi,0.014
doyok,0.007
drama,0.014
dramatis,0.007
dreamcast,0.007
dua,0.014
dukun,0.007
dukung,0.007
dulu,0.042
duo,0.007
durasi,0.007
dvd,0.007
dwi,0.007
edar,0.007
edisi,0.021
efek,0.014
egnoid,0.007
ego,0.007
eks,0.014
eksklusif,0.014
ekstraksi,0.007
elektronik,0.007
elite,0.014
elovi,0.007
email,0.007
empat,0.014
enak,0.007
endgame,0.007
episode,0.007
ersa,0.028
esilaturahmi,0.007
exclusive,0.007
faktor,0.007
fans,0.007
fantasi,0.021
fantastis,0.007
fanzine,0.007
fasik,0.007
favorit,0.007
film,0.366
fine,0.007
firman,0.007
fitur,0.007
fitz,0.007
five,0.007
flick,0.007
fokus,0.007
font,0.014
fortigro,0.007
foto,0.007
funky,0.007
gadis,0.092
gadsam,0.007
game,0.021
ganda,0.007
gang,0.007
ganti,0.063
gantung,0.007
gara,0.028
gas,0.007
gaya,0.014
gem,0.007
gembul,0.007
generasi,0.007
genflix,0.007
genk,0.007
gentayang,0.014
gentlemen,0.007
gera,0.014
gereja,0.007
giat,0.007
gila,0.014
gin,0.007
gitar,0.007
giveaway,0.007
global,0.014
gopay,0.021
goplay,0.007
goreng,0.028
gosip,0.007
gramdig,0.007
gramedia,0.007
grande,0.007
greening,0.007
greg,0.007
gregovich,0.007
grite,0.007
grup,0.014
gtv,0.014
gubris,0.007
gundala,0.007
gurih,0.007
habibie,0.007
habis,0.014
hadap,0.007
hak,0.007
hakim,0.014
halaman,0.021
halang,0.014
halte,0.014
hanya,0.021
hanyut,0.007
harga,0.007
hari,0.056
harum,0.028
harus,0.014
hasan,0.007
hastag,0.014
hayat,0.007
hayrspray,0.007
hbo,0.007
helboy,0.007
helmy,0.007
henley,0.007
henti,0.007
hewan,0.014
hianat,0.007
hibur,0.028
hidup,0.007
hijau,0.007
hilal,0.007
hilang,0.014
hingga,0.042
hitam,0.007
hitmaker,0.007
holywod,0.007
homeshoping,0.007
hoodwinked,0.007
hoq,0.014
host,0.007
hubung,0.014
humanist,0.007
ia,0.007
iblis,0.035
ibu,0.028
id,0.021
ide,0.007
idola,0.007
iflix,0.021
iklan,0.014
iklanya,0.014
ikut,0.028
ilegal,0.007
ilmu,0.007
iman,0.021
impor,0.007
imut,0.014
in,0.014
indiskop,0.007
indonesia,0.063
industri,0.007
info,0.007
ingat,0.014
ingin,0.007
ingkar,0.007
ini,0.042
inisial,0.028
instagram,0.049
instan,0.007
intai,0.021
inti,0.014
ipin,0.007
ira,0.007
iring,0.007
isi,0.021
istirahat,0.007
istri,0.021
isu,0.007
itu,0.19
iya,0.014
izin,0.007
jabar,0.007
jadi,0.127
jaga,0.014
jailangkung,0.007
jakarta,0.007
jalan,0.035
jam,0.007
jaman,0.007
jamin,0.014
janecalista,0.007
januari,0.007
jarang,0.014
jarwo,0.007
jauh,0.007
jawab,0.014
jean,0.007
jejelogy,0.007
jelangkung,0.007
jelas,0.007
jemput,0.014
jenak,0.007
jenderal,0.007
jenis,0.028
jenius,0.007
jeong,0.007
jeremy,0.021
jika,0.007
jimin,0.007
jinak,0.007
johanson,0.007
john,0.014
jokowi,0.007
juara,0.014
judul,0.021
juga,0.035
jumanji,0.007
kafir,0.007
kagum,0.014
kaki,0.007
kala,0.014
kalau,0.127
kalaupun,0.007
kali,0.014
kalian,0.021
kamp,0.021
kamtis,0.007
