term,weight
ada,0.012
admin,0.062
ah,0.012
air,0.012
aisha,0.012
ajar,0.025
akhir,0.012
alir,0.012
alis,0.012
amin,0.037
anak,0.012
anda,0.062
andal,0.012
apa,0.062
apel,0.012
asam,0.012
asin,0.012
asing,0.012
asyem,0.012
atas,0.012
awas,0.012
ayam,0.012
bab,0.012
baca,0.012
bagaimana,0.062
bagus,0.012
bahagia,0.012
bahkan,0.012
baik,0.025
bang,0.261
bangga,0.025
banyak,0.012
bapak,0.199
baru,0.037
bas,0.012
batu,0.012
beda,0.037
begitu,0.012
belum,0.012
benang,0.012
benar,0.012
beri,0.025
besok,0.012
biarin,0.012
biasa,0.062
bilang,0.012
bimbing,0.025
bredel,0.012
buat,0.062
buka,0.012
bukan,0.025
buku,0.012
bung,0.012
cakung,0.025
cantik,0.025
cara,0.025
celaka,0.012
celengan,0.012
cemil,0.012
cepat,0.012
cerah,0.012
cerita,0.025
cicil,0.012
cie,0.012
cinta,0.012
coba,0.037
dada,0.012
dalam,0.012
dan,0.012
dapat,0.037
datang,0.012
dayat,0.012
diri,0.012
dokter,0.05
dong,0.012
dosen,0.012
euy,0.012
garpu,0.012
gbu,0.012
gereja,0.012
gin,0.012
gpa,0.025
gunung,0.012
habis,0.012
halus,0.012
hari,0.062
hasil,0.012
hebat,0.025
hilang,0.012
himbauan,0.012
his,0.012
hoh,0.012
howak,0.037
ibu,0.075
ikan,0.012
iklanya,0.012
iling,0.025
ilmu,0.025
indonesia,0.012
info,0.037
ingin,0.037
ini,0.025
iris,0.037
istirahat,0.012
iya,0.025
jadi,0.012
jadwal,0.012
jagain,0.012
jarak,0.012
jawab,0.025
jeans,0.012
jelas,0.012
jenius,0.012
jeru,0.037
juga,0.037
jumpa,0.012
kaitanya,0.012
kakek,0.012
kalau,0.025
kali,0.025
kan,0.012
kantor,0.012
karena,0.012
kasih,0.112
kasihan,0.012
kayak,0.037
keluarga,0.012
kemarin,0.012
kemesran,0.012
kena,0.012
kenang,0.012
kenapa,0.05
kenyang,0.012
kera,0.012
kerja,0.037
kita,0.012
kuda,0.012
lah,0.012
laki,0.373
laku,0.012
lalu,0.025
langit,0.012
lapor,0.012
layan,0.025
ldran,0.012
lebaran,0.012
lebih,0.025
lembut,0.012
lempar,0.012
libur,0.012
lihat,0.025
ll,0.012
luar,0.025
maaf,0.012
maksud,0.025
mana,0.025
mancing,0.012
mangkas,0.012
mantap,0.012
masuk,0.025
mata,0.025
mau,0.012
mbah,0.012
misal,0.012
mobil,0.062
mohon,0.025
muncak,0.012
nah,0.012
nakam,0.012
nang,0.025
ngalam,0.025
nganu,0.012
ngebut,0.012
nget,0.012
ngih,0.012
nusuk,0.012
nyanyi,0.05
nyoblos,0.025
nyusul,0.012
oi,0.012
oke,0.012
pais,0.012
pakai,0.012
paman,0.025
panderman,0.012
paskah,0.012
permisi,0.025
pernah,0.062
pertama,0.012
pikir,0.012
pindah,0.012
presiden,0.012
pripun,0.012
program,0.012
psi,0.012
puluh,0.012
rekam,0.012
rekomendasi,0.012
rindu,0.037
robi,0.012
rontok,0.012
sabar,0.025
sadar,0.025
salju,0.012
sam,0.012
sama,0.149
sami,0.012
samsat,0.025
sana,0.012
sangat,0.012
sara,0.012
saudara,0.671
saya,0.099
sebuah,0.012
sedih,0.037
sedikit,0.012
sehat,0.062
sekali,0.037
sekarang,0.012
selalu,0.075
selamat,0.099
semangat,0.012
semarang,0.012
semoga,0.025
semua,0.025
sendiri,0.012
seperti,0.012
sesak,0.012
setuju,0.037
siap,0.05
siapa,0.037
singah,0.012
sini,0.012
skripsi,0.037
smpai,0.012
sorga,0.012
sosial,0.012
sosmedku,0.012
sudah,0.012
suka,0.012
surabaya,0.012
sus,0.012
tahu,0.062
tahun,0.075
takut,0.012
tambah,0.012
tampan,0.025
tanda,0.012
tanggung,0.012
tanya,0.012
tarik,0.012
tatap,0.012
tawa,0.062
tempat,0.012
temu,0.012
tenan,0.025
terap,0.012
terima,0.112
terimakasih,0.05
terimkasih,0.012
terus,0.025
tes,0.012
tetap,0.012
tgb,0.012
tidak,0.075
tiga,0.012
tinggal,0.025
tolong,0.012
tpsnya,0.012
tra,0.012
tugas,0.012
tuhan,0.012
tul,0.012
tum,0.025
tunggu,0.012
turut,0.012
uji,0.012
ulang,0.087
umak,0.012
undang,0.025
wah,0.012
waktu,0.012
wanita,0.248
wisata,0.012
ws,0.012
yang,0.05
yayaya,0.012
yeay,0.012
zona,0.025
