term,weight
aa,0.013
aci,0.013
ada,0.038
adalah,0.038
adsense,0.013
aduh,0.013
aeh,0.013
agar,0.038
ah,0.013
ahmad,0.013
ajak,0.013
akal,0.013
akhir,0.051
akun,0.013
alas,0.013
alexandria,0.013
almut,0.013
aman,0.013
amin,0.013
ampun,0.038
anak,0.038
anda,0.076
angels,0.013
anisa,0.038
apa,0.115
apaleun,0.013
aplikasi,0.013
ari,0.013
arti,0.025
asa,0.013
asik,0.013
asimilasi,0.013
asmara,0.013
atas,0.013
ateu,0.013
awal,0.013
awkowkwowkowkwokwkwk,0.051
ayah,0.025
ayam,0.013
ayeuna,0.013
ayo,0.076
bagaimana,0.051
bagi,0.013
bagus,0.013
baik,0.051
bakso,0.025
balas,0.025
balasan,0.013
balik,0.013
bandung,0.013
banyak,0.038
bara,0.013
barang,0.013
baru,0.115
baso,0.013
batuk,0.013
bawa,0.013
bawah,0.013
bayar,0.025
bc,0.013
beda,0.013
begini,0.013
begitu,0.051
bel,0.013
beli,0.025
benar,0.102
benci,0.013
benjol,0.013
berita,0.013
beronga,0.013
bersih,0.013
besok,0.013
betapa,0.013
beybey,0.013
bgtsi,0.013
biasa,0.025
bibir,0.013
bieu,0.013
bil,0.013
bingung,0.038
biola,0.013
bisa,0.051
bokek,0.013
bom,0.013
bonceng,0.013
br,0.038
buat,0.076
buka,0.025
bukan,0.013
bukankah,0.013
buket,0.025
buru,0.013
burung,0.013
ca,0.025
cantik,0.013
cegah,0.025
celaka,0.013
cemil,0.025
cerah,0.013
cermin,0.013
ceroboh,0.013
ceuk,0.013
chang,0.013
checkout,0.013
cheese,0.013
cicim,0.013
cik,0.013
cinta,0.013
cireng,0.013
cisitu,0.013
ciskek,0.013
ciut,0.013
clogged,0.013
coba,0.013
coco,0.013
cocok,0.013
corona,0.025
counting,0.013
crowds,0.013
cukup,0.013
cuma,0.038
curhatan,0.013
curi,0.013
da,0.025
dada,0.013
dadak,0.013
dan,0.038
dana,0.013
dapat,0.051
dapur,0.013
dari,0.076
datang,0.013
debar,0.013
definisi,0.013
definitely,0.013
deh,0.025
dek,0.013
dekat,0.013
demons,0.013
dengan,0.013
depan,0.013
deret,0.025
deru,0.013
det,0.025
deui,0.013
deuih,0.013
dewasa,0.013
di,0.013
dia,0.038
diam,0.013
dilema,0.013
diliburin,0.013
dinding,0.025
diri,0.051
ditayangin,0.013
doang,0.013
dompet,0.013
donasi,0.013
dong,0.025
doors,0.013
doyan,0.013
drama,0.013
drive,0.013
du,0.025
duduk,0.013
dulu,0.025
dunia,0.025
eci,0.025
eh,0.064
emosi,0.051
eni,0.013
entah,0.013
enya,0.013
episode,0.051
eskrimnya,0.013
esteh,0.013
euleuyeur,0.013
favorit,0.013
film,0.013
fir,0.013
firman,0.013
foto,0.013
fw,0.013
gagal,0.013
galak,0.013
ganti,0.013
gara,0.013
garis,0.013
ge,0.038
gemas,0.013
gembul,0.013
gera,0.013
gila,0.013
gin,0.038
goceng,0.025
goda,0.013
gosong,0.013
gratis,0.013
grup,0.013
gumush,0.013
guncang,0.013
habis,0.025
hadiah,0.013
haha,0.025
hai,0.013
hakim,0.013
hal,0.013
hambar,0.013
hamil,0.013
hampir,0.013
hanasui,0.013
hancur,0.013
harap,0.013
hardest,0.013
hari,0.013
has,0.013
hashtag,0.013
haus,0.013
hehehehe,0.013
helm,0.025
hemat,0.013
hengkang,0.013
henteu,0.025
heula,0.013
hidup,0.025
hitam,0.013
hmns,0.064
hore,0.013
hubung,0.013
hugs,0.013
humoris,0.025
hype,0.013
ibu,0.127
ih,0.025
ikjun,0.025
iklan,0.013
ikut,0.013
impulsif,0.013
indomaret,0.013
indonesia,0.013
ingat,0.064
ingin,0.013
ini,0.064
isi,0.013
itu,0.217
iya,0.127
jackson,0.013
jadi,0.178
jadwal,0.013
jagu,0.013
jail,0.013
jajan,0.013
jaket,0.013
jalan,0.038
jam,0.025
jaman,0.038
jangkau,0.013
janji,0.013
jarak,0.013
jari,0.013
jauh,0.025
jelas,0.025
jelek,0.013
ji,0.013
jilat,0.013
jl,0.013
jng,0.025
jobdesc,0.013
jodoh,0.013
jokes,0.013
jomblo,0.025
juga,0.025
jujur,0.013
jumpa,0.013
kabar,0.013
kabarin,0.013
kabeh,0.013
kadang,0.013
kaharti,0.013
kaki,0.013
kalah,0.013
kalap,0.025
kalau,0.14
kali,0.051
kaliwat,0.013
kamar,0.025
kamera,0.025
kan,0.038
kanker,0.013
kantor,0.038
kapan,0.038
karawang,0.013
karena,0.013
kata,0.025
kejut,0.025
kelam,0.013
keliatanya,0.013
keluar,0.025
kemarenan,0.013
kemarin,0.038
kembali,0.013
kempes,0.013
ken,0.038
kena,0.013
kenapa,0.102
keren,0.038
keri,0.013
ketemu,0.013
ketika,0.013
ketok,0.013
ketrampilan,0.013
kieu,0.013
kira,0.038
kirim,0.013
klaim,0.013
klarifikasi,0.013
klik,0.013
kocyak,0.025
komedo,0.013
komentar,0.013
konsep,0.013
konten,0.025
korean,0.013
kosong,0.025
kota,0.038
kotak,0.013
kreatif,0.013
kuasa,0.025
kue,0.038
kukus,0.013
kuliah,0.038
kulkas,0.013
kumbil,0.013
kuntilanak,0.013
kurang,0.038
kyuty,0.013
lagi,0.013
lagu,0.025
lah,0.025
laina,0.013
laki,0.076
laksana,0.013
lama,0.025
langsung,0.013
lapar,0.025
lari,0.013
layak,0.013
lebih,0.025
lelah,0.013
lelaki,0.038
lelucon,0.013
lemah,0.013
lempar,0.025
lepas,0.013
lewat,0.013
liat,0.013
libur,0.013
lihat,0.089
lingau,0.013
lintas,0.013
loh,0.013
loma,0.013
luar,0.013
lubuk,0.013
lucu,0.013
lupa,0.038
lur,0.013
lyfe,0.013
mai,0.013
mainstream,0.013
makin,0.025
maksa,0.013
malah,0.013
malam,0.013
malu,0.013
mampu,0.038
mana,0.013
maning,0.013
manya,0.013
marcel,0.013
maret,0.025
markicob,0.013
masa,0.013
masih,0.051
masuk,0.013
mata,0.013
matak,0.013
mati,0.013
matkul,0.013
mau,0.102
max,0.025
mcd,0.013
meksim,0.051
memang,0.025
memberi,0.013
menemani,0.013
menikah,0.025
menit,0.013
mewek,0.013
mie,0.013
miko,0.013
mimpi,0.025
mirip,0.013
mischa,0.013
miskin,0.013
misquen,0.013
mnh,0.013
mobil,0.013
modal,0.025
moshing,0.013
motor,0.025
mulai,0.025
mulung,0.013
mulut,0.013
mun,0.013
mungkin,0.064
murah,0.013
musim,0.013
mut,0.025
myself,0.013
na,0.013
naha,0.013
naik,0.038
nama,0.013
nana,0.013
nangepin,0.013
nasi,0.013
nasib,0.013
neh,0.013
nendang,0.013
netizen,0.013
ngabuburit,0.025
nge,0.013
ngefolow,0.013
ngegas,0.013
ning,0.025
non,0.013
nu,0.013
nya,0.102
nyadar,0.013
nyanyi,0.013
nyata,0.025
nyebar,0.013
nyengol,0.013
nyetel,0.013
nyieun,0.013
nyontek,0.013
obat,0.013
ojo,0.013
oleh,0.013
omong,0.038
ongkir,0.013
orang,0.064
orangtua,0.013
orens,0.013
orgasme,0.064
over,0.013
pada,0.013
padahal,0.051
padat,0.013
pager,0.013
pagi,0.013
paham,0.013
pai,0.013
pakai,0.038
panci,0.013
pandu,0.013
parfum,0.013
pelakor,0.051
peluk,0.013
pempek,0.013
pena,0.025
pengantin,0.013
penguna,0.013
penting,0.013
penuh,0.025
perang,0.013
perbarui,0.013
percy,0.013
perempuan,0.013
pergi,0.013
perintah,0.013
pernah,0.013
persis,0.013
pertama,0.013
pesawat,0.013
petir,0.013
pft,0.013
pi,0.038
pikir,0.051
pilih,0.038
pimpin,0.013
pindah,0.013
pis,0.013
pisah,0.025
pk,0.013
pokok,0.013
ponakan,0.013
pores,0.013
poseidon,0.013
pra,0.013
prediksi,0.013
preloved,0.051
preview,0.013
prodiku,0.013
pungpung,0.013
punya,0.013
pusing,0.038
putih,0.013
putra,0.013
pvj,0.013
qaqa,0.013
rada,0.013
ramai,0.013
rangka,0.013
rantau,0.013
rasa,0.051
rata,0.013
raya,0.025
receh,0.013
rekomendasi,0.013
renang,0.013
renti,0.013
resep,0.025
ribu,0.025
rindu,0.013
rumah,0.025
saat,0.013
sabar,0.013
sadar,0.013
saja,0.064
salah,0.051
sama,0.102
sambil,0.013
sampai,0.089
sample,0.013
sana,0.013
sanasib,0.013
sapa,0.025
sarebuan,0.013
sarfaraz,0.013
satu,0.013
saudade,0.013
saudara,0.127
saya,0.166
sayang,0.025
se,0.038
sebar,0.025
seblak,0.013
sebuah,0.038
sebut,0.013
sedih,0.025
segala,0.013
sehat,0.013
sejahtera,0.013
sejak,0.038
sekali,0.076
sekarang,0.025
selamat,0.013
selera,0.013
semangat,0.013
semester,0.013
semoga,0.013
sempat,0.013
semprot,0.013
sempurna,0.038
semriwing,0.013
semua,0.102
sengaja,0.013
senka,0.013
seoul,0.013
seperti,0.14
serba,0.013
seret,0.013
seru,0.013
server,0.013
seseorang,0.013
sesuai,0.013
setuju,0.013
shopee,0.013
shopepay,0.013
si,0.064
sial,0.025
siapa,0.013
sih,0.089
sihir,0.013
siksa,0.013
simpati,0.013
singaparna,0.013
sini,0.025
siswa,0.013
skripsi,0.013
soal,0.013
sok,0.013
sosial,0.013
spreader,0.013
srikaya,0.013
stabil,0.013
stasiun,0.013
suami,0.013
sudah,0.166
sugan,0.013
suganteh,0.013
sukan,0.013
sumatra,0.013
super,0.013
surabi,0.013
susu,0.025
syekali,0.013
syok,0.013
syukur,0.013
tahu,0.038
tahun,0.051
tak,0.013
takut,0.013
tamat,0.013
tampan,0.013
tampar,0.025
tamu,0.013
tan,0.025
tanah,0.013
tanam,0.013
tangan,0.025
tanggal,0.025
tante,0.051
tapei,0.013
tapi,0.102
tarik,0.013
tasik,0.051
tatjana,0.013
tawa,0.408
taytay,0.013
teh,0.038
tekstur,0.013
telat,0.013
telegram,0.013
teman,0.013
tembem,0.013
tempat,0.038
temu,0.013
tenaga,0.013
tengah,0.013
terimakasih,0.013
terka,0.013
terlalu,0.038
tetangga,0.013
tetap,0.013
tiap,0.013
tiba,0.013
tidak,0.318
tiket,0.013
tim,0.013
tinggal,0.013
tingkah,0.013
tingkat,0.013
tito,0.013
todong,0.013
toko,0.013
tokopedia,0.013
tonton,0.089
tren,0.013
tres,0.025
tuhan,0.013
tuju,0.013
tunggu,0.025
tunjuk,0.013
turut,0.013
tutup,0.038
tuy,0.013
tweet,0.013
tyda,0.013
uang,0.013
ukur,0.025
umur,0.013
unpad,0.013
untuk,0.025
uras,0.013
uri,0.013
urus,0.013
utama,0.025
utuy,0.013
varian,0.013
versi,0.013
video,0.013
virtual,0.013
virus,0.013
voucher,0.025
wajib,0.025
wangi,0.013
wanita,0.013
warga,0.025
whatsapp,0.025
wkakak,0.013
wok,0.013
ya,0.013
yah,0.038
yak,0.013
yakin,0.013
yang,0.204
yani,0.013
yayasan,0.013
yeu,0.013
youtube,0.013
yuga,0.013
zodiak,0.013
