term,weight
adab,0.007
adil,0.007
aduh,0.007
agar,0.007
agits,0.007
ah,0.061
ai,0.007
ainun,0.007
ajak,0.013
ajar,0.02
akan,0.007
akhir,0.034
akun,0.007
akur,0.007
amin,0.04
an,0.013
anak,0.007
anda,0.195
aneu,0.02
angkat,0.007
aniv,0.007
anjing,0.007
apa,0.182
asal,0.007
asik,0.034
asli,0.02
atau,0.007
awal,0.013
awet,0.013
ayah,0.007
ayo,0.141
azek,0.007
baca,0.007
badan,0.007
bagaimana,0.047
bahas,0.013
baik,0.047
bajing,0.007
balas,0.013
baleg,0.007
balik,0.007
bangun,0.02
banyak,0.027
barang,0.007
bareng,0.007
baru,0.094
barudak,0.007
bawel,0.013
bebas,0.02
beberapa,0.007
beda,0.007
beger,0.007
begitu,0.047
bel,0.007
beli,0.007
benar,0.027
beranda,0.013
berapa,0.013
berisik,0.007
bernike,0.007
besok,0.067
betah,0.007
biarin,0.02
biasa,0.013
bilang,0.027
bisa,0.007
bnr,0.013
boleh,0.007
bosan,0.013
buat,0.027
buka,0.034
bukit,0.007
bul,0.013
bulan,0.02
bule,0.007
bundo,0.007
bunga,0.007
butuh,0.013
cahaya,0.013
cantiku,0.007
capcyus,0.007
celalu,0.007
cemil,0.007
cepat,0.02
cerita,0.04
christmas,0.04
cie,0.034
cincin,0.013
cinta,0.027
corona,0.007
cuma,0.027
da,0.04
dalam,0.007
dan,0.007
dapat,0.007
dari,0.007
def,0.013
deh,0.047
del,0.013
dela,0.007
deliv,0.013
depan,0.007
dewasa,0.007
di,0.013
dia,0.013
diam,0.027
difikirkan,0.007
dika,0.007
dilema,0.047
diliatin,0.007
dimafin,0.013
diomongin,0.007
diri,0.013
disurprisein,0.007
diucapin,0.007
doa,0.013
doang,0.013
dokter,0.007
dokunye,0.007
dong,0.168
dp,0.007
duduk,0.007
dukung,0.007
dulu,0.013
efek,0.007
egin,0.007
eh,0.027
ehehehe,0.007
enak,0.013
entah,0.013
entar,0.027
es,0.007
ester,0.007
euy,0.013
every,0.007
fakultas,0.007
film,0.013
foto,0.007
friends,0.007
gadis,0.013
gambar,0.007
gaptek,0.007
gara,0.013
gembira,0.027
gening,0.007
gera,0.013
gereja,0.02
gigi,0.007
gila,0.02
gres,0.007
grestina,0.007
gunung,0.007
gws,0.007
habibie,0.007
habis,0.007
hadiah,0.007
haduh,0.04
haha,0.007
hai,0.027
hanya,0.02
hari,0.04
harkos,0.013
harus,0.02
hidup,0.013
hilang,0.054
histeris,0.02
huehue,0.007
humoris,0.007
hv,0.007
ibu,0.067
ih,0.094
iklas,0.007
ikut,0.007
iloveyouto,0.007
in,0.007
info,0.013
ingin,0.013
ingkar,0.007
ini,0.182
integral,0.007
inti,0.007
iri,0.013
itin,0.013
itu,0.047
iya,0.188
iyaiya,0.007
jadi,0.088
jalan,0.007
jalur,0.007
jam,0.034
jari,0.007
jelang,0.007
jenguk,0.007
jijik,0.007
jodoh,0.007
juang,0.007
juga,0.061
jumat,0.013
kabar,0.013
kabarin,0.007
kado,0.013
kagok,0.013
kaki,0.007
kalau,0.047
kalem,0.007
kali,0.007
kalian,0.047
kamar,0.007
kan,0.074
kapan,0.054
kartu,0.007
kasi,0.007
kasih,0.034
kata,0.02
kayak,0.007
kcmtnya,0.007
keluar,0.013
kemarin,0.027
kembali,0.007
ken,0.007
kena,0.007
kenal,0.013
kenapa,0.061
kenya,0.007
kerja,0.013
kesal,0.007
kesana,0.007
kesini,0.007
ketemu,0.101
ketinggalan,0.007
ketupat,0.007
kira,0.007
kirim,0.007
kita,0.007
kntr,0.007
kosong,0.007
kuat,0.027
kucing,0.007
kue,0.007
kumpulin,0.007
lagi,0.007
lah,0.013
lahir,0.007
laki,0.007
lama,0.02
lancar,0.007
langeng,0.007
langsung,0.054
lantai,0.054
laug,0.007
lebaran,0.007
lebih,0.02
les,0.02
li,0.007
liatin,0.007
libur,0.013
liburanya,0.007
lihat,0.02
lingkar,0.013
lobi,0.013
loh,0.088
loncat,0.007
lovest,0.007
luar,0.007
lulus,0.007
lupa,0.007
maaf,0.007
maafin,0.007
mafkan,0.007
mahiwal,0.007
makanya,0.007
makin,0.013
making,0.007
maksa,0.013
maksud,0.007
malah,0.013
malam,0.02
malas,0.007
malu,0.101
maluin,0.007
mana,0.04
mandiri,0.007
mangat,0.034
mantengin,0.007
masa,0.007
masalah,0.013
masuk,0.007
mati,0.007
mau,0.061
memang,0.013
memberi,0.007
memories,0.007
mempan,0.007
mendengarkan,0.007
menikah,0.027
mesti,0.013
meurin,0.007
minggu,0.013
minie,0.007
misi,0.081
missy,0.007
mngmnt,0.007
muah,0.007
mungkin,0.013
nah,0.007
nampaknya,0.007
nanaonan,0.007
naomi,0.02
napasih,0.013
nasional,0.02
natal,0.047
neraka,0.007
ngabibita,0.007
ngadain,0.007
ngampus,0.007
ngaret,0.013
ngedumel,0.007
ngumpulin,0.007
niat,0.013
nikmat,0.007
nimbrung,0.007
nmrmu,0.013
nmrnya,0.007
nono,0.007
nti,0.007
nyambung,0.007
nyampah,0.007
nyata,0.007
nyawa,0.013
nyelesaian,0.007
nyonya,0.007
nyusul,0.007
nyusulnya,0.007
oke,0.04
okedeh,0.007
okesip,0.007
omat,0.007
online,0.013
opname,0.007
orang,0.074
pacar,0.007
padahal,0.013
pagi,0.013
pakai,0.013
parah,0.007
parkir,0.007
pasti,0.007
penting,0.02
penuh,0.007
perbarui,0.007
periksa,0.007
pesan,0.034
pesta,0.013
pikir,0.013
pingit,0.007
pis,0.013
plb,0.007
pokok,0.007
puasa,0.007
pulang,0.061
pundung,0.013
punya,0.013
pura,0.013
putus,0.007
ra,0.007
rabu,0.007
rajin,0.013
ramai,0.013
ranjau,0.007
raport,0.007
retweet,0.135
ribut,0.007
rindu,0.034
ruang,0.007
rumah,0.061
saat,0.02
sabar,0.007
sabtu,0.02
saja,0.135
saka,0.007
sakit,0.034
sama,0.094
sampah,0.007
sampai,0.02
sangat,0.007
satu,0.007
saudara,0.155
saya,0.296
sayang,0.034
sbmptn,0.013
sbmptnya,0.007
sebentar,0.02
sebuah,0.013
sebut,0.047
secomplicated,0.007
sedih,0.02
sedikit,0.007
segala,0.007
sejuk,0.007
sekali,0.081
sekarang,0.034
sekolah,0.054
selalu,0.007
selamat,0.054
selesai,0.02
semangat,0.027
semoga,0.02
sempat,0.007
semua,0.013
senang,0.061
sendiri,0.027
senin,0.013
seperti,0.02
seragam,0.007
serius,0.007
sial,0.007
siap,0.013
siapa,0.054
sih,0.04
sini,0.007
sisihin,0.007
sita,0.007
skatingnya,0.007
sms,0.034
smsnya,0.007
snmptn,0.007
sobat,0.02
sok,0.02
soke,0.007
soksok,0.007
solusi,0.007
sore,0.04
st,0.007
status,0.007
subuh,0.007
sudah,0.168
suka,0.027
sungguh,0.007
susul,0.007
syukur,0.013
tadi,0.02
tagal,0.007
tahu,0.067
tahun,0.074
taken,0.007
tangis,0.013
tanjung,0.007
tanya,0.02
tapi,0.02
tarik,0.007
tata,0.034
tawa,0.114
tayang,0.013
teh,0.027
teman,0.047
tementer,0.007
tempat,0.013
temu,0.007
tengah,0.007
tentang,0.007
terbaik,0.007
terimakasih,0.175
terus,0.04
tes,0.007
tetap,0.02
teuing,0.007
thankis,0.007
tiap,0.013
tiati,0.007
tid,0.027
tidak,0.545
tidie,0.034
tidieku,0.013
tidur,0.034
tih,0.007
timezone,0.007
tin,0.013
tipikal,0.007
tlfn,0.007
tonton,0.034
tugas,0.027
tuhan,0.013
tulis,0.007
tunang,0.013
tunggu,0.027
twitter,0.027
twtr,0.007
uah,0.007
uang,0.007
uasnya,0.013
ubey,0.007
ujan,0.013
ujian,0.02
ulang,0.007
ultang,0.007
unpad,0.007
untuk,0.027
untung,0.013
updatenya,0.007
upi,0.007
usah,0.04
utama,0.027
waktu,0.027
wanita,0.047
wo,0.007
woles,0.007
wulan,0.007
ya,0.034
yah,0.034
yaiya,0.007
yakin,0.007
yang,0.114
yong,0.007
yuks,0.007
