term,weight
acara,0.027
acne,0.007
acnol,0.007
ada,0.047
admin,0.04
aduk,0.007
agar,0.034
ain,0.007
air,0.02
ajaib,0.013
ajak,0.007
ajang,0.007
ajar,0.101
akad,0.02
akan,0.007
akhir,0.02
akses,0.013
akun,0.007
akusih,0.007
ala,0.013
alam,0.027
alamat,0.007
alas,0.007
alasan,0.013
alias,0.007
almond,0.007
aloe,0.007
amel,0.007
amin,0.013
ampas,0.007
ampuh,0.013
anak,0.04
analog,0.007
anda,0.034
andal,0.007
ang,0.013
anggar,0.007
anisa,0.007
announcer,0.007
antariksa,0.007
antena,0.007
apa,0.074
aplikasi,0.007
apricot,0.013
arti,0.007
asal,0.027
asam,0.007
asemnya,0.007
asli,0.013
atas,0.007
avatar,0.007
awal,0.007
ayo,0.04
baca,0.054
badan,0.007
bagai,0.007
bagaimana,0.02
bagi,0.007
bagus,0.013
bahan,0.013
bahas,0.013
bahasa,0.034
bahkan,0.007
baik,0.013
baju,0.013
bakso,0.007
balas,0.02
balik,0.013
balikpapan,0.013
banding,0.007
bang,0.007
bangun,0.013
bangunanya,0.007
banjar,0.007
bantu,0.007
banyak,0.054
bapak,0.047
barang,0.007
baru,0.081
basecamp,0.007
basic,0.007
batas,0.007
baut,0.007
bawa,0.007
bawah,0.007
bayar,0.013
bebas,0.007
beberapa,0.007
beda,0.013
bediri,0.007
begitu,0.094
behels,0.007
bekas,0.007
bekirim,0.007
belah,0.013
belanda,0.007
belanja,0.007
belas,0.007
beli,0.054
belum,0.013
benar,0.06
benzolac,0.007
berapa,0.013
berat,0.007
berita,0.013
bertetanga,0.007
besar,0.007
besok,0.02
betul,0.013
bha,0.007
biasa,0.027
biaya,0.007
biayain,0.007
bicara,0.007
bidang,0.013
bijak,0.007
bik,0.007
bilang,0.013
bingkis,0.007
biologi,0.034
bioskop,0.007
bis,0.013
bisa,0.034
bola,0.007
boleh,0.007
bom,0.02
bombay,0.007
bona,0.007
bontang,0.04
boro,0.013
bos,0.007
bosan,0.007
bosda,0.007
botol,0.007
bp,0.007
bpn,0.007
buah,0.007
buahpakmu,0.007
buat,0.181
buaya,0.007
bubuk,0.007
bujur,0.007
buka,0.007
bukan,0.02
bukber,0.007
buku,0.013
bulan,0.027
bumi,0.007
butuh,0.04
cahaya,0.007
cakram,0.007
campur,0.007
cari,0.034
cashback,0.007
cc,0.007
cemil,0.047
cepat,0.027
cerita,0.013
chatingan,0.007
cincin,0.013
cinta,0.013
cita,0.013
coba,0.027
coco,0.007
coldplay,0.007
copot,0.007
coto,0.007
cuci,0.007
cukup,0.013
cuma,0.054
dalam,0.007
damar,0.007
dandan,0.007
dangdut,0.007
dapat,0.013
dapur,0.007
dari,0.02
darurat,0.007
datang,0.013
defile,0.007
deh,0.02
dekat,0.013
dengan,0.013
desa,0.013
desain,0.007
detik,0.007
dewan,0.007
di,0.04
dia,0.013
diam,0.007
didih,0.007
didik,0.02
digogling,0.007
dikenalin,0.007
dikit,0.007
dikomen,0.007
dilihatin,0.013
dimarahin,0.007
dinas,0.007
diolokin,0.007
diri,0.007
disiramin,0.007
ditanyain,0.007
ditempatin,0.007
dmnya,0.007
doa,0.013
doang,0.013
dong,0.027
dosen,0.013
dulu,0.107
duta,0.013
duwis,0.007
edtech,0.02
edukasi,0.007
efek,0.02
eh,0.027
empek,0.013
enak,0.054
enj,0.007
ensiklopedia,0.007
es,0.02
eusideroxylon,0.007
fg,0.007
film,0.013
fisika,0.007
fizi,0.007
flash,0.007
foto,0.054
