term,weight
ada,0.048
adalah,0.016
admin,0.048
adoh,0.016
aduh,0.032
agar,0.016
agus,0.016
ah,0.016
ajak,0.016
akan,0.032
aktifin,0.016
akun,0.016
alas,0.016
alfamart,0.016
ambil,0.016
anak,0.016
ancen,0.016
anda,0.079
angkat,0.016
apa,0.079
aquw,0.016
arek,0.016
asin,0.016
asli,0.016
ason,0.016
astaga,0.032
atas,0.016
ayah,0.016
ayam,0.016
ayo,0.143
bagaimana,0.079
baik,0.016
bakar,0.016
banjir,0.016
bantu,0.016
bantuanya,0.016
banya,0.016
banyak,0.016
bapak,0.048
baru,0.063
batal,0.016
batu,0.016
bayar,0.016
beda,0.016
begini,0.016
begitu,0.048
belanja,0.016
beli,0.032
belonjo,0.016
belum,0.032
benar,0.063
beng,0.032
benge,0.016
beranda,0.016
bersih,0.016
besek,0.016
besok,0.016
biasa,0.016
bicara,0.016
biji,0.032
bneran,0.016
bodoh,0.016
bonus,0.016
bor,0.016
buang,0.016
buat,0.048
bucen,0.016
budal,0.016
buka,0.016
bukan,0.016
buncis,0.016
cabai,0.016
cakep,0.032
cantik,0.016
cara,0.016
cari,0.016
catetan,0.016
cc,0.016
cemil,0.016
cenderung,0.016
cerewet,0.016
cipta,0.016
ck,0.016
coba,0.016
coklat,0.016
cubit,0.016
cuma,0.048
dan,0.048
dapat,0.079
dapur,0.016
dasar,0.048
datang,0.016
deh,0.016
dekat,0.048
dereng,0.016
dewe,0.016
di,0.079
dia,0.063
diet,0.016
dimana,0.032
dingin,0.016
dipakai,0.016
dong,0.079
drama,0.016
duid,0.048
dulu,0.016
dun,0.016
durung,0.016
eh,0.032
ekor,0.016
ekwk,0.016
eman,0.016
enak,0.127
endi,0.063
eruh,0.016
ewu,0.016
fajar,0.016
favorit,0.016
fucek,0.016
ganggu,0.016
gangsta,0.016
ganok,0.016
gantung,0.016
gara,0.032
gaul,0.016
gawe,0.016
gaya,0.016
gb,0.016
gel,0.032
gemesh,0.032
gila,0.048
gin,0.048
glico,0.016
godan,0.016
golek,0.016
goroh,0.016
haha,0.158
hahanahaha,0.016
hanya,0.032
hapus,0.016
hareudang,0.032
hari,0.016
hati,0.063
hehehehe,0.016
heran,0.016
hidup,0.016
ho,0.016
hoh,0.016
hoho,0.016
hubung,0.016
humoris,0.016
hyunbin,0.016
ibu,0.016
ikan,0.016
iku,0.048
ikut,0.016
in,0.016
indihome,0.016
ingetin,0.016
ini,0.238
instal,0.016
isi,0.016
itu,0.095
iya,0.063
iyups,0.016
jackson,0.016
jadi,0.127
jae,0.032
jaewok,0.016
jahit,0.016
jalan,0.032
jam,0.016
jaman,0.032
jareku,0.016
jareng,0.016
jawab,0.016
jeding,0.016
jengjeng,0.016
jijik,0.016
jua,0.016
julid,0.032
kalau,0.127
kali,0.048
kamar,0.016
kan,0.016
kangs,0.016
kapal,0.016
karam,0.016
kejut,0.016
kelas,0.016
kelelawar,0.016
kelor,0.016
kemarin,0.032
ken,0.032
kenapa,0.063
kenpa,0.016
kentut,0.016
kenyat,0.016
kesal,0.016
ketawa,0.032
kim,0.048
kira,0.016
kiro,0.016
kondo,0.016
kongkon,0.016
konsul,0.016
kota,0.032
koyok,0.016
kuat,0.016
kucing,0.016
kuda,0.016
kuliner,0.016
kurang,0.016
labirin,0.016
lagu,0.016
lah,0.016
lain,0.016
laki,0.032
langsung,0.016
laut,0.016
lebih,0.032
lek,0.095
lelah,0.016
lelep,0.016
lena,0.016
lewat,0.016
limun,0.016
liptint,0.016
loh,0.063
lor,0.016
losen,0.016
lulus,0.032
lupa,0.016
macet,0.016
majalah,0.016
maksud,0.016
malamg,0.016
malas,0.016
malu,0.048
mampu,0.032
mana,0.016
mangkok,0.016
mas,0.016
masak,0.016
masio,0.016
masuk,0.016
mau,0.111
mben,0.016
mbok,0.032
meh,0.016
memang,0.032
merah,0.016
mereka,0.016
mie,0.032
mienya,0.016
mohon,0.016
motor,0.016
muach,0.016
mungkin,0.016
murah,0.032
murko,0.016
musim,0.016
nama,0.016
nang,0.016
nansi,0.016
nata,0.016
naudzubilah,0.016
ndang,0.016
ndek,0.095
nep,0.016
nerima,0.016
ngalam,0.016
ngefangirl,0.016
ngene,0.016
ngenku,0.016
ngiler,0.016
ngongkel,0.016
nguilani,0.016
ngunu,0.016
ngunuku,0.016
nik,0.016
nikmat,0.016
njaluk,0.016
nominal,0.016
non,0.016
numpuk,0.016
nyakitin,0.016
nyambung,0.016
nyamuk,0.016
nyata,0.032
nyengol,0.016
nyeri,0.016
oalah,0.016
obat,0.016
oe,0.032
ogeb,0.016
ojo,0.016
oke,0.048
omah,0.016
ono,0.032
ovo,0.016
pacar,0.048
paham,0.032
pakai,0.032
paman,0.016
pamerno,0.016
panas,0.016
pangan,0.016
pantas,0.016
pasang,0.032
pasar,0.016
pasien,0.016
payu,0.016
pemberitahuan,0.016
pengirim,0.174
peras,0.016
pergi,0.016
pernah,0.079
pesan,0.016
pese,0.016
peta,0.032
pikir,0.016
pilih,0.016
piring,0.016
pling,0.016
pokak,0.016
porsi,0.016
poster,0.016
pribadi,0.016
privte,0.016
produktif,0.016
prosedur,0.016
psycho,0.016
pusat,0.016
putus,0.016
rabi,0.016
racun,0.032
rahasia,0.016
rasa,0.048
reken,0.016
rem,0.032
rene,0.016
rewatch,0.016
ribu,0.016
rindu,0.016
rupane,0.016
sabar,0.032
sabu,0.016
sabun,0.016
sadar,0.016
saiki,0.016
saja,0.095
sama,0.127
sampah,0.016
sampai,0.032
santai,0.016
sapa,0.016
satu,0.016
saudara,0.174
saya,0.349
sayang,0.032
sayur,0.016
sebentar,0.032
sebuah,0.111
segar,0.016
sekali,0.174
sekolah,0.032
seksi,0.016
selebgram,0.016
selesai,0.016
semangat,0.016
sen,0.032
senep,0.016
seng,0.048
seperti,0.032
sepupu,0.016
seru,0.032
sesuai,0.016
setkg,0.016
shin,0.016
sial,0.016
sido,0.016
sih,0.079
sini,0.032
snacknya,0.016
softlens,0.016
stasiun,0.016
suami,0.016
suasana,0.016
sudah,0.127
suka,0.016
suwemen,0.016
syok,0.016
syukur,0.016
taecyeon,0.016
taegu,0.032
