term,weight
ada,0.062
adalah,0.016
aduh,0.023
aduk,0.008
agar,0.016
ah,0.008
aiesec,0.008
air,0.016
aisya,0.008
ajak,0.008
ajar,0.008
akan,0.008
akhir,0.039
akun,0.016
alam,0.008
alas,0.008
aman,0.008
ambil,0.016
amin,0.008
ampun,0.008
an,0.031
anak,0.016
anda,0.171
anet,0.008
antisosial,0.008
apa,0.124
apalg,0.016
apel,0.008
ask,0.008
askfm,0.008
asli,0.016
atas,0.008
auk,0.008
awal,0.016
ayah,0.016
ayam,0.016
ayo,0.016
baca,0.047
backyard,0.008
badai,0.008
badan,0.008
bagaimana,0.039
bagus,0.016
bahan,0.008
bahkan,0.008
baik,0.062
baiq,0.008
baique,0.008
baked,0.008
bakso,0.008
balas,0.047
balik,0.008
bambnah,0.008
bangga,0.008
bangun,0.008
banyak,0.031
bapak,0.023
bara,0.008
bareng,0.008
baru,0.047
bawa,0.023
bawang,0.008
bayangin,0.016
bayar,0.016
beberes,0.008
beda,0.023
bedua,0.016
begini,0.008
begitu,0.054
beli,0.023
belum,0.054
benang,0.008
benar,0.07
benci,0.008
bentar,0.016
bentuk,0.016
berisik,0.008
berita,0.016
bertemu,0.008
besok,0.047
bets,0.031
biadab,0.008
bias,0.008
biasa,0.008
bibir,0.062
bicara,0.016
bisa,0.008
bisikin,0.008
bismillah,0.008
bnr,0.008
bodoh,0.016
bolehin,0.008
bonus,0.008
boom,0.008
bosan,0.008
bosman,0.008
brg,0.016
bty,0.016
buah,0.016
buat,0.117
buatjn,0.008
buay,0.008
bubur,0.008
budaya,0.008
buka,0.039
bukan,0.008
bulan,0.016
bumi,0.008
bunyi,0.008
buruk,0.008
butuh,0.008
butut,0.008
cara,0.008
cari,0.008
cedih,0.008
celaka,0.008
celengan,0.016
cemil,0.039
cemilan,0.008
cengang,0.008
cepat,0.008
chalkzone,0.008
children,0.008
cih,0.008
cilok,0.008
cinta,0.039
cliche,0.008
cliquers,0.008
closer,0.008
coba,0.016
comes,0.008
congratulation,0.016
corona,0.039
cuci,0.008
cuma,0.023
cuy,0.008
daftar,0.008
dan,0.008
dapat,0.008
dari,0.047
dasar,0.008
datang,0.008
days,0.008
deep,0.008
deh,0.023
deketan,0.008
deketanya,0.008
demo,0.008
dengan,0.062
dengar,0.008
di,0.031
dia,0.039
dibantuin,0.008
didengerin,0.008
didentifikasi,0.008
dikatain,0.008
dipecahin,0.008
diri,0.016
disimpulin,0.008
disini,0.008
disko,0.008
doang,0.031
doesn,0.008
dong,0.093
drama,0.023
drive,0.008
drowning,0.008
drtd,0.008
dua,0.008
duhai,0.008
dulu,0.039
duluan,0.008
dunia,0.008
eh,0.016
emgnya,0.008
emosi,0.008
enak,0.016
endut,0.016
episode,0.016
eun,0.008
ev,0.016
feshyun,0.008
foto,0.016
gabung,0.008
gado,0.016
galeri,0.008
gans,0.008
garam,0.008
garuda,0.008
geh,0.008
gejala,0.008
gelap,0.016
gemas,0.008
gerak,0.008
getting,0.008
gin,0.023
goa,0.109
goreng,0.008
greget,0.016
gtv,0.008
guests,0.008
gugup,0.031
habis,0.023
hahahahahahaha,0.008
hai,0.023
haid,0.008
haitsam,0.008
hal,0.008
hampir,0.008
hanya,0.016
happier,0.008
harap,0.008
hari,0.109
harus,0.008
hati,0.023
hidup,0.023
hih,0.008
hilang,0.008
hodo,0.008
host,0.008
hubung,0.008
huda,0.008
hujan,0.016
humor,0.008
humoris,0.008
hurts,0.008
huruf,0.016
hutang,0.008
hv,0.008
hyukoh,0.008
ibu,0.062
id,0.008
ikan,0.008
iknowright,0.008
ikut,0.008
imut,0.008
in,0.047
indonesia,0.023
infeksi,0.008
ing,0.008
ingat,0.008
ingin,0.047
ini,0.07
instagram,0.008
isi,0.008
istirahat,0.008
itu,0.085
iya,0.047
jadi,0.14
jadwal,0.008
jalan,0.008
jalur,0.008
jam,0.031
jaman,0.016
janggal,0.008
jarang,0.008
jari,0.016
jaring,0.008
jauh,0.008
jawa,0.016
jawab,0.039
jdnya,0.008
jenis,0.008
jika,0.008
jiper,0.008
jokes,0.016
jong,0.008
jual,0.008
juga,0.054
jujur,0.008
kaca,0.008
kah,0.008
kaki,0.016
kalah,0.008
kalau,0.124
kali,0.031
kalori,0.016
kamar,0.008
kamp,0.023
kan,0.117
kanan,0.008
kangenin,0.008
kapan,0.008
karena,0.031
kasih,0.008
kasus,0.008
kata,0.031
kayak,0.047
ke,0.008
keluar,0.016
keluarga,0.031
keluh,0.008
kemarin,0.054
kembali,0.016
kena,0.008
kenapa,0.085
keras,0.008
kerja,0.016
kertas,0.008
kesal,0.023
kesyeyengan,0.008
ketemu,0.008
ketik,0.008
kibul,0.008
kilo,0.008
kim,0.008
kinda,0.008
kini,0.008
kira,0.023
kiri,0.016
kmrin,0.008
kombinasi,0.008
korea,0.023
kosong,0.016
kota,0.008
lagi,0.07
lagu,0.016
lah,0.047
