term,weight
ada,0.069
adil,0.011
admin,0.057
aduk,0.011
agar,0.023
ahli,0.023
air,0.011
ajar,0.046
akh,0.011
akhir,0.011
akses,0.011
aktif,0.034
akun,0.011
alaikum,0.011
almarhum,0.011
ambil,0.011
amin,0.023
ampuh,0.011
anak,0.023
anda,0.091
animasi,0.011
apa,0.16
api,0.023
aplikasi,0.011
arti,0.023
artis,0.011
asal,0.011
asalamu,0.011
asesmen,0.011
asesment,0.011
astaga,0.023
atas,0.023
atau,0.011
atine,0.011
audrey,0.011
aurat,0.011
awal,0.046
awet,0.011
ayah,0.011
ayo,0.034
baca,0.034
bagai,0.011
bagaimana,0.103
bagi,0.034
bagus,0.034
bahan,0.011
bahasa,0.046
baik,0.091
baja,0.023
balas,0.011
balik,0.011
bandara,0.011
banding,0.011
bang,0.057
bangun,0.011
bantu,0.011
bantuanya,0.023
banyak,0.114
bapak,0.183
batas,0.023
bawa,0.034
bawaslu,0.011
bayar,0.011
beda,0.091
begini,0.023
begitu,0.046
belah,0.011
belakang,0.023
beli,0.011
beliau,0.034
benar,0.057
bentar,0.011
beranda,0.011
berapa,0.023
berat,0.011
beri,0.023
berita,0.023
besar,0.023
besok,0.034
betul,0.011
biadab,0.011
biasa,0.183
biaya,0.023
bicara,0.023
bilang,0.023
bingung,0.023
biru,0.011
bisa,0.023
bisnis,0.011
bpn,0.011
buat,0.057
buatanya,0.011
bubar,0.011
buka,0.023
bukan,0.069
bulan,0.057
buncit,0.011
buset,0.011
butuh,0.011
cahaya,0.023
cantik,0.034
cara,0.023
cari,0.034
ceban,0.011
celana,0.011
cemil,0.08
cerita,0.011
chargingnya,0.011
cherybel,0.011
ci,0.023
cia,0.034
cina,0.011
cincin,0.011
cita,0.034
ckck,0.011
coba,0.046
cocok,0.023
coeg,0.011
condong,0.011
corona,0.023
creepy,0.011
cukup,0.034
cuma,0.023
curang,0.011
da,0.034
daftar,0.011
dagang,0.011
dan,0.023
dana,0.011
dandan,0.023
dapat,0.011
dapetnya,0.011
dar,0.023
dari,0.011
darimana,0.011
daripada,0.011
data,0.011
datang,0.011
definisi,0.023
deh,0.023
demikian,0.011
dengar,0.011
deong,0.011
depa,0.023
depan,0.011
deteksi,0.011
di,0.011
diajarin,0.011
didi,0.034
digratisin,0.011
dijelasin,0.011
dijijikin,0.011
dimane,0.011
dimna,0.011
dingat,0.011
dipakai,0.011
dipangil,0.023
diretwet,0.011
disiulin,0.011
ditingalkan,0.011
doang,0.023
dokter,0.034
dolar,0.011
dong,0.091
dosa,0.011
drama,0.023
dugan,0.011
duka,0.011
dukung,0.011
dulu,0.023
dunia,0.011
edit,0.011
edukasi,0.011
em,0.011
enak,0.023
encer,0.011
film,0.091
fitur,0.011
folbek,0.011
foto,0.023
fulnya,0.011
fungsi,0.011
gabung,0.011
gaji,0.011
galak,0.011
gambar,0.011
ganguan,0.023
ganti,0.034
gb,0.034
gizi,0.011
golong,0.011
gonta,0.011
googling,0.034
gosok,0.011
gramed,0.011
gulir,0.011
gurun,0.023
gus,0.011
habis,0.023
hadap,0.023
hadist,0.011
