term,weight
abah,0.006
abk,0.006
acak,0.006
ada,0.031
adalah,0.018
adas,0.006
adi,0.006
adil,0.012
afdal,0.006
agama,0.006
agar,0.037
agung,0.006
ah,0.006
ahad,0.006
aib,0.006
aidzin,0.006
ajak,0.018
ajar,0.006
akan,0.018
akhir,0.092
akhlakles,0.006
akun,0.012
alas,0.012
alasan,0.006
alhasil,0.006
alias,0.049
alis,0.006
alula,0.012
amal,0.006
aman,0.043
ambil,0.006
amin,0.055
ampuh,0.006
ampun,0.024
an,0.012
anak,0.006
anda,0.147
angkring,0.012
anjing,0.006
antar,0.006
antikekerasan,0.006
apa,0.177
apalagi,0.006
api,0.006
apik,0.006
ari,0.006
arti,0.006
asal,0.012
asli,0.018
astaga,0.006
asupan,0.006
atas,0.031
aup,0.012
awal,0.012
axl,0.006
ayah,0.012
ayo,0.018
baca,0.018
bagaimana,0.018
bagi,0.006
bagus,0.006
bahan,0.006
bahasa,0.006
bahkan,0.018
bahwasanya,0.006
baik,0.104
baju,0.006
bakso,0.006
baku,0.006
balas,0.037
balasan,0.006
balesnya,0.012
balik,0.012
bam,0.006
ban,0.006
banar,0.006
banding,0.116
bangga,0.012
bantu,0.006
banyak,0.043
barangkali,0.006
baru,0.043
batas,0.006
batin,0.006
bawa,0.006
bayi,0.006
beberapa,0.024
begadang,0.018
begini,0.006
begitu,0.012
behind,0.012
belah,0.006
belakang,0.006
beli,0.043
belum,0.006
benar,0.092
bentar,0.012
bentuk,0.012
bentukanya,0.006
beranda,0.006
beranta,0.012
beri,0.006
berkah,0.018
besar,0.006
besok,0.024
bgtapk,0.006
biasa,0.037
biggest,0.012
bijak,0.006
bilang,0.006
bisa,0.037
bismillah,0.006
blundernya,0.006
bolak,0.006
bosan,0.006
boso,0.006
brainless,0.006
buah,0.018
buat,0.153
buka,0.018
bukan,0.024
bukankah,0.006
bukhari,0.006
bulan,0.018
bulu,0.006
bunga,0.006
buntu,0.006
buru,0.006
butuh,0.006
cantik,0.012
capai,0.012
cara,0.012
cari,0.024
celaka,0.006
cemil,0.061
cepat,0.018
cerdas,0.006
cerdik,0.006
cerita,0.018
chang,0.006
chatnya,0.006
cireng,0.006
coba,0.024
coldplay,0.006
cooker,0.006
corona,0.012
cosplay,0.006
cuaca,0.006
cuci,0.006
cuma,0.055
curah,0.006
daerah,0.006
dagu,0.006
dahi,0.006
dalam,0.012
damai,0.006
dan,0.012
dapat,0.061
dar,0.006
dari,0.024
dasar,0.006
data,0.006
datang,0.012
deh,0.012
dek,0.006
dekat,0.018
demikian,0.006
dengan,0.055
denting,0.006
depa,0.006
detik,0.006
dewek,0.006
di,0.012
dia,0.012
dibalesnya,0.006
dibantuin,0.006
dicheck,0.006
didi,0.006
dilist,0.006
ding,0.012
diplesetin,0.006
diri,0.061
diskusi,0.012
ditamatin,0.006
ditanyain,0.006
diterapin,0.006
ditingalkan,0.006
diupdate,0.012
doang,0.031
doesn,0.006
dong,0.043
dosen,0.012
dosono,0.006
doyan,0.006
drama,0.031
drastis,0.006
dua,0.006
duduk,0.006
dulu,0.104
dunia,0.006
edisi,0.006
edukasi,0.006
efi,0.012
eh,0.043
eid,0.006
ejek,0.006
eks,0.006
ekspresi,0.006
else,0.006
emosi,0.006
enak,0.024
episode,0.006
epron,0.006
esok,0.006
etik,0.006
faidzin,0.006
fakta,0.006
fans,0.012
favorit,0.006
feedback,0.006
fitri,0.006
foto,0.006
gabah,0.006
gagal,0.012
gambar,0.012
gang,0.012
ganggu,0.006
ganjil,0.006
