term,weight
aa,0.009
abai,0.004
abisin,0.004
able,0.004
abt,0.004
acknowledging,0.004
actions,0.009
actors,0.004
ada,0.013
adalah,0.058
aduh,0.018
adults,0.004
affected,0.004
agar,0.013
ah,0.004
ain,0.004
air,0.004
ais,0.004
ajar,0.004
ajib,0.004
akan,0.036
akang,0.004
akh,0.004
akhir,0.018
akhlak,0.004
akhlakles,0.004
akrilik,0.004
alas,0.004
alexa,0.004
alin,0.004
alright,0.004
aman,0.004
ambil,0.027
amin,0.004
an,0.009
anda,0.348
any,0.004
anytime,0.004
apa,0.089
appreciate,0.009
aren,0.004
asan,0.004
asli,0.009
astaga,0.004
atas,0.027
atau,0.027
athan,0.004
awas,0.004
awesome,0.004
ayah,0.027
ayo,0.022
baca,0.089
bade,0.004
bagaimana,0.018
bagi,0.009
bagus,0.009
bahkan,0.009
baik,0.036
bajing,0.009
balik,0.004
banci,0.004
banding,0.013
bangga,0.009
bangke,0.004
bangkrut,0.009
bangun,0.009
banyak,0.04
bareng,0.004
baru,0.031
basa,0.004
bashing,0.004
bawa,0.004
bayi,0.013
begadang,0.004
begitu,0.009
bela,0.009
belaka,0.004
belum,0.009
benar,0.049
benci,0.009
benda,0.004
bengbeng,0.004
bengek,0.004
beranda,0.004
berapa,0.009
berita,0.004
berterimakasih,0.013
bi,0.013
biasa,0.009
bibir,0.004
bicara,0.013
bighit,0.004
bingung,0.004
bio,0.004
bisa,0.049
bisik,0.004
bodoh,0.013
bogor,0.004
bom,0.013
borong,0.004
both,0.009
breaks,0.004
breathe,0.009
buat,0.08
bub,0.004
bungkam,0.009
bunuh,0.004
buruk,0.004
butuh,0.022
cantik,0.004
cara,0.027
cekcok,0.004
cemil,0.004
cerah,0.004
cerewet,0.009
ceribel,0.004
cermin,0.009
cherybele,0.004
cinta,0.031
ciri,0.004
ckskfkskf,0.004
cnsjfjskcsk,0.004
coba,0.004
complanin,0.004
condo,0.004
congrats,0.004
correcting,0.004
cuma,0.009
dagang,0.009
dan,0.107
dandan,0.004
dapat,0.013
dari,0.089
datang,0.009
dating,0.004
days,0.004
debat,0.004
del,0.004
dengan,0.022
dengar,0.013
depan,0.013
dev,0.004
devastated,0.004
di,0.04
dia,0.031
diabetes,0.004
diam,0.004
dibagin,0.004
did,0.013
didik,0.004
diliatin,0.004
dimana,0.013
dimane,0.004
dimasukin,0.004
diri,0.004
diship,0.004
disini,0.013
diyam,0.004
dk,0.004
dms,0.004
doang,0.004
doesn,0.004
doing,0.004
dong,0.009
duet,0.004
dukung,0.009
dunia,0.009
dunks,0.004
each,0.013
either,0.004
elah,0.004
emosional,0.004
enak,0.004
enjing,0.004
enough,0.004
erpin,0.004
favs,0.004
fc,0.004
feelings,0.004
fine,0.004
fisik,0.004
fixing,0.004
fokus,0.004
following,0.004
fr,0.009
friends,0.004
gadis,0.013
gaenak,0.009
gairah,0.004
gambar,0.004
gamtenk,0.004
gangerti,0.004
gapenting,0.004
gas,0.004
gatahan,0.004
gausa,0.004
gembira,0.004
gemey,0.004
gendong,0.004
gerhana,0.004
geus,0.004
ghia,0.027
gila,0.004
gils,0.004
gin,0.013
gm,0.004
gotta,0.004
gouache,0.004
gratis,0.004
grown,0.004
gsbr,0.004
gurlie,0.004
habis,0.004
had,0.004
hak,0.004
hancur,0.004
handling,0.004
hangat,0.004
hanya,0.058
happened,0.009
hapunten,0.013
harap,0.031
harga,0.009
hari,0.004
haru,0.004
harus,0.022
healthily,0.004
hebat,0.009
hec,0.009
henti,0.009
hilang,0.004
hipo,0.004
hopefully,0.004
horor,0.004
hubung,0.009
hukum,0.004
husband,0.004
huwe,0.004
hy,0.009
ibu,0.013
ih,0.004
ikin,0.004
ikut,0.004
ikuti,0.004
imut,0.004
in,0.067
indonesia,0.004
industri,0.004
ingin,0.031
ini,0.121
instagram,0.009
instead,0.004
isan,0.004
istimewa,0.004
istirahat,0.004
isu,0.013
itu,0.308
iya,0.022
jadi,0.13
jak,0.004
jalan,0.004
jaman,0.004
james,0.004
janji,0.004
jantung,0.018
jawab,0.004
jbjb,0.004
jelas,0.004
jelek,0.004
jfjsncjsnd,0.004
jika,0.04
jne,0.004
jong,0.022
jt,0.004
judul,0.009
juga,0.045
jvkskfks,0.004
kabet,0.004
kacau,0.004
kadang,0.009
kalah,0.004
kalau,0.013
kalem,0.004
kali,0.018
kan,0.022
kanawut,0.004
kanvas,0.013
kaogulf,0.004
kapan,0.004
kapel,0.004
kapok,0.004
karena,0.018
kasar,0.004
kasih,0.013
kata,0.009
kebo,0.009
kecewa,0.009
kecil,0.009
kedok,0.004
kejar,0.004
kejut,0.004
keluar,0.009
keluarga,0.009
kembali,0.013
kena,0.04
kenapa,0.013
keong,0.004
kepala,0.009
kepsyenya,0.004
keras,0.004
keren,0.004
kering,0.004
kerja,0.004
kertas,0.009
ketika,0.009
keuwuan,0.004
kinda,0.009
kira,0.009
kita,0.004
kocok,0.009
kompor,0.004
konten,0.004
kosong,0.004
kuat,0.022
kuliah,0.004
kuorderin,0.004
kutuk,0.004
labelz,0.004
lagi,0.036
lagu,0.004
lain,0.009
laki,0.004
lalu,0.013
lama,0.004
langsung,0.013
lanjut,0.013
layak,0.018
lebih,0.022
legit,0.004
lelucon,0.013
lemme,0.004
lesbian,0.009
letting,0.004
lewat,0.004
libur,0.004
lihat,0.031
lilin,0.004
lima,0.004
limpah,0.004
lin,0.009
lingering,0.004
listening,0.004
ll,0.009
logging,0.004
longed,0.004
longkhong,0.004
look,0.009
looked,0.009
loved,0.004
lucuwbgt,0.004
lupa,0.009
maaf,0.018
macam,0.004
main,0.004
makan,0.004
makas,0.009
makenya,0.004
makes,0.004
maksud,0.009
malah,0.009
malam,0.004
maleman,0.004
malu,0.009
manga,0.009
manis,0.009
masa,0.009
masalah,0.004
masih,0.018
masuk,0.004
mata,0.009
materi,0.004
mati,0.004
matters,0.004
mau,0.018
max,0.004
may,0.004
mayhaps,0.004
medics,0.004
memang,0.018
menang,0.031
mentok,0.004
menurut,0.004
mereka,0.13
mewgulf,0.004
mfnsjd,0.004
mg,0.004
might,0.013
milik,0.031
mimpi,0.004
minta,0.013
minum,0.009
misgendering,0.004
misi,0.009
mistakes,0.004
misuh,0.004
mksut,0.004
mlh,0.004
modus,0.004
mon,0.004
moved,0.004
muka,0.004
muntah,0.004
musim,0.004
mute,0.009
mutuals,0.004
na,0.004
nada,0.004
nang,0.009
neraka,0.009
ngab,0.009
ngangur,0.004
ngecewain,0.004
ngejarnya,0.004
ngelive,0.004
ngerayain,0.004
ngerjakeun,0.004
ngetwet,0.004
ngeyel,0.004
nine,0.013
nines,0.004
ninuninu,0.004
normal,0.009
nti,0.009
nub,0.004
nuhun,0.004
nya,0.013
nyala,0.04
nyata,0.009
nyi,0.004
nyonya,0.009
objectively,0.004
oke,0.031
okela,0.004
oleh,0.004
omong,0.004
ones,0.004
orang,0.018
oreo,0.009
outmost,0.004
outta,0.004
owh,0.004
pacar,0.004
pada,0.013
pagi,0.004
paham,0.004
pahamify,0.004
pakai,0.013
paksa,0.004
paling,0.004
pandemi,0.004
panjang,0.004
pasang,0.009
peduli,0.013
pegang,0.013
peka,0.009
pencils,0.004
pendapat,0.004
pengirim,0.022
percaya,0.009
pergi,0.013
pernah,0.022
pertama,0.004
perthsaint,0.004
pesan,0.004
phi,0.004
photobok,0.004
piece,0.004
pikir,0.045
pilih,0.009
pilok,0.004
pintar,0.004
po,0.009
poe,0.004
poho,0.004
points,0.004
pos,0.009
poster,0.009
posya,0.004
pre,0.004
princes,0.004
pulang,0.004
pun,0.004
punya,0.04
puruk,0.004
pusing,0.009
qwen,0.004
rambut,0.004
rami,0.004
rangking,0.004
ranking,0.009
