term,weight
acak,0.012
acara,0.018
ad,0.006
ada,0.03
adalah,0.006
adan,0.006
aduh,0.006
aelah,0.006
agar,0.024
ah,0.012
ai,0.03
air,0.006
akhir,0.018
aku,0.006
akuakuaku,0.006
akun,0.006
alahuma,0.006
alas,0.006
alias,0.006
aman,0.012
amang,0.006
amin,0.012
an,0.049
anak,0.012
anda,0.237
aneh,0.006
angin,0.006
anginin,0.006
apa,0.146
arah,0.006
asa,0.006
asik,0.006
awal,0.012
ayo,0.006
bagaimana,0.018
baik,0.036
bakso,0.006
balap,0.006
balas,0.043
balasan,0.055
bangkrut,0.006
bangun,0.024
banjir,0.006
banyak,0.03
barakalah,0.006
baru,0.109
basah,0.006
batagor,0.006
bathin,0.006
bawa,0.018
bayang,0.006
bebanam,0.006
bebuhan,0.006
begitu,0.03
begombalan,0.006
belah,0.006
beli,0.012
belum,0.012
benar,0.024
benci,0.012
ber,0.006
beranda,0.006
berangan,0.006
besiap,0.006
besok,0.006
bhwa,0.006
biasa,0.012
bicara,0.006
biggest,0.055
bila,0.006
bilang,0.018
bingka,0.006
bisa,0.03
bisnis,0.006
bkalan,0.006
bljar,0.006
bnar,0.006
brantem,0.006
brsedia,0.006
btamu,0.006
buat,0.073
bujukin,0.006
buka,0.006
bukan,0.036
bulan,0.006
bumbu,0.006
buncit,0.006
bunyi,0.006
butuh,0.006
campur,0.006
canda,0.006
capai,0.073
cara,0.012
catat,0.006
cc,0.006
celaka,0.006
cem,0.006
cemil,0.018
cepat,0.018
cerewet,0.006
cerita,0.006
cetek,0.006
cheater,0.006
cinta,0.012
coba,0.018
cuma,0.024
curiga,0.006
damai,0.012
dandutan,0.006
dapur,0.006
daripada,0.012
darurat,0.006
dasar,0.012
datang,0.006
daya,0.006
dbilang,0.006
dekat,0.012
dendam,0.006
dengan,0.17
desa,0.006
detik,0.006
dhulu,0.006
di,0.006
dia,0.018
dibersihin,0.006
dikit,0.012
dimarain,0.006
dimasukin,0.006
diobatin,0.006
diri,0.006
ditontonin,0.006
dlunya,0.006
dngn,0.006
doa,0.006
dong,0.006
dosen,0.006
download,0.012
dpat,0.006
dri,0.006
duga,0.006
dulu,0.012
egois,0.006
eh,0.006
elah,0.006
emon,0.006
emosi,0.006
emosiny,0.006
emprak,0.006
en,0.043
enak,0.006
etika,0.006
euy,0.006
fans,0.055
film,0.006
following,0.006
foto,0.006
fotokopi,0.006
gaenak,0.012
galeri,0.006
galon,0.006
gapaham,0.006
gara,0.012
garuk,0.006
gatal,0.006
gedor,0.012
gembira,0.006
gin,0.018
gpa,0.006
gugel,0.006
habis,0.03
habut,0.006
hadza,0.006
haha,0.006
hai,0.006
hakim,0.006
hanya,0.012
hapus,0.012
harap,0.006
harfiah,0.006
harga,0.006
hari,0.012
harus,0.006
hati,0.043
hbistu,0.006
heran,0.006
hidup,0.012
hilang,0.024
hndak,0.006
hndk,0.006
hnya,0.012
hughughug,0.006
hujan,0.03
hujanya,0.006
humor,0.006
humoris,0.006
ibu,0.024
ih,0.012
ihiy,0.006
ikm,0.006
ikut,0.079
ilangnya,0.006
ingat,0.006
ingin,0.006
ini,0.079
insekyur,0.006
instan,0.006
isi,0.006
istigfar,0.006
itu,0.055
itupang,0.006
iya,0.03
iyam,0.006
ja,0.018
jadi,0.091
