term,weight
abzhaikqsahwghwvahaolzhsuiwhshsjsjsjqgjsnwaklajsilan,0.007
ada,0.104
adalah,0.015
adaptasi,0.015
adil,0.015
agak,0.007
agar,0.015
agem,0.007
agnes,0.007
air,0.03
akal,0.015
akan,0.022
akhir,0.022
akibat,0.007
akun,0.015
alahmu,0.007
alam,0.007
alas,0.015
albiner,0.007
alen,0.007
alhasil,0.007
alias,0.007
allah,0.007
ambil,0.015
ampuh,0.007
an,0.007
anak,0.007
ancor,0.007
anda,0.134
andaliman,0.007
andra,0.007
aneh,0.007
anga,0.007
anginya,0.007
angkasa,0.007
anti,0.007
apa,0.157
ari,0.007
asal,0.007
asam,0.007
asisi,0.007
astuti,0.007
atas,0.015
atau,0.007
atur,0.015
atus,0.007
atut,0.007
aup,0.007
awal,0.007
awan,0.007
awas,0.007
ayah,0.015
ayam,0.007
azeli,0.007
babang,0.007
baca,0.03
badan,0.007
bagaimana,0.06
bagus,0.015
bahagia,0.007
bahasa,0.007
bahkan,0.03
baik,0.022
bakat,0.007
bakwan,0.007
bambwank,0.007
ban,0.007
banbang,0.007
bandal,0.007
bandinganya,0.007
bang,0.067
bangkit,0.007
bangladesh,0.007
bangun,0.007
bantu,0.007
banyak,0.06
barasuara,0.007
bareng,0.015
baru,0.015
batas,0.007
batu,0.015
bawa,0.022
bawah,0.007
beatles,0.007
beda,0.03
begitu,0.075
bekas,0.007
belacan,0.007
belah,0.007
belaka,0.007
belakang,0.007
belasungkawa,0.007
belawan,0.007
beli,0.007
beliau,0.007
belum,0.015
benam,0.007
benang,0.03
benar,0.03
bengbeng,0.007
bengkuang,0.007
bentuk,0.007
beranda,0.007
beranta,0.007
bersih,0.022
besar,0.022
bias,0.007
biasa,0.007
biaya,0.007
bicara,0.007
bilang,0.037
bimbang,0.007
bimplikasi,0.007
bingung,0.015
bioplacenton,0.007
bisa,0.045
blablablablablablabla,0.007
blog,0.007
blok,0.007
boci,0.007
boker,0.007
bon,0.007
bosan,0.007
bpjs,0.007
brendon,0.022
buah,0.007
