term,weight
ad,0.006
ada,0.046
adalah,0.012
adil,0.006
admin,0.006
agar,0.006
aidin,0.006
ajak,0.006
ajar,0.035
akan,0.035
akhir,0.035
aktif,0.012
al,0.012
aladin,0.006
alami,0.006
alas,0.006
alir,0.012
alokasi,0.006
amal,0.012
amatir,0.012
ambil,0.012
amin,0.012
ampoen,0.006
ampun,0.017
an,0.012
anak,0.069
anda,0.138
andalanya,0.006
aneh,0.017
angkat,0.006
anjur,0.012
apa,0.19
apartemen,0.012
apo,0.006
arah,0.006
arti,0.029
asal,0.017
asli,0.012
astronomi,0.006
asyik,0.006
atas,0.017
atau,0.012
awal,0.017
awam,0.006
ayah,0.006
ayat,0.012
ayo,0.046
baca,0.069
bagai,0.017
bagaimana,0.04
bagi,0.006
bagus,0.029
bahagia,0.029
bahan,0.012
bahas,0.023
bahaya,0.006
bahkan,0.035
baik,0.115
baju,0.006
bakso,0.012
balas,0.012
balek,0.006
balik,0.006
ban,0.006
banding,0.012
bangga,0.006
bangsawan,0.006
bantu,0.012
banyak,0.075
bapak,0.04
baqarah,0.006
barakalahu,0.006
barang,0.006
bareng,0.006
baru,0.023
batalin,0.006
bathil,0.006
batu,0.006
bawa,0.006
bawain,0.006
bayang,0.012
bayar,0.012
beban,0.006
beberapa,0.023
become,0.006
beda,0.04
begini,0.012
begitchu,0.006
begitu,0.046
belakang,0.012
beli,0.023
beliau,0.006
belum,0.029
benang,0.012
benar,0.081
benci,0.006
bengkel,0.006
bentar,0.006
bentuk,0.017
beranda,0.017
berapa,0.012
berat,0.006
beri,0.017
berkah,0.006
berlanganan,0.006
bermanfat,0.006
bersosmed,0.006
besar,0.023
betul,0.006
betuls,0.006
biasa,0.017
biaya,0.006
biayain,0.006
bibit,0.006
bidadari,0.006
bijak,0.006
biji,0.006
bila,0.006
bilang,0.035
biru,0.006
bisa,0.052
biso,0.012
blog,0.012
boleh,0.012
bongkar,0.006
boros,0.006
buang,0.006
buat,0.121
buka,0.006
bukan,0.029
bukankah,0.012
bukti,0.006
buku,0.023
bullying,0.017
bumi,0.006
bunga,0.006
bunuh,0.006
buruk,0.006
ca,0.012
cak,0.006
campur,0.012
canda,0.006
cara,0.012
cari,0.006
cat,0.006
cela,0.006
celaka,0.012
celana,0.006
cemara,0.006
cemil,0.104
cenderung,0.006
ceo,0.006
cepat,0.006
cerita,0.029
cermat,0.006
cermin,0.006
coba,0.023
cocok,0.017
contoh,0.012
cubes,0.006
cukup,0.029
cuma,0.046
curhat,0.006
cuy,0.012
dadak,0.006
daging,0.017
dampak,0.006
dan,0.023
dapat,0.012
dar,0.006
darah,0.012
dari,0.017
dasar,0.012
datang,0.029
datar,0.006
daulat,0.006
daya,0.006
dek,0.006
dengan,0.012
dengar,0.017
depan,0.012
depok,0.006
derai,0.006
desa,0.006
desinfektan,0.006
di,0.017
dia,0.052
diam,0.006
diasup,0.006
dibandingin,0.006
diceritain,0.006
didn,0.006
digeneralisir,0.006
dijabah,0.012
dikabarin,0.006
dikerjain,0.012
diketawain,0.006
dikirimin,0.006
dikit,0.006
dikorbanin,0.006
dilema,0.006
dimafin,0.006
dimano,0.006
dimarahin,0.006
diomongin,0.006
dipertangungjawabkan,0.006
diri,0.046
dit,0.006
doa,0.035
doang,0.006
dokter,0.029
dong,0.006
dosa,0.006
dosen,0.006
dulu,0.058
dumhdururumdururum,0.006
dungs,0.006
dunia,0.006
durian,0.006
dusta,0.006
edgy,0.006
eh,0.006
emas,0.006
emot,0.006
enak,0.012
eneg,0.006
entah,0.017
eoteoke,0.006
esok,0.006
euy,0.012
fa,0.006
faidzin,0.006
fans,0.023
fenomena,0.012
fi,0.012
foto,0.006
gadis,0.017
gaji,0.052
gantin,0.006
gara,0.006
gayung,0.006
geli,0.006
geonji,0.006
geuryeobon,0.006
gieogeun,0.006
gila,0.006
gilo,0.006
gin,0.023
gneiss,0.006
guru,0.006
gurun,0.006
habis,0.006
hadap,0.029
hadiah,0.006
hai,0.017
hal,0.012
halal,0.081
halang,0.006
hantu,0.006
haq,0.006
haram,0.035
harga,0.006
hari,0.017
harta,0.006
harus,0.023
has,0.006
hati,0.035
hemat,0.006
heran,0.017
heuheu,0.006
hidayah,0.006
hidup,0.035
hilang,0.006
hingga,0.006
hubung,0.017
hujat,0.006
ibu,0.035
ideal,0.006
ih,0.006
ikan,0.012
ikemen,0.006
ikhlas,0.029
iklan,0.006
ikut,0.012
ilfel,0.006
ilmiah,0.006
ilmu,0.012
imaji,0.006
in,0.017
indak,0.006
indonesia,0.006
ineun,0.006
influencer,0.006
ingat,0.023
ingin,0.006
ini,0.052
insan,0.006
inspirasi,0.017
insta,0.006
instagram,0.017
insya,0.006
inti,0.006
ipin,0.006
ipk,0.006
ireoke,0.006
iri,0.012
irit,0.006
istri,0.023
itu,0.086
iya,0.092
jadi,0.161
jadin,0.006
jadwal,0.006
jaga,0.012
jail,0.006
jakarta,0.017
jalan,0.006
jaleh,0.006
jam,0.012
jambi,0.012
jamil,0.006
jamin,0.012
janinhal,0.006
jantung,0.006
jarang,0.006
jasmani,0.006
jatohnya,0.006
jauh,0.012
jawab,0.035
jelas,0.006
jelasin,0.006
jenis,0.006
jeongmal,0.006
jeongyeon,0.006
jinja,0.006
jual,0.006
juang,0.006
juga,0.063
jugo,0.035
jujur,0.006
juluk,0.012
juri,0.006
justru,0.012
juta,0.006
jutan,0.006
kabar,0.012
kabul,0.006
kacang,0.006
kadang,0.023
kagum,0.006
kalah,0.006
kalau,0.19
kali,0.006
kalian,0.012
kan,0.017
kandung,0.006
kapan,0.017
karat,0.006
karena,0.023
karpet,0.006
kartun,0.006
kasih,0.029
kasus,0.012
kata,0.023
kawan,0.012
kayak,0.092
kayaknyo,0.006
kebalikanya,0.023
kebun,0.006
keburu,0.006
kecil,0.006
kedengaranya,0.006
kejut,0.023
kekeyi,0.006
keliar,0.006
kelola,0.006
keluar,0.006
keluarga,0.012
keluh,0.006
kemari,0.006
kemarin,0.006
kembang,0.006
kena,0.012
kenal,0.012
kenapa,0.04
kendara,0.006
kendaran,0.035
kepada,0.006
keras,0.006
kere,0.006
keren,0.023
kerja,0.04
kesal,0.006
kesana,0.006
khawatir,0.012
kini,0.012
kira,0.012
kita,0.04
klaim,0.006
komentar,0.006
komik,0.006
kondisi,0.012
koneng,0.006
konstipasi,0.006
konsumsi,0.006
konten,0.006
kontrol,0.006
kopi,0.006
kos,0.017
kritik,0.012
kualitas,0.012
kuat,0.012
kudo,0.006
kue,0.006
kuliah,0.035
kurang,0.029
kutampol,0.006
kutip,0.006
la,0.006
lagi,0.017
lagu,0.012
lah,0.029
lain,0.006
laki,0.012
lakuin,0.006
lalai,0.006
lalu,0.035
lama,0.017
langkah,0.012
langsung,0.006
lapangnyo,0.006
lapis,0.006
laptop,0.006
larang,0.012
lari,0.029
latar,0.006
lawan,0.006
layak,0.006
layar,0.006
lebar,0.006
lebaran,0.006
lebih,0.052
lee,0.006
lekat,0.006
lembut,0.006
lewat,0.017
libas,0.006
lihat,0.075
lin,0.006
lindung,0.006
link,0.012
lirik,0.006
lom,0.006
luar,0.006
lucu,0.006
ludes,0.006
lulus,0.006
lumayan,0.006
lupa,0.006
maaf,0.017
macam,0.017
mahal,0.012
maju,0.006
makhluk,0.006
makin,0.035
makonyo,0.006
maksimal,0.006
maksud,0.012
mal,0.006
malah,0.063
malam,0.017
malas,0.006
maleh,0.006
malu,0.017
mampu,0.017
mana,0.017
manchester,0.006
mandiri,0.006
manfaat,0.006
manfatnya,0.006
manis,0.006
mano,0.012
mantap,0.006
manteup,0.006
manusia,0.029
manusiawi,0.006
marah,0.012
martabak,0.006
masa,0.023
masalah,0.012
masuk,0.029
materi,0.006
mau,0.04
maupun,0.006
mayan,0.006
mayuka,0.012
media,0.012
mekah,0.006
memanfatkan,0.006
memang,0.063
mempan,0.006
mempertangungjawabkan,0.006
memviralkan,0.006
menang,0.017
menarique,0.006
mendapatkanya,0.006
mengangu,0.006
mengasup,0.012
meningalkan,0.006
menit,0.006
menyingung,0.006
merah,0.006
mereka,0.017
mes,0.006
meski,0.017
mesra,0.006
milik,0.023
milyaran,0.006
minder,0.006
mindset,0.006
minggu,0.006
