term,weight
abnegation,0.007
achmad,0.015
actres,0.007
adah,0.007
adalah,0.067
adil,0.007
aditya,0.007
admin,0.007
agatha,0.007
agung,0.007
agustus,0.007
air,0.007
airin,0.015
ajar,0.03
akan,0.022
akhir,0.052
akibat,0.007
alam,0.007
alami,0.015
alumni,0.022
amalia,0.007
amin,0.007
amity,0.007
anak,0.007
analisa,0.007
analog,0.007
ancen,0.007
anda,0.164
andromax,0.015
anggota,0.015
apa,0.104
apabila,0.007
apala,0.015
arah,0.015
arek,0.007
ascending,0.007
asikin,0.007
atas,0.022
atau,0.007
atik,0.007
auditorium,0.007
aula,0.007
avici,0.007
ayo,0.03
babi,0.007
baca,0.007
badan,0.007
badminton,0.007
bagai,0.007
bagi,0.045
baik,0.037
bajak,0.007
baju,0.007
bakmi,0.007
bakso,0.007
balik,0.007
bangsa,0.007
bangun,0.015
bank,0.007
bantu,0.015
bantuanya,0.007
banyak,0.045
bapak,0.015
bareng,0.015
baru,0.037
batal,0.007
batu,0.015
bayar,0.007
bebek,0.015
beda,0.015
begitu,0.082
bel,0.007
bela,0.007
beri,0.022
berita,0.015
berontak,0.015
besar,0.015
besok,0.015
biasa,0.037
biaya,0.015
bibit,0.007
bidikmisi,0.022
biggest,0.007
bilang,0.007
billy,0.007
binatang,0.007
bintang,0.015
biru,0.007
bisa,0.015
bismillah,0.045
bledeg,0.007
bnt,0.007
bob,0.007
bocen,0.007
bodoh,0.007
boom,0.007
borpjoko,0.007
bosan,0.037
bosquh,0.007
botol,0.007
bozen,0.007
brangkat,0.007
bratang,0.007
bravo,0.007
breaking,0.007
bso,0.007
buat,0.037
bugar,0.007
buka,0.045
bukan,0.007
bulan,0.015
buruk,0.007
butuh,0.03
cabai,0.015
cacah,0.007
camaba,0.007
camat,0.007
cantik,0.007
cari,0.007
carly,0.007
ce,0.007
cela,0.007
celana,0.007
centre,0.007
changes,0.007
charli,0.007
chelsea,0.007
christina,0.007
cinta,0.007
cita,0.007
citata,0.007
co,0.022
coba,0.007
coc,0.007
cuci,0.007
cupu,0.007
daftar,0.015
daging,0.007
dahsyat,0.007
dalam,0.015
dan,0.194
dana,0.015
dancin,0.007
dapat,0.03
dari,0.015
darusa,0.007
dasar,0.007
datang,0.015
dauntless,0.007
deadpol,0.007
deh,0.007
dekat,0.015
del,0.015
dengan,0.336
depan,0.007
dept,0.007
des,0.007
desi,0.007
desy,0.022
detik,0.007
dharma,0.03
di,0.627
diesnatalis,0.007
diri,0.015
disurabaya,0.007
diwarkop,0.007
djendral,0.015
doh,0.142
dokter,0.015
donasi,0.007
dong,0.007
drama,0.007
drive,0.007
dulu,0.015
dumang,0.007
dunia,0.007
dwimas,0.007
each,0.015
east,0.007
echa,0.007
eka,0.052
elektronika,0.06
ember,0.007
embong,0.007
enak,0.007
enakno,0.007
etik,0.015
expo,0.015
faishal,0.015
faktor,0.007
faradila,0.015
fastfod,0.007
fe,0.007
fikiran,0.007
film,0.007
flipcase,0.015
flora,0.007
friends,0.015
funk,0.007
futsal,0.007
gagal,0.007
gaiso,0.007
gambar,0.007
games,0.015
gara,0.007
garis,0.015
garuda,0.007
gayuh,0.06
gebang,0.06
gedung,0.037
gerak,0.007
gerbang,0.007
geser,0.007
gilir,0.007
gin,0.007
gkb,0.022
gor,0.015
gowes,0.007
goyang,0.007
gresik,0.127
habis,0.015
hai,0.007
hakim,0.007
hanya,0.015
hari,0.037
harimau,0.007
harus,0.015
hati,0.022
hay,0.007
hebat,0.007
heboh,0.007
hedon,0.007
heheheh,0.007
henacase,0.03
henacasemurah,0.007
henna,0.007
hidup,0.007
hilang,0.007
himpunan,0.007
hmtgzurk,0.007
htp,0.015
hujan,0.007
ibu,0.007
ikoma,0.007
ikut,0.03
in,0.03
inap,0.007
individu,0.007
indonesia,0.007
ingat,0.007
